update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,32768,43.83656171677246,22444.3195989875,1.459968516999652,0.520787523000763,0,0,0,0,0.0,0.0,0.0,-0.01130462571309181,0.11317704196553677,0.0,2.175742770731449,0.008292972754497896,0.4994356036186218,0.49605029821395874,0.506013035774231,0.0
2,65536,52.577207456252545,26919.530217601303,1.217257497999526,0.453642125999977,4,0,4,0,0.0,1.0,0.0,-0.011170111109822755,0.08596285200910643,0.0,2.1376043751835825,0.011998197164393787,0.49059566855430603,0.4825666546821594,0.5055294632911682,0.0
3,98304,58.84536049964587,30128.824575818686,1.087596362000113,0.4632282490001671,15,0,15,0,0.0,1.0,0.0,-0.005089584745292086,0.14529469650587998,0.0,2.0732619762420654,0.010853910813784751,0.4779347777366638,0.4681817293167114,0.49506035447120667,0.0
4,131072,58.54246140480951,29973.740239262468,1.0932235929994931,0.49206440600028145,4,0,4,0,0.0,1.0,0.0,-0.004762569163722219,0.03719429872289766,0.0,1.9409100323915482,0.010529542189578934,0.45250403881073,0.4382741153240204,0.4780760705471039,0.0
5,163840,58.82310570152809,30117.430119182383,1.088007837000987,0.5501418139992893,0,0,0,0,0.0,0.0,0.0,-0.018030378936236956,0.003202460479224101,0.0,1.7316891483962535,0.01207962045809836,0.42487820982933044,0.4025270938873291,0.46709302067756653,0.0
6,196608,47.241994184000575,24187.901022208294,1.354726892999679,0.5763360950004426,489,0,0,489,0.0,0.0,1.0,-0.006790103068487952,0.012886405932658818,0.0,1.5997992116957902,0.006442148001224268,0.4079388976097107,0.38437026739120483,0.4548726975917816,0.0
7,229376,58.17136150934697,29783.73709278565,1.1001977320011065,0.5325125430008484,0,0,0,0,0.0,0.0,0.0,-0.01665287432842888,0.014204697514651343,0.0,1.54271217957139,0.012342302416072926,0.40487587451934814,0.38123106956481934,0.45057442784309387,0.0
8,262144,56.82074349349137,29092.22066866758,1.1263492179987225,0.4941560320003191,36,0,27,9,0.0,0.75,0.25,-0.004790426371619106,0.2474033461883664,0.0,1.54218092225492,0.009205562722945615,0.40636569261550903,0.3835790455341339,0.44843751192092896,0.0
9,294912,53.45586790292992,27369.404366300118,1.1972492919994693,0.4781932850000885,50,0,38,12,0.0,0.76,0.24,-0.0044320113738649525,0.2680529954843223,0.0,1.5448850221931933,0.010646284023277986,0.40574580430984497,0.37995782494544983,0.4480799734592438,0.0
10,327680,49.12108136482684,25149.993658791343,1.3029029130011622,0.48770890000014333,25,0,23,2,0.0,0.92,0.08,-0.004991122240608092,0.16919539121445268,0.0,1.5339826930314302,0.010862119075136433,0.4034923017024994,0.3787713646888733,0.4428205192089081,0.0
