update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,32768,44.41901162986497,22742.533954490864,1.4408244950000153,0.6908370340006513,0,0,0,0,0.0,0.0,0.0,0.1301422878867015,0.11255307225510477,0.15486227823421359,2.199644981324673,0.4026519095434196,0.5079832673072815,0.4960390329360962,0.5259963274002075,1.0
2,65536,57.022258629754795,29195.396418434455,1.1223687299998346,0.6274983829998746,1,0,1,0,0.0,1.0,0.0,-0.007711930075311102,0.04165138172684237,0.06114479866810143,2.181400241702795,0.016541322018383653,0.4965111017227173,0.4863148331642151,0.5143170356750488,1.0
3,98304,49.42125956007491,25303.684894758353,1.294989252999585,0.6189384639992568,4,0,4,0,0.0,1.0,0.0,-0.003511395592067856,0.0396286214410793,0.05410143930930644,2.094666972756386,0.010848410313519708,0.4823695123195648,0.47118860483169556,0.49638187885284424,1.0
4,131072,58.75970486878221,30084.96889281649,1.089181780999752,0.635965419999593,4,0,4,0,0.0,1.0,0.0,-0.0006665851542493328,0.05014458089135587,0.04720583837479353,2.0190831810235976,0.014503114067520074,0.470566987991333,0.46781203150749207,0.4721984267234802,1.0
5,163840,57.10695930031275,29238.76316176013,1.120704040000419,0.6131794060001994,1,0,1,0,0.0,1.0,0.0,-0.002098367636790499,0.07326072222786024,0.03118628321099095,1.9270568203181029,0.009880624739162158,0.4537960886955261,0.4429776668548584,0.46190518140792847,1.0
6,196608,46.21701859675392,23663.113521538005,1.384771279999768,0.5455022369997096,505,0,35,470,0.0,0.06930693069306931,0.9306930693069307,-0.0033949215059692504,0.4153648576699197,0.02947461192961782,1.8525277506560087,0.008154909098448116,0.4461030662059784,0.4417104423046112,0.4531876742839813,1.0
7,229376,59.69727908997262,30565.00689406598,1.0720756620003158,0.5352948630006722,2,0,2,0,0.0,1.0,0.0,-0.0018194108328316362,0.05633297781459987,0.05045218592276797,1.7916865170001983,0.014507010067427472,0.436678022146225,0.42795777320861816,0.4481584429740906,1.0
8,262144,57.153303593082256,29262.491439658115,1.1197952869997607,0.6162435679998453,7,0,6,1,0.0,0.8571428571428571,0.14285714285714285,0.0027569196914555504,0.17455268257763237,0.05618782747769728,1.7002959534525872,0.026220671209193823,0.42221638560295105,0.41193097829818726,0.4382418394088745,1.0
9,294912,58.90173863141953,30157.6901792868,1.086555363000116,0.5260574869998891,23,0,23,0,0.0,1.0,0.0,-0.006535729110328248,0.4280230960808694,0.05108196118380874,1.5916089732199907,0.010425728470909234,0.40678566694259644,0.39523735642433167,0.42249175906181335,1.0
10,327680,59.01673947663993,30216.570612039643,1.0844380859998637,0.5714950199999294,10,0,9,1,0.0,0.9,0.1,-0.007574593549361452,0.3307318531908095,0.049582154816016556,1.4715220991522073,0.012658601600196561,0.39076122641563416,0.37582123279571533,0.4101952314376831,1.0
11,360448,58.54395410413278,29974.504501315983,1.093195719000505,0.5667069130004165,2,0,0,2,0.0,0.0,1.0,-0.010532855681958608,0.2936553991399705,0.03957908360753208,1.334724997356534,0.013830466921172046,0.3736291527748108,0.3563186228275299,0.394443541765213,1.0
12,393216,56.310345041748285,28830.89666137512,1.1365584770001078,0.5982307699996454,468,0,0,468,0.0,0.0,1.0,-0.012701738292525988,0.2367552135139704,0.045393114944454284,1.1902682367712258,0.01978468643164888,0.35456404089927673,0.336628794670105,0.3774316608905792,1.0
13,425984,59.22361492340111,30322.490840781367,1.0806500090002373,0.6270255079998606,2,0,0,2,0.0,0.0,1.0,-0.0020071216349606402,0.05752889123978093,0.05271110989851877,1.069638640061021,0.009719245196720294,0.34215450286865234,0.32252368330955505,0.3678413927555084,1.0
14,458752,57.26461311212223,29319.48191340658,1.1176186570000937,0.6153066440001567,9,0,0,9,0.0,0.0,1.0,-0.009984139527659863,0.1858203456737101,0.03013976024230942,0.9142626386135817,0.014222084080756758,0.32329684495925903,0.301421195268631,0.34653010964393616,1.0
15,491520,58.12297849415401,29758.964989006854,1.1011135640001157,0.6155314019997604,28,0,0,28,0.0,0.0,1.0,-0.01677864380180836,0.2915452145971358,0.016503228785586542,0.7328267879784107,0.010597350003263274,0.30397215485572815,0.28249382972717285,0.3254709839820862,1.0
16,524288,58.0544734776277,29723.890420545384,1.1024128919998475,0.610229537000123,3,0,0,3,0.0,0.0,1.0,-0.017751201897044665,0.31981184529140594,0.013868269862723537,0.5658263809978962,0.014965510229740176,0.28769809007644653,0.2660588324069977,0.30846789479255676,1.0
17,557056,58.188240841113995,29792.379310650365,1.0998785850006243,0.636215698000342,8,0,0,8,0.0,0.0,1.0,-0.014417588606738719,0.2689655932597816,0.008434877546096686,0.39896445348858833,0.01171357935636479,0.2718993127346039,0.2506946623325348,0.29089415073394775,1.0
18,589824,56.334963269312745,28843.501193888125,1.1360618039998371,0.5926601210003355,462,0,0,462,0.0,0.0,1.0,-0.0014789755121455527,0.2109661191236228,0.05352524355985224,0.26922008469700814,0.010032224253336608,0.26119324564933777,0.2400466501712799,0.2783103883266449,1.0
