update,step,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,8192,1,0,1,0,0.0,1.0,0.0,-0.01543822402600199,0.3307180881500244,0.0,2.1817555844783785,0.012261462076276075,0.5014184713363647,0.5000951886177063,0.503239095211029,0.0
2,16384,25,0,25,0,0.0,1.0,0.0,-0.006152908207150176,0.9735119424760341,0.0,2.179184240102768,0.009827996592503042,0.4987303912639618,0.4976608455181122,0.5006621479988098,0.0
3,24576,19,0,19,0,0.0,1.0,0.0,-0.0103531843284145,0.6516253646463156,0.0,2.1665542244911196,0.009060416917782277,0.4978969991207123,0.4957731366157532,0.5000362992286682,0.0
4,32768,29,0,29,0,0.0,1.0,0.0,-0.008496475697029382,0.7262806430459022,0.0,2.1635634005069733,0.012375473434804007,0.49742716550827026,0.4907360076904297,0.5014632344245911,0.0
5,40960,20,0,20,0,0.0,1.0,0.0,-0.004072667317814194,0.4621241167187691,0.0,2.158938819169998,0.006695110361033585,0.4964430034160614,0.48800501227378845,0.5025308728218079,0.0
6,49152,54,0,10,44,0.0,0.18518518518518517,0.8148148148148148,-0.004608451569220051,0.23654183177277446,0.0,2.1548999458551408,0.012281347663520136,0.4960464835166931,0.48754027485847473,0.5033749938011169,0.0
7,57344,3,0,3,0,0.0,1.0,0.0,-0.008102647849591449,0.09878166695125401,0.0,2.1527256786823274,0.011036204009724316,0.4957292973995209,0.4882071614265442,0.5026583075523376,0.0
8,65536,15,0,0,15,0.0,0.0,1.0,-0.009067961270920933,0.04063611188903451,0.0,2.153052255511284,0.0120724250053172,0.49627840518951416,0.49047911167144775,0.5030233263969421,0.0
9,73728,13,0,0,13,0.0,0.0,1.0,-0.013491793593857437,0.0324143948033452,0.0,2.1414062529802322,0.011048182813101447,0.4919849634170532,0.48415231704711914,0.49930939078330994,0.0
10,81920,27,0,0,27,0.0,0.0,1.0,-0.01134041040786542,0.027131127729080617,0.0,2.12237289249897,0.01183403164250194,0.4899246394634247,0.47818246483802795,0.5011323690414429,0.0
11,90112,20,0,0,20,0.0,0.0,1.0,-0.011290867294883355,0.03290806959848851,0.0,2.0997769981622696,0.012675986202521018,0.48484236001968384,0.4767291247844696,0.4964022934436798,0.0
12,98304,50,0,0,50,0.0,0.0,1.0,-0.008447573333978654,0.04434592791367322,0.0,2.0728067368268968,0.00950066922669066,0.48067283630371094,0.4736398160457611,0.4933314323425293,0.0
13,106496,5,0,0,5,0.0,0.0,1.0,-0.008134875990799628,0.04036211206112057,0.0,2.0503396868705748,0.009343523338611704,0.4783717095851898,0.4670111835002899,0.49399760365486145,0.0
14,114688,14,0,0,14,0.0,0.0,1.0,-0.008703617594437673,0.048975071008317175,0.0,2.040184611082077,0.011939998560410458,0.4772830903530121,0.46567583084106445,0.4921398460865021,0.0
15,122880,16,0,0,16,0.0,0.0,1.0,-0.007465125262388028,0.03724496569484472,0.0,2.0237384289503098,0.011306333179527428,0.4724753797054291,0.4586583077907562,0.48488008975982666,0.0
16,131072,28,0,0,28,0.0,0.0,1.0,-0.0021014519326854495,0.0699984673410654,0.0,1.9954526022076606,0.00877732622102485,0.4690593183040619,0.45254141092300415,0.482090562582016,0.0
17,139264,16,0,0,16,0.0,0.0,1.0,-0.003148335195146501,0.10332033028826118,0.0,1.9737022146582603,0.00820365330655477,0.4656541049480438,0.4491368532180786,0.4787416458129883,0.0
18,147456,53,0,3,50,0.0,0.05660377358490566,0.9433962264150944,-0.0022381615708582103,0.2259927736595273,0.0,1.9502247154712677,0.007989026164432289,0.46197614073753357,0.4451161026954651,0.47454848885536194,0.0
19,155648,9,0,3,6,0.0,0.3333333333333333,0.6666666666666666,-0.0005212623509578407,0.25127384550869464,0.0,1.9287169575691223,0.0070666350700776094,0.45915016531944275,0.4403328597545624,0.4712616503238678,0.0
20,163840,16,0,3,13,0.0,0.1875,0.8125,-0.0008551623323000968,0.23050315883010625,0.0,1.9136890679597856,0.007031674277823185,0.4568863809108734,0.4374535381793976,0.466945618391037,0.0
21,172032,19,0,6,13,0.0,0.3157894736842105,0.6842105263157895,-0.0029608009965158997,0.3046022402122617,0.0,1.8941541716456414,0.005826661262108246,0.453782320022583,0.4319472014904022,0.46631699800491333,0.0
22,180224,20,0,0,20,0.0,0.0,1.0,-0.0005247585329925641,0.24112407583743334,0.0,1.8729821473360062,0.006192684726556763,0.4504573941230774,0.42475226521492004,0.4654010534286499,0.0
23,188416,15,0,0,15,0.0,0.0,1.0,-0.0024429517274256797,0.18761185985058546,0.0,1.8533218175172805,0.009816240989312063,0.44802746176719666,0.4175994396209717,0.46499037742614746,0.0
24,196608,49,0,0,49,0.0,0.0,1.0,-0.0014941819885279984,0.09078842252492905,0.0,1.8359330311417579,0.007584748570661759,0.44531258940696716,0.4145888090133667,0.4613207280635834,0.0
25,204800,10,0,0,10,0.0,0.0,1.0,-0.0025826702767517418,0.03175141597166657,0.0,1.8167511463165282,0.013892982683319132,0.44237226247787476,0.4118211567401886,0.4584229290485382,0.0
26,212992,16,0,0,16,0.0,0.0,1.0,-0.0015988641418516636,0.03137254021130502,0.0,1.7981652095913887,0.005563113850075752,0.4401145875453949,0.40837061405181885,0.4570607841014862,0.0
27,221184,24,0,0,24,0.0,0.0,1.0,0.0008645710127893836,0.022218103101477028,0.0,1.7825792014598847,0.006824123924889136,0.43797561526298523,0.40597212314605713,0.4548173248767853,0.0
28,229376,16,0,0,16,0.0,0.0,1.0,-0.000730764342006296,0.01973840923747048,0.0,1.7665899410843848,0.005703094369528117,0.4353020191192627,0.39981696009635925,0.4544523358345032,0.0
29,237568,15,0,0,15,0.0,0.0,1.0,-0.0012003707117401064,0.019440703745931386,0.0,1.750803677737713,0.006144185757875675,0.433815598487854,0.3974326550960541,0.4541442096233368,0.0
30,245760,47,0,0,47,0.0,0.0,1.0,-0.0019236147782066837,0.025874127401039004,0.0,1.7409036934375763,0.006809795589651913,0.432422012090683,0.394349068403244,0.45426785945892334,0.0
31,253952,12,0,0,12,0.0,0.0,1.0,-0.0016609667101874948,0.030554022919386626,0.0,1.7255301967263221,0.007405546664813301,0.4295065402984619,0.3889935314655304,0.4527202248573303,0.0
32,262144,16,0,0,16,0.0,0.0,1.0,0.0008732594549655914,0.035698467609472574,0.0,1.7058636412024497,0.007177505853178445,0.4271615445613861,0.3867337703704834,0.45076680183410645,0.0
33,270336,24,0,0,24,0.0,0.0,1.0,0.0014999082050053403,0.02236722286324948,0.0,1.685798668861389,0.009482639425550587,0.423958957195282,0.3836129307746887,0.45079413056373596,0.0
34,278528,18,0,0,18,0.0,0.0,1.0,0.002181457765982486,0.018501907342579216,0.0,1.6726669132709504,0.010189245166111504,0.4233030676841736,0.3824175000190735,0.45411035418510437,0.0
35,286720,14,0,0,14,0.0,0.0,1.0,-0.0024907323881052435,0.012973275710828602,0.0,1.6612234860658646,0.008099510296597145,0.4205949306488037,0.38014888763427734,0.4495057165622711,0.0
36,294912,44,0,0,44,0.0,0.0,1.0,0.002073215926066041,0.017973251559305937,0.0,1.6421909898519516,0.009775779494157177,0.4178924262523651,0.377691388130188,0.44566038250923157,0.0
37,303104,16,0,0,16,0.0,0.0,1.0,0.002043602179037407,0.017530614626593888,0.0,1.6262852564454078,0.010410774934280198,0.4167724549770355,0.376295804977417,0.4445975422859192,0.0
38,311296,15,0,0,15,0.0,0.0,1.0,0.00281770407455042,0.015479156491346657,0.0,1.6169317677617072,0.009048395488207461,0.4151197671890259,0.3731749653816223,0.4421611428260803,0.0
39,319488,23,0,0,23,0.0,0.0,1.0,-0.002625594270648435,0.012950042285956443,0.0,1.602507610619068,0.009073999349857332,0.4128255844116211,0.3703112304210663,0.44065943360328674,0.0
40,327680,19,0,0,19,0.0,0.0,1.0,0.003483625431545079,0.019918573123868556,0.0,1.587757758796215,0.014380409772638814,0.41132983565330505,0.36740922927856445,0.43859216570854187,0.0
41,335872,52,0,0,52,0.0,0.0,1.0,0.0013780804525595157,0.024722278653644025,0.0,1.5795493230223656,0.007235897560531157,0.41066062450408936,0.36672472953796387,0.43702954053878784,0.0
42,344064,5,0,0,5,0.0,0.0,1.0,0.0003666070580948144,0.018851693812757732,0.0,1.567158904671669,0.0084569673959777,0.40820616483688354,0.3634912967681885,0.43260353803634644,0.0
43,352256,18,0,0,18,0.0,0.0,1.0,0.0002904968918301165,0.027100915275514125,0.0,1.5568927571177482,0.007017756822096999,0.4076060652732849,0.3630220592021942,0.43035396933555603,0.0
44,360448,16,0,0,16,0.0,0.0,1.0,0.00374003253527917,0.023223153548315167,0.0,1.5476872116327285,0.01224629462521989,0.40550947189331055,0.36106735467910767,0.42776885628700256,0.0
45,368640,22,0,0,22,0.0,0.0,1.0,-0.002582809218438342,0.02019555022707209,0.0,1.5311255976557732,0.005775126825028565,0.4035983979701996,0.3555002510547638,0.4308179020881653,0.0
46,376832,18,0,0,18,0.0,0.0,1.0,-0.0002747213584370911,0.01073862969642505,0.0,1.5169717878103257,0.004919985509332037,0.4020633101463318,0.3492344617843628,0.4328846335411072,0.0
47,385024,50,0,0,50,0.0,0.0,1.0,0.0021896866732276977,0.019302557723131032,0.0,1.4975077763199807,0.00969071748040733,0.39861130714416504,0.3458297848701477,0.4282507598400116,0.0
48,393216,7,0,0,7,0.0,0.0,1.0,0.001912448217626661,0.013293289754074067,0.0,1.4776842907071113,0.006964437140413793,0.397483229637146,0.3440999388694763,0.4271914064884186,0.0
49,401408,16,0,0,16,0.0,0.0,1.0,-0.0024138389620929957,0.016740012529771774,0.0,1.4654981970787049,0.01077156681130873,0.3948773145675659,0.3414319157600403,0.4222835600376129,0.0
50,409600,17,0,0,17,0.0,0.0,1.0,0.0005749512871261686,0.011059348506387323,0.0,1.4482148736715317,0.01043729721022828,0.39330968260765076,0.33842095732688904,0.42231103777885437,0.0
51,417792,22,0,0,22,0.0,0.0,1.0,0.0020716752391308547,0.011569440126186237,0.0,1.4417402356863023,0.009799361241675797,0.3933170735836029,0.33791807293891907,0.42350462079048157,0.0
52,425984,16,0,0,16,0.0,0.0,1.0,0.00383722638071049,0.020595510851126164,0.0,1.4377408236265183,0.011090720848733327,0.39205288887023926,0.3357999622821808,0.4227127730846405,0.0
53,434176,52,0,0,52,0.0,0.0,1.0,-0.0005780137318652124,0.02721831148955971,0.0,1.426982682943344,0.009199990840716054,0.3912385404109955,0.3331676423549652,0.42360177636146545,0.0
54,442368,7,0,0,7,0.0,0.0,1.0,0.0016501475009135901,0.02254207672085613,0.0,1.4136043623089791,0.0065151776849234014,0.3885015845298767,0.33019813895225525,0.4212369918823242,0.0
55,450560,16,0,0,16,0.0,0.0,1.0,0.0023496685666032136,0.013425465603359044,0.0,1.3899985685944558,0.008392623166946578,0.3857113718986511,0.3263433277606964,0.4186971187591553,0.0
56,458752,20,0,0,20,0.0,0.0,1.0,0.002147023275028914,0.012676015018951148,0.0,1.3709891468286515,0.007406667520263,0.3836953341960907,0.3208323121070862,0.41844502091407776,0.0
