phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,5816320,710,0,0,137.4792,2.7744,1.0000,0.6223,-0.2065,0.9900,0,0,0,0,0.0400,0.0249,-0.0130,2.8073,-0.5407
offline_val,5816320,710,0,1,184.3258,3.5514,1.0000,0.5117,-0.3465,0.9900,0,0,0,0,0.0400,0.0205,-0.0218,3.5486,-1.9807
offline_val,5816320,710,0,2,160.5274,5.7914,1.0000,0.4262,-0.3531,0.9900,0,0,0,0,0.0400,0.0170,-0.0222,5.7833,-2.2165
offline_val,5816320,710,0,3,100.8937,3.5655,1.0000,0.8209,0.2766,0.9900,0,0,0,0,0.0400,0.0328,0.0174,3.5998,0.3914
offline_val,5816320,710,0,4,109.9212,4.6488,1.0000,0.5597,-0.1391,0.9900,0,0,0,0,0.0400,0.0224,-0.0087,4.6893,0.0542
offline_val,5816320,710,0,5,16.2343,2.4764,0.3253,0.5213,0.4258,0.9900,0,0,0,0,0.0130,0.0209,0.0268,2.4410,1.8632
offline_val,5816320,710,0,6,59.3765,4.2792,1.0000,0.9053,0.4530,0.9900,0,0,0,0,0.0400,0.0362,0.0285,4.2694,1.8444
offline_val,5816320,710,0,7,29.0522,5.1467,1.0000,0.8736,0.5368,0.9900,0,0,0,0,0.0400,0.0349,0.0337,5.0759,3.4050
offline_val,5816320,710,0,8,103.1420,3.8761,1.0000,0.7338,0.1570,0.9900,0,0,0,0,0.0400,0.0294,0.0099,3.9134,0.3248
offline_val,5816320,710,0,9,147.7911,5.4578,1.0000,0.4170,-0.3308,0.9900,0,0,0,0,0.0400,0.0167,-0.0208,5.4662,-1.5599
offline_val,5816320,710,0,10,129.1576,2.3808,1.0000,0.6325,-0.2193,0.9900,0,0,0,0,0.0400,0.0253,-0.0138,2.4163,-0.3135
offline_val,5816320,710,0,11,109.2055,5.2683,1.0000,0.5271,-0.1371,0.9900,0,0,0,0,0.0400,0.0211,-0.0086,5.3091,0.0860
offline_val,5816320,710,0,12,104.1259,4.5393,1.0000,0.6532,0.0428,0.9900,0,0,0,0,0.0400,0.0261,0.0027,4.5786,0.3061
offline_val,5816320,710,0,13,63.7344,5.3170,1.0000,0.8259,0.3543,0.9900,0,0,0,0,0.0400,0.0330,0.0223,5.3129,2.0736
offline_val,5816320,710,0,14,100.0125,4.6931,1.0000,0.6314,0.0223,0.9900,0,0,0,0,0.0400,0.0253,0.0014,4.7325,0.4533
offline_val,5816320,710,0,15,172.7194,2.7404,1.0000,0.5595,-0.3167,0.9900,0,0,0,0,0.0400,0.0224,-0.0199,2.7551,-1.2785
offline_val,5816320,710,0,16,136.2758,5.4721,1.0000,0.4398,-0.2914,0.9900,0,0,0,0,0.0400,0.0176,-0.0183,5.4929,-1.0777
offline_val,5816320,710,0,17,40.2107,4.0176,1.0000,0.8529,0.5242,0.9900,0,0,0,0,0.0400,0.0341,0.0329,3.9842,2.3261
offline_val,5816320,710,0,18,139.5746,4.1254,1.0000,0.5127,-0.2617,0.9900,0,0,0,0,0.0400,0.0205,-0.0164,4.1509,-0.8995
offline_val,5816320,710,0,19,56.6499,5.9957,1.0000,0.8106,0.3397,0.9900,0,0,0,0,0.0400,0.0324,0.0213,5.9813,2.6461
offline_val,5816320,710,0,20,1.9400,1.5412,0.0278,0.2859,0.3506,0.9900,0,0,0,0,0.0011,0.0114,0.0220,1.5140,1.3159
offline_val,5816320,710,0,21,146.2604,2.6187,1.0000,0.6117,-0.2495,0.9900,0,0,0,0,0.0400,0.0245,-0.0157,2.6479,-0.6887
offline_val,5816320,710,0,22,-1.0000,0.0000,0.0433,0.2856,0.3527,-0.0042,0,0,0,0,0.0017,0.0114,0.0222,4.0442,3.7900
offline_val,5816320,710,0,23,103.8844,2.3210,1.0000,0.6910,-0.0927,0.9900,0,0,0,0,0.0400,0.0276,-0.0058,2.3618,0.1552
offline_val,5816320,710,0,24,205.6172,5.7124,1.0000,0.4289,-0.4170,0.9900,0,0,0,0,0.0400,0.0172,-0.0262,5.6455,-4.1376
offline_val,5816320,710,0,25,97.1983,4.5683,1.0000,0.7250,0.1614,0.9900,0,0,0,0,0.0400,0.0290,0.0101,4.6029,0.5819
offline_val,5816320,710,0,26,141.6148,4.0208,1.0000,0.5251,-0.2504,0.9900,0,0,0,0,0.0400,0.0210,-0.0157,4.0462,-0.9342
offline_val,5816320,710,0,27,172.8668,4.7345,1.0000,0.4470,-0.3702,0.9900,0,0,0,0,0.0400,0.0179,-0.0233,4.7230,-2.2506
offline_val,5816320,710,0,28,127.6644,5.6549,1.0000,0.4448,-0.2573,0.9900,0,0,0,0,0.0400,0.0178,-0.0162,5.6835,-0.7372
offline_val,5816320,710,0,29,119.3187,4.5327,1.0000,0.5042,-0.2150,0.9900,0,0,0,0,0.0400,0.0202,-0.0135,4.5690,-0.2896
offline_val,5816320,710,0,30,47.7856,4.2690,1.0000,0.8708,0.4854,0.9900,0,0,0,0,0.0400,0.0348,0.0305,4.2444,2.2178
offline_val,5816320,710,0,31,200.6299,4.1230,1.0000,0.4697,-0.3929,0.9900,0,0,0,0,0.0400,0.0188,-0.0247,4.0942,-2.8199
offline_val,5816320,710,1,0,137.2320,2.7415,1.0000,0.6221,-0.2107,0.0328,0,0,0,0,0.0803,0.0493,-0.0262,2.8073,-0.5407
offline_val,5816320,710,1,1,182.2529,3.5521,1.0000,0.5191,-0.3402,0.0721,0,0,0,0,0.0804,0.0404,-0.0432,3.5486,-1.9807
offline_val,5816320,710,1,2,157.8406,5.7980,1.0000,0.4131,-0.3606,0.0909,0,0,0,0,0.0804,0.0327,-0.0448,5.7833,-2.2165
offline_val,5816320,710,1,3,103.0212,3.5276,1.0000,0.7495,0.1327,0.1130,0,0,0,0,0.0795,0.0635,0.0257,3.5998,0.3914
offline_val,5816320,710,1,4,109.8185,4.6084,1.0000,0.5910,-0.0917,0.0263,0,0,0,0,0.0802,0.0457,-0.0145,4.6893,0.0542
offline_val,5816320,710,1,5,22.4811,2.5091,0.4086,0.5779,0.4540,0.2072,0,0,0,0,0.0287,0.0444,0.0553,2.4410,1.8632
offline_val,5816320,710,1,6,64.0975,4.2821,1.0000,0.8892,0.4286,0.1759,0,0,0,0,0.0790,0.0729,0.0554,4.2694,1.8444
offline_val,5816320,710,1,7,35.1574,5.2056,1.0000,0.8941,0.5114,0.1752,0,0,0,0,0.0788,0.0720,0.0659,5.0759,3.4050
offline_val,5816320,710,1,8,105.0851,3.8378,1.0000,0.7246,0.1221,0.1061,0,0,0,0,0.0797,0.0587,0.0175,3.9134,0.3248
offline_val,5816320,710,1,9,145.5571,5.4470,1.0000,0.4307,-0.3261,0.0902,0,0,0,0,0.0803,0.0331,-0.0413,5.4662,-1.5599
offline_val,5816320,710,1,10,129.0512,2.3451,1.0000,0.6380,-0.2172,0.0299,0,0,0,0,0.0803,0.0503,-0.0274,2.4163,-0.3135
offline_val,5816320,710,1,11,108.9785,5.2277,1.0000,0.5562,-0.0922,0.0215,0,0,0,0,0.0802,0.0430,-0.0144,5.3091,0.0860
offline_val,5816320,710,1,12,104.5091,4.4988,1.0000,0.6094,-0.0321,0.0458,0,0,0,0,0.0799,0.0506,0.0007,4.5786,0.3061
offline_val,5816320,710,1,13,67.5422,5.3178,1.0000,0.8356,0.3545,0.1415,0,0,0,0,0.0792,0.0673,0.0445,5.3129,2.0736
offline_val,5816320,710,1,14,100.5360,4.6529,1.0000,0.6155,-0.0094,0.0512,0,0,0,0,0.0800,0.0499,0.0008,4.7325,0.4533
offline_val,5816320,710,1,15,171.5302,2.7250,1.0000,0.5604,-0.3151,0.0530,0,0,0,0,0.0804,0.0440,-0.0397,2.7551,-1.2785
offline_val,5816320,710,1,16,134.2485,5.4504,1.0000,0.4230,-0.3032,0.0928,0,0,0,0,0.0803,0.0338,-0.0374,5.4929,-1.0777
offline_val,5816320,710,1,17,46.1207,4.0441,1.0000,0.8852,0.5135,0.1999,0,0,0,0,0.0788,0.0708,0.0652,3.9842,2.3261
offline_val,5816320,710,1,18,138.2278,4.0992,1.0000,0.5130,-0.2617,0.0701,0,0,0,0,0.0803,0.0404,-0.0329,4.1509,-0.8995
offline_val,5816320,710,1,19,59.7176,5.9985,1.0000,0.7609,0.2830,0.1100,0,0,0,0,0.0793,0.0637,0.0391,5.9813,2.6461
offline_val,5816320,710,1,20,7.6994,1.5655,0.0775,0.3343,0.3507,0.1961,0,0,0,0,0.0039,0.0249,0.0441,1.5140,1.3159
