update,step,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,8192,0,0,0,0,0.0,0.0,0.0,-0.018409561924636365,0.2325088182464242,0.0,2.17504378259182,0.01716837512140046,0.49963998794555664,0.4984157085418701,0.5003400444984436,0.0
2,16384,0,0,0,0,0.0,0.0,0.0,-0.021728470182279126,0.09952658861875534,0.0,2.165510046482086,0.01640256493483321,0.4960867762565613,0.48875337839126587,0.5016237497329712,0.0
3,24576,1,0,1,0,0.0,1.0,0.0,-0.011516463776933961,0.09046953436918556,0.0,2.1340141773223875,0.012180798115878133,0.4903731942176819,0.47982877492904663,0.4972741901874542,0.0
4,32768,2,0,2,0,0.0,1.0,0.0,-0.006145750702125951,0.10439136405475438,0.0,2.1107698708772658,0.010570593499141977,0.4879039227962494,0.47497695684432983,0.495764821767807,0.0
5,40960,1,0,1,0,0.0,1.0,0.0,-0.006674510092125274,0.0581458464730531,0.0,2.093080613017082,0.01358669041437679,0.4847511947154999,0.47070011496543884,0.4920403063297272,0.0
6,49152,124,0,1,124,0.0,0.008064516129032258,1.0,-0.002655122400028631,0.08123914236202837,0.0,2.0717212527990343,0.011315949518757407,0.48069795966148376,0.4645075500011444,0.48938384652137756,0.0
7,57344,0,0,0,0,0.0,0.0,0.0,-0.004996643174672499,0.03729533315636217,0.0,2.049814909696579,0.012098351350141456,0.4784594476222992,0.46054965257644653,0.48910102248191833,0.0
8,65536,0,0,0,0,0.0,0.0,0.0,-0.012075313960667699,0.012020253180526196,0.0,2.031845283508301,0.011522126610361737,0.47460922598838806,0.45440396666526794,0.48526644706726074,0.0
9,73728,2,0,0,2,0.0,0.0,1.0,-0.008113046365906484,0.013886166142765433,0.0,2.0165098518133164,0.012424894122523256,0.4736585021018982,0.4511524736881256,0.48715049028396606,0.0
10,81920,1,0,0,1,0.0,0.0,1.0,-0.000604837411083281,0.01126300891628489,0.0,2.0076194584369658,0.020129190255102004,0.47234827280044556,0.4477483332157135,0.4881300628185272,0.0
11,90112,1,0,0,1,0.0,0.0,1.0,-0.0005920765659539029,0.06490469831041992,0.0,1.996888518333435,0.013409875766956247,0.47008204460144043,0.4444199800491333,0.48621153831481934,0.0
12,98304,124,0,1,123,0.0,0.008064516129032258,0.9919354838709677,0.0007729000441031531,0.17468724558129906,0.0,1.9802248105406761,0.008269327363086632,0.4670587480068207,0.4380940794944763,0.48783814907073975,0.0
13,106496,0,0,0,0,0.0,0.0,0.0,-0.0017915297736180945,0.018865085556171834,0.0,1.9629250392317772,0.011777112750860397,0.4648335576057434,0.4326772093772888,0.49006757140159607,0.0
14,114688,0,0,0,0,0.0,0.0,0.0,-0.001299211720470339,0.10654286183416843,0.0,1.9455369129776954,0.01015757524073706,0.46235546469688416,0.42806392908096313,0.4877026081085205,0.0
15,122880,5,0,3,2,0.0,0.6,0.4,-0.0002506631193682551,0.2517463954165578,0.0,1.9321425303816795,0.008925526646635262,0.4601444602012634,0.4256691038608551,0.4858238697052002,0.0
16,131072,8,0,7,1,0.0,0.875,0.125,-0.0045236580044729635,0.3498063389211893,0.0,1.9194966837763787,0.013246143854485127,0.45910924673080444,0.42266371846199036,0.48724743723869324,0.0
17,139264,2,0,1,1,0.0,0.5,0.5,-0.001450702000875026,0.27345013786107303,0.0,1.9075333401560783,0.014002387686923612,0.4563616216182709,0.41781267523765564,0.4866600036621094,0.0
18,147456,113,0,0,113,0.0,0.0,1.0,-0.0042738111456856135,0.11386674614623189,0.0,1.88904210627079,0.014946905113902176,0.4541456401348114,0.4143332540988922,0.48529645800590515,0.0
19,155648,0,0,0,0,0.0,0.0,0.0,0.0010217922390438616,0.007146107155131176,0.0,1.8715946137905122,0.013889557423681254,0.450895756483078,0.4087364971637726,0.4850386679172516,0.0
20,163840,0,0,0,0,0.0,0.0,0.0,-0.002778608025982976,0.007181803160347044,0.0,1.8499197840690613,0.012760109307419044,0.4486343562602997,0.4050333499908447,0.48575544357299805,0.0
21,172032,5,0,0,5,0.0,0.0,1.0,0.0020594705012626944,0.01431846512714401,0.0,1.8311722338199616,0.011586593140964396,0.4449649453163147,0.3985532224178314,0.4839154779911041,0.0
22,180224,9,0,0,9,0.0,0.0,1.0,-0.0023027189366985113,0.011841816327068955,0.0,1.8147316560149194,0.008263439757865854,0.44428953528404236,0.3934452533721924,0.485537052154541,0.0
23,188416,1,0,0,1,0.0,0.0,1.0,-0.00043033433030359447,0.009180112200556322,0.0,1.8035736352205276,0.010397598113195272,0.44249409437179565,0.3896259367465973,0.48518866300582886,0.0
24,196608,113,0,0,113,0.0,0.0,1.0,0.0006517882022308186,0.029809973936062308,0.0,1.7957424327731133,0.015495930166798644,0.4420143961906433,0.3876122534275055,0.48543909192085266,0.0
25,204800,0,0,0,0,0.0,0.0,0.0,0.0004878535226453096,0.011439394397893921,0.0,1.7817366302013398,0.012576589387026615,0.43839919567108154,0.38381925225257874,0.48141661286354065,0.0
26,212992,0,0,0,0,0.0,0.0,0.0,-0.0020665324584115295,0.010002128483029083,0.0,1.7591378659009933,0.007680592295946554,0.43570470809936523,0.37968477606773376,0.47700247168540955,0.0
27,221184,7,0,0,7,0.0,0.0,1.0,0.0022248105844482778,0.016714578156825154,0.0,1.7539163321256637,0.018951819522771984,0.4365178942680359,0.379098504781723,0.48107749223709106,0.0
28,229376,7,0,0,7,0.0,0.0,1.0,0.00458521893597208,0.0038437322102254255,0.0,1.7493419021368026,0.013018351760547376,0.4344412684440613,0.37528136372566223,0.4810466170310974,0.0
29,237568,2,0,0,2,0.0,0.0,1.0,-0.002418278413824737,0.003873369100620039,0.0,1.7277641639113426,0.01323002861608984,0.43151843547821045,0.37004125118255615,0.4791903495788574,0.0
30,245760,112,0,0,112,0.0,0.0,1.0,0.0014087498420849442,0.017663998005446047,0.0,1.7040299594402313,0.015758019412169234,0.4275190234184265,0.36566755175590515,0.47670358419418335,0.0
31,253952,0,0,0,0,0.0,0.0,0.0,-0.002080574829597026,0.0038874764140928164,0.0,1.6825394466519357,0.013678301689287764,0.42547982931137085,0.36412763595581055,0.4731976091861725,0.0
32,262144,1,0,0,1,0.0,0.0,1.0,0.002531241433462128,0.01989800893352367,0.0,1.671392884850502,0.025128893944929585,0.42424440383911133,0.3622247576713562,0.4726313650608063,0.0
33,270336,8,0,0,8,0.0,0.0,1.0,0.005756569735240191,0.01440558884642087,0.0,1.6579318702220918,0.025950065891083795,0.4225863814353943,0.36101070046424866,0.47123339772224426,0.0
34,278528,5,0,0,5,0.0,0.0,1.0,0.004362766246777028,0.005297876335680485,0.0,1.6464662745594978,0.013687818473772494,0.42042118310928345,0.35608431696891785,0.4696866273880005,0.0
35,286720,2,0,0,2,0.0,0.0,1.0,0.006823463598266244,0.004861853347392753,0.0,1.633527797460556,0.021616012533922913,0.41977858543395996,0.35403165221214294,0.46989476680755615,0.0
36,294912,112,0,0,112,0.0,0.0,1.0,0.0006501626136014238,0.020569570176303387,0.0,1.6242987543344498,0.015166858149314066,0.4174157381057739,0.35000088810920715,0.47056105732917786,0.0
37,303104,0,0,0,0,0.0,0.0,0.0,0.0009079979674424977,0.004593310775817372,0.0,1.6023292034864425,0.016269905133231077,0.4144030511379242,0.348562091588974,0.4683687686920166,0.0
38,311296,3,0,0,3,0.0,0.0,1.0,0.002075885597150773,0.01357186638051644,0.0,1.5814916238188743,0.0232450507915928,0.41178521513938904,0.34691891074180603,0.46282562613487244,0.0
39,319488,7,0,0,7,0.0,0.0,1.0,0.014765981369419024,0.028784471983090042,0.0,1.5645637646317483,0.05335813517594943,0.4092346131801605,0.3452916443347931,0.4581032395362854,0.0
40,327680,4,0,0,4,0.0,0.0,1.0,0.008961848478065804,0.05765448287129402,0.0,1.5453172355890274,0.025986925006873208,0.406449556350708,0.342090368270874,0.4544881284236908,0.0
41,335872,114,0,0,114,0.0,0.0,1.0,0.00312829670147039,0.040875423490069805,0.0,1.524849919974804,0.017986245273277746,0.4039804935455322,0.33947208523750305,0.45318394899368286,0.0
42,344064,0,0,0,0,0.0,0.0,0.0,0.0013609373534563928,0.007434308156371116,0.0,1.511081986129284,0.009868132634437643,0.4030776023864746,0.338897168636322,0.45288828015327454,0.0
43,352256,0,0,0,0,0.0,0.0,0.0,0.0007597196032293141,0.031640415918082,0.0,1.4933116897940635,0.014229062586309738,0.3986763656139374,0.3338475227355957,0.4480755627155304,0.0
44,360448,3,0,0,3,0.0,0.0,1.0,0.000886959390481934,0.01511448787059635,0.0,1.4725645765662194,0.013739407269531512,0.3986593186855316,0.332616925239563,0.4479281008243561,0.0
45,368640,9,0,0,9,0.0,0.0,1.0,0.006107997376238928,0.01707825734047219,0.0,1.4655695229768753,0.019399976322893052,0.39635127782821655,0.32952651381492615,0.4475902020931244,0.0
46,376832,3,0,0,3,0.0,0.0,1.0,0.0007776056358125061,0.03763524650130421,0.0,1.4457818612456321,0.01880468808594742,0.39388570189476013,0.3288220465183258,0.44700008630752563,0.0
47,385024,113,0,0,113,0.0,0.0,1.0,0.002638252842007205,0.07258187541738152,0.0,1.43270083963871,0.019920872186412454,0.3927508294582367,0.3268139958381653,0.4469723403453827,0.0
48,393216,0,0,0,0,0.0,0.0,0.0,0.0022976814943831414,0.012475741025991739,0.0,1.4268983751535416,0.015520536262192764,0.39241573214530945,0.3258718252182007,0.44710907340049744,0.0
49,401408,0,0,0,0,0.0,0.0,0.0,0.006372763955732807,0.029009263310581446,0.0,1.421255812048912,0.031178318020829467,0.3917597234249115,0.32343789935112,0.4496353268623352,0.0
50,409600,5,0,0,5,0.0,0.0,1.0,-0.0050092494144337255,0.06281877574510872,0.0,1.412635201215744,0.015590194664764568,0.39014625549316406,0.3219059705734253,0.44926685094833374,0.0
51,417792,8,0,0,8,0.0,0.0,1.0,0.005556194169912487,0.034146740846335885,0.0,1.392378580570221,0.018721558946708683,0.38731294870376587,0.3212237060070038,0.4444911777973175,0.0
52,425984,2,0,0,2,0.0,0.0,1.0,0.001716681313700974,0.03702119216322899,0.0,1.3742961645126344,0.021399836471027812,0.38464459776878357,0.3177042007446289,0.44096383452415466,0.0
53,434176,113,0,0,113,0.0,0.0,1.0,0.0034476291097234935,0.07488132654689253,0.0,1.3582415223121642,0.020280736321728908,0.3834887444972992,0.3162825107574463,0.4411264955997467,0.0
54,442368,0,0,0,0,0.0,0.0,0.0,0.003862249851226807,0.010532931610941886,0.0,1.344500283896923,0.011404741000296781,0.38200658559799194,0.31324028968811035,0.4414510428905487,0.0
55,450560,0,0,0,0,0.0,0.0,0.0,0.000660736599820666,0.04933155062608421,0.0,1.3358605921268463,0.02339046503002464,0.3811057507991791,0.31249314546585083,0.4403766095638275,0.0
56,458752,5,0,0,5,0.0,0.0,1.0,0.007521139696473255,0.038981879991479215,0.0,1.326838755607605,0.02473882593367307,0.37943750619888306,0.3099220395088196,0.4396381676197052,0.0
57,466944,9,0,0,9,0.0,0.0,1.0,0.007756290576071479,0.03879231915343553,0.0,1.3065202683210373,0.020443693654306115,0.37638020515441895,0.30702659487724304,0.436039537191391,0.0
58,475136,1,0,0,1,0.0,0.0,1.0,0.004845962085528299,0.05693236771039665,0.0,1.2812162950634955,0.017884828990645474,0.37390634417533875,0.3023170828819275,0.43324044346809387,0.0
59,483328,113,0,0,113,0.0,0.0,1.0,-0.0016813565511256457,0.05246166940778494,0.0,1.249749793112278,0.011710981273063225,0.3685290217399597,0.2965613901615143,0.4270697236061096,0.0
60,491520,0,0,0,0,0.0,0.0,0.0,0.0032134175766259433,0.012378648144658656,0.0,1.2196595445275307,0.01444250378990546,0.36679190397262573,0.2950150966644287,0.4257013499736786,0.0
61,499712,0,0,0,0,0.0,0.0,0.0,0.003876015840796754,0.012850032426649704,0.0,1.1990058854222299,0.01801947599160485,0.363517165184021,0.2920210063457489,0.42060214281082153,0.0
62,507904,5,0,0,5,0.0,0.0,1.0,0.0021470190316904337,0.018416086432989687,0.0,1.1796903133392334,0.021606186692952178,0.3615579605102539,0.2917850911617279,0.4162907004356384,0.0
63,516096,9,0,0,9,0.0,0.0,1.0,0.007504772383254021,0.013819117832463234,0.0,1.165385502576828,0.023517775891741623,0.35983967781066895,0.29071280360221863,0.41388121247291565,0.0
64,524288,1,0,0,1,0.0,0.0,1.0,0.0065568570222239945,0.048267021775245667,0.0,1.150953808426857,0.03162740436309832,0.357879638671875,0.2899165749549866,0.41201168298721313,0.0
65,532480,113,0,0,113,0.0,0.0,1.0,0.0009328188811196014,0.022402049030642957,0.0,1.1395764663815497,0.013031929481803673,0.3574339747428894,0.2873286008834839,0.4151451885700226,0.0
66,540672,0,0,0,0,0.0,0.0,0.0,-0.0004167745151789859,0.012067878321977333,0.0,1.1256901800632477,0.008991108219925081,0.35523343086242676,0.28484129905700684,0.41428881883621216,0.0
67,548864,1,0,0,1,0.0,0.0,1.0,0.0059157060226425525,0.0017685278420685791,0.0,1.104154734313488,0.01681583875542856,0.35307592153549194,0.28095442056655884,0.41308414936065674,0.0
