phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,7520256,918,0,0,162.3093,2.3971,0.5676,-0.1479,-0.1796,0.9900,0,0,0,0,0.0227,-0.0059,-0.0113,2.4095,-0.9364
offline_val,7520256,918,0,1,40.8793,3.8449,0.9764,0.3141,0.1817,0.9900,0,0,0,0,0.0391,0.0126,0.0114,3.8603,2.1050
offline_val,7520256,918,0,2,203.3311,5.4321,0.9160,0.0105,-0.1061,0.9900,0,0,0,0,0.0366,0.0004,-0.0067,5.4438,-3.7526
offline_val,7520256,918,0,3,136.0323,4.5080,0.9163,0.0116,-0.1052,0.9900,0,0,0,0,0.0367,0.0005,-0.0066,4.5392,-0.8410
offline_val,7520256,918,0,4,20.7484,2.6943,0.4960,0.2432,0.2431,0.9900,0,0,0,0,0.0198,0.0097,0.0153,2.6857,1.8927
offline_val,7520256,918,0,5,10.2828,5.0863,-0.1832,0.5192,1.0000,0.9900,0,0,0,0,-0.0073,0.0208,0.0628,4.8256,4.2086
offline_val,7520256,918,0,6,-1.0000,0.0000,-0.1828,0.5198,1.0000,-0.0152,0,0,0,0,-0.0073,0.0208,0.0628,2.6556,-2.3242
offline_val,7520256,918,0,7,127.5070,4.2661,0.9516,0.0818,-0.0418,0.9900,0,0,0,0,0.0381,0.0033,-0.0026,4.3028,-0.5036
offline_val,7520256,918,0,8,-1.0000,0.0000,-0.1824,0.5201,1.0000,-0.0152,0,0,0,0,-0.0073,0.0208,0.0628,2.6732,2.6146
offline_val,7520256,918,0,9,29.8167,3.6962,0.8662,0.3124,0.2094,0.9900,0,0,0,0,0.0346,0.0125,0.0132,3.7006,2.3367
offline_val,7520256,918,0,10,95.4142,4.5742,0.9643,0.1094,-0.0168,0.9900,0,0,0,0,0.0386,0.0044,-0.0011,4.6134,0.5679
offline_val,7520256,918,0,11,109.7063,5.5137,0.9642,0.1093,-0.0170,0.9900,0,0,0,0,0.0386,0.0044,-0.0011,5.5524,0.0932
offline_val,7520256,918,0,12,129.8260,2.8234,0.8906,-0.0894,-0.1905,0.9900,0,0,0,0,0.0356,-0.0036,-0.0120,2.8543,-0.4144
offline_val,7520256,918,0,13,201.8100,3.7223,0.6811,-0.0784,-0.1287,0.9900,0,0,0,0,0.0272,-0.0031,-0.0081,3.7292,-2.5377
offline_val,7520256,918,0,14,95.4476,5.3989,0.9642,0.1094,-0.0168,0.9900,0,0,0,0,0.0386,0.0044,-0.0011,5.4382,0.6682
offline_val,7520256,918,0,15,188.3789,4.2700,0.9136,0.0070,-0.1090,0.9900,0,0,0,0,0.0365,0.0003,-0.0068,4.2897,-2.4723
offline_val,7520256,918,0,16,91.8809,3.3324,0.9624,0.2856,0.1665,0.9900,0,0,0,0,0.0385,0.0114,0.0105,3.3655,0.5486
offline_val,7520256,918,0,17,111.8848,4.7074,0.9644,0.1086,-0.0177,0.9900,0,0,0,0,0.0386,0.0043,-0.0011,4.7460,0.0032
offline_val,7520256,918,0,18,205.0566,5.0534,0.7360,-0.1356,-0.2113,0.9900,0,0,0,0,0.0294,-0.0054,-0.0133,5.0356,-3.5953
offline_val,7520256,918,0,19,108.2128,4.4529,0.9644,0.1091,-0.0172,0.9900,0,0,0,0,0.0386,0.0044,-0.0011,4.4916,0.1259
offline_val,7520256,918,0,20,185.3937,5.9176,0.9162,0.0111,-0.1056,0.9900,0,0,0,0,0.0366,0.0004,-0.0066,5.9325,-3.2926
offline_val,7520256,918,0,21,210.0028,1.8805,0.2415,-0.1802,-0.1444,0.9900,0,0,0,0,0.0097,-0.0072,-0.0091,1.8776,-1.4050
offline_val,7520256,918,0,22,189.7162,3.6572,0.8360,-0.1116,-0.2071,0.9900,0,0,0,0,0.0334,-0.0045,-0.0130,3.6626,-2.1813
offline_val,7520256,918,0,23,207.4369,2.2222,0.2418,-0.1805,-0.1446,0.9900,0,0,0,0,0.0097,-0.0072,-0.0091,2.2174,-1.6163
offline_val,7520256,918,0,24,74.5075,2.2160,0.7883,0.2695,0.1822,0.9900,0,0,0,0,0.0315,0.0108,0.0114,2.2403,0.6586
offline_val,7520256,918,0,25,110.8616,3.1840,0.9649,0.1096,-0.0169,0.9900,0,0,0,0,0.0386,0.0044,-0.0011,3.2226,0.0282
offline_val,7520256,918,0,26,108.6935,3.2413,0.9606,0.2181,0.0957,0.9900,0,0,0,0,0.0384,0.0087,0.0060,3.2792,0.1085
offline_val,7520256,918,0,27,204.4134,2.2985,0.2464,-0.1793,-0.1437,0.9900,0,0,0,0,0.0099,-0.0072,-0.0090,2.2939,-1.6193
offline_val,7520256,918,0,28,9.0952,4.2258,0.6382,0.2964,0.2168,0.9900,0,0,0,0,0.0255,0.0119,0.0136,4.2065,3.3270
offline_val,7520256,918,0,29,128.8614,6.3055,0.9166,0.0246,-0.0934,0.9900,0,0,0,0,0.0367,0.0010,-0.0059,6.3374,-0.8325
offline_val,7520256,918,0,30,50.5435,1.9690,0.4560,0.2284,0.2092,0.9900,0,0,0,0,0.0182,0.0091,0.0131,1.9752,0.9415
offline_val,7520256,918,0,31,-1.0000,0.0000,-0.1841,0.5183,1.0000,-0.0151,0,0,0,0,-0.0074,0.0207,0.0628,2.0231,2.0204
offline_val,7520256,918,1,0,160.6827,2.3866,0.5117,-0.1582,-0.1786,0.0656,0,0,0,0,0.0431,-0.0125,-0.0225,2.4095,-0.9364
offline_val,7520256,918,1,1,42.4637,3.8309,0.9005,0.2817,0.1736,0.0674,0,0,0,0,0.0749,0.0242,0.0223,3.8603,2.1050
offline_val,7520256,918,1,2,202.6515,5.4202,0.9160,0.0102,-0.1064,0.0291,0,0,0,0,0.0733,0.0006,-0.0134,5.4438,-3.7526
offline_val,7520256,918,1,3,135.3325,4.4766,0.9162,0.0116,-0.1052,0.0494,0,0,0,0,0.0733,0.0007,-0.0132,4.5392,-0.8410
offline_val,7520256,918,1,4,23.6866,2.7061,0.4141,0.2349,0.2490,0.0957,0,0,0,0,0.0363,0.0194,0.0309,2.6857,1.8927
offline_val,7520256,918,1,5,12.3883,5.0944,0.9524,0.3249,0.1920,0.0661,0,0,0,0,0.0299,0.0361,0.0749,4.8256,4.2086
offline_val,7520256,918,1,6,-1.0000,0.0000,-0.1830,0.5195,1.0000,-0.0152,0,0,0,0,-0.0159,0.0411,0.1257,2.6556,-2.3242
offline_val,7520256,918,1,7,127.3725,4.2294,0.9508,0.0794,-0.0440,0.0320,0,0,0,0,0.0761,0.0063,-0.0054,4.3028,-0.5036
offline_val,7520256,918,1,8,13.0816,2.9906,-0.1858,0.5172,1.0000,0.9900,0,0,0,0,-0.0160,0.0410,0.1257,2.6732,2.6146
offline_val,7520256,918,1,9,31.4173,3.6812,1.0000,0.3114,0.1775,0.0690,0,0,0,0,0.0745,0.0255,0.0243,3.7006,2.3367
offline_val,7520256,918,1,10,95.2586,4.5350,0.9642,0.1094,-0.0168,0.0229,0,0,0,0,0.0771,0.0087,-0.0021,4.6134,0.5679
offline_val,7520256,918,1,11,109.6548,5.4751,0.9642,0.1093,-0.0169,0.0266,0,0,0,0,0.0771,0.0087,-0.0021,5.5524,0.0932
offline_val,7520256,918,1,12,128.5390,2.7914,0.8931,-0.0601,-0.1642,0.0735,0,0,0,0,0.0713,-0.0064,-0.0223,2.8543,-0.4144
offline_val,7520256,918,1,13,201.0034,3.7146,0.6055,-0.0795,-0.1052,0.0300,0,0,0,0,0.0514,-0.0065,-0.0147,3.7292,-2.5377
offline_val,7520256,918,1,14,95.2942,5.3596,0.9642,0.1094,-0.0168,0.0231,0,0,0,0,0.0771,0.0087,-0.0021,5.4382,0.6682
offline_val,7520256,918,1,15,187.7705,4.2509,0.9126,0.0012,-0.1139,0.0335,0,0,0,0,0.0730,0.0001,-0.0140,4.2897,-2.4723
offline_val,7520256,918,1,16,93.5257,3.2989,0.9627,0.2848,0.1657,0.0894,0,0,0,0,0.0769,0.0232,0.0209,3.3655,0.5486
offline_val,7520256,918,1,17,111.8618,4.6688,0.9642,0.1088,-0.0175,0.0277,0,0,0,0,0.0771,0.0087,-0.0022,4.7460,0.0032
