phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,5144576,628,0,0,174.8046,5.8838,1.0000,0.8132,-0.5725,0.9900,0,0,0,0,0.0400,0.0325,-0.0360,5.8204,-2.9458
offline_val,5144576,628,0,1,189.6405,3.7169,0.4227,0.5248,-0.7244,0.9900,0,0,0,0,0.0169,0.0210,-0.0455,3.6316,-2.3079
offline_val,5144576,628,0,2,166.8809,2.3699,-0.1036,0.2726,-0.5995,0.9900,0,0,0,0,-0.0041,0.0109,-0.0377,2.3274,-1.0521
offline_val,5144576,628,0,3,139.5247,4.5287,1.0000,0.6116,-0.2837,0.9900,0,0,0,0,0.0400,0.0245,-0.0178,4.5513,-0.9900
offline_val,5144576,628,0,4,181.4217,4.4145,0.9608,0.6549,-0.6636,0.9900,0,0,0,0,0.0384,0.0262,-0.0417,4.3534,-2.4518
offline_val,5144576,628,0,5,2.8387,2.5532,0.2196,-0.4341,0.9594,0.9900,0,0,0,0,0.0088,-0.0174,0.0603,2.4315,2.2207
offline_val,5144576,628,0,6,118.6690,6.2960,1.0000,0.7890,-0.1233,0.9900,0,0,0,0,0.0400,0.0316,-0.0077,6.3333,-0.3318
offline_val,5144576,628,0,7,154.5926,5.8265,1.0000,0.8249,-0.4557,0.9900,0,0,0,0,0.0400,0.0330,-0.0286,5.8109,-1.9923
offline_val,5144576,628,0,8,132.7954,6.5238,1.0000,0.8195,-0.2418,0.9900,0,0,0,0,0.0400,0.0328,-0.0152,6.5476,-1.0826
offline_val,5144576,628,0,9,49.2605,3.0624,1.0000,0.1601,0.7675,0.9900,0,0,0,0,0.0400,0.0064,0.0482,3.0294,1.5918
offline_val,5144576,628,0,10,181.6915,3.1505,0.1524,0.4273,-0.7077,0.9900,0,0,0,0,0.0061,0.0171,-0.0445,3.0804,-1.7663
offline_val,5144576,628,0,11,44.3584,3.2480,1.0000,0.1762,0.8116,0.9900,0,0,0,0,0.0400,0.0070,0.0510,3.1999,1.8164
offline_val,5144576,628,0,12,81.1606,3.3296,1.0000,0.2957,0.3863,0.9900,0,0,0,0,0.0400,0.0118,0.0243,3.3499,0.8617
offline_val,5144576,628,0,13,-1.0000,0.0000,0.2212,-0.4335,0.9592,-0.0118,0,0,0,0,0.0088,-0.0173,0.0603,4.2610,-3.5095
offline_val,5144576,628,0,14,7.0060,4.3012,0.2202,-0.4341,0.9597,0.9900,0,0,0,0,0.0088,-0.0174,0.0603,4.0984,3.6191
offline_val,5144576,628,0,15,202.4244,5.4057,1.0000,0.8029,-0.7997,0.9900,0,0,0,0,0.0400,0.0321,-0.0502,5.2549,-3.8969
offline_val,5144576,628,0,16,97.1625,4.9731,1.0000,0.5850,0.1389,0.9900,0,0,0,0,0.0400,0.0234,0.0087,5.0081,0.6196
offline_val,5144576,628,0,17,133.8295,5.5827,1.0000,0.7397,-0.2416,0.9900,0,0,0,0,0.0400,0.0296,-0.0152,5.6082,-0.9681
offline_val,5144576,628,0,18,135.1179,3.3089,1.0000,0.3793,-0.2057,0.9900,0,0,0,0,0.0400,0.0152,-0.0129,3.3412,-0.6006
offline_val,5144576,628,0,19,130.3812,5.5755,1.0000,0.7260,-0.1923,0.9900,0,0,0,0,0.0400,0.0290,-0.0121,5.6058,-0.8061
offline_val,5144576,628,0,20,202.8902,2.1738,-0.5452,0.2563,-0.7715,0.9900,0,0,0,0,-0.0218,0.0103,-0.0485,2.0777,-1.5736
offline_val,5144576,628,0,21,88.0432,6.6295,1.0000,0.7220,0.1210,0.9900,0,0,0,0,0.0400,0.0289,0.0076,6.6603,1.2691
offline_val,5144576,628,0,22,30.5710,2.0410,1.0000,-0.0357,0.8754,0.9900,0,0,0,0,0.0400,-0.0014,0.0550,2.0095,1.3541
offline_val,5144576,628,0,23,121.8003,2.3804,0.5044,0.1704,-0.0912,0.9900,0,0,0,0,0.0202,0.0068,-0.0057,2.3996,-0.1816
offline_val,5144576,628,0,24,4.4552,2.5381,0.2214,-0.4340,0.9602,0.9900,0,0,0,0,0.0089,-0.0174,0.0603,2.4190,2.1769
offline_val,5144576,628,0,25,108.4062,2.3399,0.6811,0.1721,0.0168,0.9900,0,0,0,0,0.0272,0.0069,0.0011,2.3670,0.0723
offline_val,5144576,628,0,26,104.5498,3.6992,1.0000,0.3984,0.0681,0.9900,0,0,0,0,0.0400,0.0159,0.0043,3.7383,0.2382
offline_val,5144576,628,0,27,81.4833,4.2212,1.0000,0.4526,0.2993,0.9900,0,0,0,0,0.0400,0.0181,0.0188,4.2423,1.0624
offline_val,5144576,628,0,28,139.4248,3.9277,1.0000,0.5055,-0.2815,0.9900,0,0,0,0,0.0400,0.0202,-0.0177,3.9528,-0.8561
offline_val,5144576,628,0,29,107.3248,4.9130,1.0000,0.6001,0.0164,0.9900,0,0,0,0,0.0400,0.0240,0.0010,4.9528,0.2012
offline_val,5144576,628,0,30,195.7066,3.2128,0.0517,0.4435,-0.7722,0.9900,0,0,0,0,0.0021,0.0177,-0.0485,3.1134,-2.1506
offline_val,5144576,628,0,31,75.5424,1.9835,0.7282,0.0651,0.2914,0.9900,0,0,0,0,0.0291,0.0026,0.0183,2.0023,0.5806
offline_val,5144576,628,1,0,170.5130,5.9350,1.0000,0.8044,-0.5375,0.1104,0,0,0,0,0.0811,0.0632,-0.0697,5.8204,-2.9458
offline_val,5144576,628,1,1,183.3748,3.7854,0.5188,0.5193,-0.6749,0.1722,0,0,0,0,0.0386,0.0408,-0.0879,3.6316,-2.3079
offline_val,5144576,628,1,2,161.8105,2.4064,-0.0485,0.2789,-0.5833,0.1564,0,0,0,0,-0.0057,0.0221,-0.0743,2.3274,-1.0521
