update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef,mdp_update,mdp_loss,mdp_dyn,mdp_contrast,mdp_idm,mdp_var,mdp_cov,mdp_reward,mdp_done,mdp_value,mdp_retrieval1,mdp_eff_rank
1,4096,661.6543546099252,675.7006555374284,6.061855892003223,0.12854175299435155,0,0,0,0,0.0,0.0,0.0,0.3046547594713047,1.0841407775878906,0.3534731149673462,2.183155542612076,1.4201461273230962,0.5031377077102661,0.5011186599731445,0.505329430103302,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8192,670.807204593488,689.3459810335169,5.941863900996395,0.07535803399514407,0,0,0,0,0.0,0.0,0.0,0.02439930069958791,0.5707562014460563,0.10437687076628208,2.196551901102066,0.13235096215939848,0.5026446580886841,0.4949592351913452,0.5084636807441711,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12288,669.7205562866812,676.3439658767333,6.056090106001648,0.07601261899981182,0,0,0,0,0.0,0.0,0.0,-0.002248542499728501,0.5700949184596539,0.049968396220356225,2.1898693263530733,0.02058035974332597,0.5018515586853027,0.4917449355125427,0.5121913552284241,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16384,667.3952491010532,668.98798987838,6.122680918000697,0.0749958649976179,2,0,2,0,0.0,1.0,0.0,-0.0015420912997797132,0.7077037155628204,0.027569837449118496,2.1869432985782624,0.015964738023467363,0.5015859603881836,0.4959842562675476,0.5114315748214722,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20480,660.0743629644561,639.2904803641514,6.407103070996527,0.06729404100042302,2,0,2,0,0.0,1.0,0.0,0.01620758242206648,0.9026245698332787,0.047140704840421675,2.1846181571483614,0.06701913840515772,0.500939130783081,0.49692419171333313,0.5077676773071289,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24576,659.2066547225324,663.1389269917187,6.176684603000467,0.07432760500523727,60,0,1,59,0.0,0.016666666666666666,0.9833333333333333,0.045659866323694585,1.8610297322273255,0.11628362219780683,2.184041213989258,0.10072562921122881,0.5015062093734741,0.4997311234474182,0.5049100518226624,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28672,661.2422140106248,682.685769693477,5.999832107001566,0.07648497100308305,0,0,0,0,0.0,0.0,0.0,0.027842210023663938,0.9632435873150825,0.09585013687610626,2.1898147583007814,0.05920007870154222,0.5031888484954834,0.5013552904129028,0.5050815343856812,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,32768,660.9318514341688,667.2885384215468,6.138274171004014,0.07602591100294376,0,0,0,0,0.0,0.0,0.0,-0.0031853428925387563,0.2165879387408495,0.0241570086684078,2.1927296042442324,0.008657416504865978,0.5011701583862305,0.4982346296310425,0.5063717365264893,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,36864,661.7152113649456,677.5622520055658,6.045200995002233,0.08264208200125722,0,0,0,0,0.0,0.0,0.0,-0.003554200555663556,0.28963085301220415,0.020813610823825,2.180644100904465,0.007100128814636264,0.5005937218666077,0.49725422263145447,0.5054110884666443,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,40960,660.0460221220543,653.5853295848851,6.266970530996332,0.0762388090006425,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,0.02647456314880401,0.6673224195837975,0.03721098210662603,2.180708944797516,0.14899806751782307,0.5004795789718628,0.4960252046585083,0.5052316784858704,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,45056,658.4429417742984,651.181153718665,6.290108331006195,0.07697309600189328,3,0,0,3,0.0,0.0,1.0,0.06354976706206798,3.1890689969062804,0.12745968271046876,2.183890163898468,0.11157025892171077,0.5025233030319214,0.4972947835922241,0.5086566805839539,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,49152,656.7998893841038,647.3402013659712,6.327430293000361,0.07623905799846398,58,0,0,58,0.0,0.0,1.0,0.010090513259638102,0.4230253636837006,0.0710245369002223,2.1955350279808044,0.018832566360651982,0.5033851861953735,0.49973753094673157,0.5098366737365723,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,53248,658.3077060601535,686.199734806788,5.969107523997081,0.07805695300339721,0,0,0,0,0.0,0.0,0.0,0.013205285475123674,0.4904607251286507,0.07153457626700402,2.1966961085796357,0.05272559756122064,0.5028476715087891,0.4972437024116516,0.5114683508872986,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,57344,658.9692066682743,676.4727501414011,6.054937171000347,0.07609269300155574,0,0,0,0,0.0,0.0,0.0,0.002069265057798475,0.9229026660323143,0.057882814668118954,2.1902997374534605,0.008473048541054596,0.5012508630752563,0.4943906366825104,0.5111909508705139,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,61440,658.9710626868008,667.5888798568803,6.1355126239941455,0.07608843199705007,0,0,0,0,0.0,0.0,0.0,0.024098603636957705,0.6330960974097252,0.0317175408359617,2.183796173334122,0.12417942905303789,0.501701831817627,0.495486855506897,0.512013852596283,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,65536,659.1427359495138,670.3414677920522,6.110318690996792,0.07485106899548555,3,0,0,3,0.0,0.0,1.0,0.04583678322378546,3.3640495598316194,0.11727284118533135,2.1902806520462037,0.10328210783336544,0.5028712749481201,0.496769517660141,0.5148857235908508,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,69632,658.5127036008139,656.7880161427674,6.236410986995907,0.07514211699890438,3,0,0,3,0.0,0.0,1.0,-0.00022195850033313036,0.2871451072394848,0.02540478897280991,2.193998897075653,0.02387529498373624,0.5027108192443848,0.49466753005981445,0.5187560319900513,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,73728,658.4110608963194,664.8416460495564,6.160865559999365,0.07308934000320733,58,0,0,58,0.0,0.0,1.0,0.00776263604639098,0.6402057737112046,0.07941692005842924,2.189288192987442,0.014803511285572312,0.5014563798904419,0.490000456571579,0.5213876366615295,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,77824,658.8740934924023,674.8281123249349,6.069693786004791,0.06486118400061969,0,0,0,0,0.0,0.0,0.0,0.014660542039200664,0.6856779173016548,0.09578983280807733,2.182767057418823,0.05484969800018007,0.5011136531829834,0.48791730403900146,0.5233450531959534,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,81920,659.2056637385884,674.2646340475234,6.074766186997294,0.07543672100291587,0,0,0,0,0.0,0.0,0.0,0.005123252043267712,1.3587844878435136,0.06573544023558497,2.181001180410385,0.018874071101890877,0.5002818703651428,0.48966678977012634,0.5193853378295898,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,86016,659.8536990968889,682.0330268384978,6.005574274000537,0.07587334400159307,0,0,0,0,0.0,0.0,0.0,0.0139960408792831,1.3482398062944412,0.06695480793714523,2.176328259706497,0.04108867382310564,0.49980419874191284,0.48951104283332825,0.5197159051895142,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,90112,659.6474654054742,663.7847901172229,6.170674683999096,0.07597947899921564,3,0,0,3,0.0,0.0,1.0,0.003966800408670678,0.9102013930678368,0.0608816621825099,2.17149213552475,0.012721684919961262,0.49833518266677856,0.4866396188735962,0.5195815563201904,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,94208,659.2042090932842,657.9120619414358,6.2257560500002,0.07615284900384722,3,0,0,3,0.0,0.0,1.0,0.005363196216057986,0.7095321089029312,0.05025364886969328,2.1625172913074495,0.02826932516763918,0.4969961643218994,0.4845094084739685,0.5191453099250793,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,98304,659.689234424494,679.9468126677775,6.024000589000934,0.07641329400212271,58,0,0,58,0.0,0.0,1.0,0.007074383832514286,0.6726489514112473,0.1026599120348692,2.1548485577106478,0.022806095422129146,0.4960559606552124,0.4822752773761749,0.5160678625106812,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,102400,659.749460569261,671.0049696819897,6.104276696998568,0.08662497100158362,0,0,0,0,0.0,0.0,0.0,2.8802594169974326e-05,0.9039903938770294,0.08850535191595554,2.1562723398208616,0.014725865609943867,0.4977456331253052,0.48508498072624207,0.5172475576400757,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,106496,660.1129876754761,678.0487915267199,6.040863211004762,0.07494379400304751,0,0,0,0,0.0,0.0,0.0,-0.0041087887482717635,0.5066687971353531,0.05241556847468019,2.1551412642002106,0.007392391565372236,0.49425482749938965,0.48220086097717285,0.5111172795295715,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,110592,660.2747503778561,673.4349089100422,6.08225078000396,0.07803987200168194,1,0,0,1,0.0,0.0,1.0,-0.0008276871056295931,0.7251101851463317,0.04208937017247081,2.137621784210205,0.014228403332526795,0.4932258129119873,0.48015210032463074,0.5076547265052795,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,114688,659.4524888296335,645.4654715179497,6.345808072997897,0.07046170600369805,4,0,1,3,0.0,0.25,0.75,-0.00024733643513172863,1.5291770428419114,0.07457371801137924,2.1360801219940186,0.011909848928917199,0.49336159229278564,0.4812031686306,0.5069433450698853,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,118784,659.6521233245616,673.6198822650377,6.080580617999658,0.07317540399526479,2,0,0,2,0.0,0.0,1.0,-0.0002125401922967285,1.2726388156414032,0.07624238282442093,2.135487753152847,0.01735044226370519,0.49283701181411743,0.48264265060424805,0.5064371824264526,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,122880,659.6119641674642,667.0782571002156,6.140209122997476,0.07736904399644118,57,0,0,57,0.0,0.0,1.0,0.010693836642894894,0.7388930499553681,0.11163448747247458,2.1328480303287507,0.025425625148636756,0.492694616317749,0.4812699854373932,0.5045791268348694,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,126976,659.9797320040267,680.0741926737345,6.022872275003465,0.0758250240032794,0,0,0,0,0.0,0.0,0.0,-0.005429552821442485,0.5924918070435524,0.07070317622274161,2.132055050134659,0.005600436644454021,0.492431640625,0.48321533203125,0.500328540802002,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
