update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef,mdp_update,mdp_loss,mdp_dyn,mdp_contrast,mdp_idm,mdp_var,mdp_cov,mdp_reward,mdp_done,mdp_value,mdp_retrieval1,mdp_eff_rank
1,4096,657.001426082311,669.4036588447119,6.118879014000413,0.11534636699070688,0,0,0,0,0.0,0.0,0.0,0.11429348086821847,86.81543216705322,0.43183598294854164,2.17554572224617,0.22444085546012502,0.49996107816696167,0.4963477551937103,0.5038596391677856,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8192,676.1482768956087,705.8699092669555,5.8027689610025845,0.07484755999757908,0,0,0,0,0.0,0.0,0.0,0.006425244075944647,52.03704624176025,0.16240005381405354,2.175834149122238,0.05144064809574047,0.49921244382858276,0.49204960465431213,0.5043495893478394,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12288,675.8482667087901,683.9081360395144,5.9891084550035885,0.07355741500214208,0,0,0,0,0.0,0.0,0.0,-0.0035402328125201167,32.228388738632205,0.08997605293989182,2.1729946732521057,0.0142642364706262,0.5000177621841431,0.4914593994617462,0.506429135799408,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16384,674.8175310807524,680.531490720972,6.018825074002962,0.07517318100144621,0,0,0,0,0.0,0.0,0.0,-0.005318384279962629,51.688466739654544,0.07112201433628798,2.175131285190582,0.00883516103203874,0.49861472845077515,0.4887475371360779,0.5064088106155396,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20480,674.824180981445,683.8073232697003,5.989991420996375,0.07656262599630281,0,0,0,0,0.0,0.0,0.0,-0.004421234456822276,95.9715711593628,0.09988355226814746,2.1671142578125,0.01284999150520889,0.49849647283554077,0.488603413105011,0.5058377981185913,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24576,670.2064411615604,655.4702185242926,6.248949050990632,0.06812945099954959,64,0,0,64,0.0,0.0,1.0,-0.000853379222098738,75.29581260681152,0.13795839659869671,2.1667402029037475,0.013155108087812551,0.4977620542049408,0.48719125986099243,0.5055525898933411,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28672,670.5859558528035,681.7421153942385,6.00813695898978,0.07614643400302157,0,0,0,0,0.0,0.0,0.0,0.0053856862941756845,73.56502323150634,0.1515430361032486,2.1619141578674315,0.02202444986178307,0.49735984206199646,0.48596614599227905,0.5067289471626282,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,32768,669.8997480830598,673.7817592744299,6.079119750007521,0.07571889100654516,0,0,0,0,0.0,0.0,0.0,-0.0039206579909659926,59.193120861053465,0.09119097646325827,2.1588610827922823,0.009765791743120644,0.4963425099849701,0.48346516489982605,0.5050931572914124,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,36864,667.8954855442606,660.5792885357146,6.200618262009812,0.07565644900023472,0,0,0,0,0.0,0.0,0.0,-0.004598615702707321,63.0029803276062,0.08075618743896484,2.146873247623444,0.007367756469466258,0.4937606751918793,0.4766654968261719,0.503530740737915,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,40960,664.7615253560062,646.1819685726421,6.338771738010109,0.08024265500716865,0,0,0,0,0.0,0.0,0.0,-0.003678629652131349,66.22128849029541,0.07932363096624613,2.134466624259949,0.007050429670198355,0.4924035966396332,0.4735274314880371,0.5020334720611572,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,45056,663.0054139103256,654.317968692746,6.259953411004972,0.07737013199948706,1,0,1,0,0.0,1.0,0.0,-0.002974685013759881,57.44043130874634,0.08074573259800673,2.1278397500514985,0.008428759501839522,0.49143117666244507,0.4715805947780609,0.5017700791358948,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,49152,659.741347177448,633.3697503662792,6.466996565010049,0.07470583700342104,63,0,1,62,0.0,0.015873015873015872,0.9841269841269841,-0.00034102456411346795,95.73831539154052,0.12130270004272461,2.1213544607162476,0.008060684319934808,0.49062126874923706,0.46984946727752686,0.5011123418807983,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,53248,660.1424926440916,673.7139913446343,6.0797312399954535,0.07657787400239613,0,0,0,0,0.0,0.0,0.0,-0.006467453204095364,100.69549617767333,0.11166345197707414,2.119097447395325,0.0291655334061943,0.4907252788543701,0.46964630484580994,0.5015040636062622,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,57344,660.7639275771863,677.8065184013569,6.043022439000197,0.07699260801018681,0,0,0,0,0.0,0.0,0.0,-0.0037046050652861594,59.63459692001343,0.05513993250206113,2.1194424450397493,0.007843297766521573,0.49056074023246765,0.46791693568229675,0.5024994611740112,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,61440,661.4368809740237,679.832020603905,6.0250177630077815,0.07600788699346595,0,0,0,0,0.0,0.0,0.0,-0.00704743240494281,92.95968685150146,0.06741524450480937,2.116789996623993,0.013503408600809053,0.48989519476890564,0.46694061160087585,0.5017465353012085,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,65536,660.9711628353014,662.4137284856049,6.183446725000977,0.07561381200503092,0,0,0,0,0.0,0.0,0.0,-0.004470211727311835,75.47428169250489,0.07480677496641874,2.1126160323619843,0.006445865370915271,0.48930951952934265,0.466618150472641,0.5008134841918945,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,69632,660.419904028787,660.0249676588637,6.205825840996113,0.07578973899944685,1,0,0,1,0.0,0.0,1.0,-0.008406940835993738,65.67578735351563,0.08029094226658344,2.10878102183342,0.008568602823652327,0.4885163903236389,0.46577638387680054,0.4999980330467224,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,73728,658.104033408965,632.0519001492798,6.480480477999663,0.11126107900054194,63,0,0,63,0.0,0.0,1.0,-0.00040865271585062147,73.0076036453247,0.1108407150954008,2.101932388544083,0.007083413960936013,0.4869232177734375,0.4639844596385956,0.49898388981819153,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,77824,657.9858228207197,664.2540348184748,6.166315574009786,0.07572293799603358,0,0,0,0,0.0,0.0,0.0,-0.00982356967870146,45.83776388168335,0.08737888373434544,2.0934016585350035,0.011217066075187177,0.48621422052383423,0.46235787868499756,0.4988836944103241,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,81920,657.4563508351478,656.0604626343493,6.243327000003774,0.07868739700643346,0,0,0,0,0.0,0.0,0.0,-0.008952943875920027,54.05071153640747,0.07530376929789781,2.089238625764847,0.013215910736471414,0.4852604269981384,0.4608295261859894,0.49754223227500916,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,86016,656.7087800294445,650.2378657573094,6.299233274010476,0.07606054699863307,0,0,0,0,0.0,0.0,0.0,-0.002814511873293668,48.078442859649655,0.07518529202789068,2.080460178852081,0.009391992144810502,0.4834468960762024,0.45731833577156067,0.49703478813171387,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,90112,655.6148271174092,641.2040046889525,6.387982561005629,0.0752865280082915,0,0,0,0,0.0,0.0,0.0,-0.003267482336377725,45.79103736877441,0.07150659170001746,2.0686177134513857,0.009259378875140101,0.48155778646469116,0.45575687289237976,0.4948904514312744,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
