phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,2576384,629,0,0,86.4682,4.1271,1.0000,0.1358,0.4069,0.9900,0,0,0,0,0.0400,0.0054,0.0256,4.1455,0.9001
offline_val,2576384,629,0,1,169.5136,3.0575,0.9036,-0.3365,-0.2312,0.9900,0,0,0,0,0.0361,-0.0135,-0.0145,3.0741,-1.3752
offline_val,2576384,629,0,2,16.3213,4.2588,1.0000,0.3719,0.6444,0.9900,0,0,0,0,0.0400,0.0149,0.0405,4.1718,3.2376
offline_val,2576384,629,0,3,129.0365,2.8840,0.8689,-0.2358,-0.1220,0.9900,0,0,0,0,0.0348,-0.0094,-0.0077,2.9158,-0.3996
offline_val,2576384,629,0,4,144.8392,4.8175,1.0000,-0.0146,0.2181,0.9900,0,0,0,0,0.0400,-0.0006,0.0137,4.8732,-1.1197
offline_val,2576384,629,0,5,51.4429,5.8047,1.0000,0.3311,0.6868,0.9900,0,0,0,0,0.0400,0.0132,0.0432,5.7257,2.8948
offline_val,2576384,629,0,6,92.9841,2.7217,0.6967,-0.2430,-0.1078,0.9900,0,0,0,0,0.0279,-0.0097,-0.0068,2.7521,0.3596
offline_val,2576384,629,0,7,158.2471,2.7189,0.6952,-0.3644,-0.2758,0.9900,0,0,0,0,0.0278,-0.0146,-0.0173,2.7299,-1.0036
offline_val,2576384,629,0,8,102.7372,3.9436,1.0000,-0.0871,0.1050,0.9900,0,0,0,0,0.0400,-0.0035,0.0066,3.9818,0.2962
offline_val,2576384,629,0,9,-1.0000,0.0000,0.3316,0.4697,0.7381,-0.0165,0,0,0,0,0.0133,0.0188,0.0464,3.2856,-3.0953
offline_val,2576384,629,0,10,93.4247,3.2716,1.0000,-0.1736,-0.0210,0.9900,0,0,0,0,0.0400,-0.0069,-0.0013,3.3122,0.4440
offline_val,2576384,629,0,11,217.7426,1.7164,0.3584,-0.4421,-0.3916,0.9900,0,0,0,0,0.0143,-0.0177,-0.0246,1.6968,-1.4193
offline_val,2576384,629,0,12,136.7503,2.4298,0.6435,-0.2323,-0.0694,0.9900,0,0,0,0,0.0257,-0.0093,-0.0044,2.4536,-0.4704
offline_val,2576384,629,0,13,82.2468,5.4189,1.0000,0.1519,0.4459,0.9900,0,0,0,0,0.0400,0.0061,0.0280,5.4230,1.3653
offline_val,2576384,629,0,14,21.4640,2.0533,0.7099,0.3717,0.5898,0.9900,0,0,0,0,0.0284,0.0149,0.0371,2.0287,1.4827
offline_val,2576384,629,0,15,187.4599,3.4236,0.9326,-0.3316,-0.1766,0.9900,0,0,0,0,0.0373,-0.0133,-0.0111,3.4392,-1.9866
offline_val,2576384,629,0,16,75.2650,2.1502,0.6341,-0.2133,-0.1200,0.9900,0,0,0,0,0.0254,-0.0085,-0.0075,2.1800,0.5670
offline_val,2576384,629,0,17,136.3104,2.6717,0.6408,-0.3721,-0.2309,0.9900,0,0,0,0,0.0256,-0.0149,-0.0145,2.6900,-0.5402
offline_val,2576384,629,0,18,210.0636,4.5959,1.0000,-0.2773,-0.1219,0.9900,0,0,0,0,0.0400,-0.0111,-0.0077,4.6099,-3.4227
offline_val,2576384,629,0,19,110.0952,4.9589,1.0000,0.0161,0.2604,0.9900,0,0,0,0,0.0400,0.0006,0.0164,4.9970,0.1525
offline_val,2576384,629,0,20,42.8819,3.5276,1.0000,0.3873,0.7707,0.9900,0,0,0,0,0.0400,0.0155,0.0484,3.4750,2.0108
offline_val,2576384,629,0,21,-1.0000,0.0000,0.3317,0.4694,0.7373,-0.0165,0,0,0,0,0.0133,0.0188,0.0463,1.8255,-1.8094
offline_val,2576384,629,0,22,119.1330,5.1004,1.0000,-0.0629,0.1409,0.9900,0,0,0,0,0.0400,-0.0025,0.0089,5.1426,-0.2299
offline_val,2576384,629,0,23,34.7598,5.5492,1.0000,0.3939,0.7656,0.9900,0,0,0,0,0.0400,0.0158,0.0481,5.4284,3.4901
offline_val,2576384,629,0,24,35.9469,2.8461,1.0000,0.3998,0.7738,0.9900,0,0,0,0,0.0400,0.0160,0.0486,2.8039,1.7741
offline_val,2576384,629,0,25,53.3522,4.3384,1.0000,0.3945,0.7949,0.9900,0,0,0,0,0.0400,0.0158,0.0499,4.2778,2.1362
offline_val,2576384,629,0,26,95.2532,2.3084,0.7470,-0.3508,-0.1882,0.9900,0,0,0,0,0.0299,-0.0140,-0.0118,2.3415,0.2483
offline_val,2576384,629,0,27,23.9339,1.7847,0.3448,0.4480,0.7034,0.9900,0,0,0,0,0.0138,0.0179,0.0442,1.7447,1.2731
