update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef,mdp_update,mdp_loss,mdp_dyn,mdp_contrast,mdp_idm,mdp_var,mdp_cov,mdp_reward,mdp_done,mdp_value,mdp_retrieval1,mdp_eff_rank
1,4096,660.5676508151769,673.7580699247516,6.079333492001751,0.12123706500278786,0,0,0,0,0.0,0.0,0.0,0.27912438437342646,0.13519944418221713,0.5219209730625153,2.1833734631538393,3.288993247045437,0.502133309841156,0.4994280934333801,0.5053246021270752,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8192,656.3462751655456,660.4966023943357,6.201394504001655,0.07575050000014016,2,0,2,0,0.0,1.0,0.0,0.008573274675291032,0.4007029615342617,0.12955003324896097,2.196288549900055,0.04206408219470177,0.5042650699615479,0.5013090968132019,0.5064360499382019,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12288,648.5472754100712,641.4272421625396,6.385759335993498,0.07666781499574427,8,0,8,0,0.0,1.0,0.0,-0.00039987157215364276,0.5902085416018963,0.07041918374598026,2.2047707736492157,0.0195426972117275,0.504729151725769,0.5004162788391113,0.5071985721588135,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16384,635.6735184544817,607.1848266815273,6.7458866230008425,0.07829098199727014,10,0,10,0,0.0,1.0,0.0,-0.002057272440288216,0.5660380579531192,0.04299188405275345,2.204967051744461,0.01643730186333414,0.5044863820075989,0.4984939396381378,0.5086126923561096,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20480,629.3011326823611,612.3509103867523,6.688975113000197,0.0776527529960731,14,0,14,0,0.0,1.0,0.0,-0.002374453889206052,0.6034447140991688,0.048980029579252,2.2057065963745117,0.012872745606000536,0.5050814151763916,0.49930405616760254,0.509646475315094,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24576,627.73436660698,627.4895120737214,6.527599141001701,0.07568710600025952,39,0,9,30,0.0,0.23076923076923078,0.7692307692307693,-0.007172846409957856,0.44848194271326064,0.06343790190294385,2.2047322750091554,0.009494055619870777,0.5037800669670105,0.4998636245727539,0.5083650946617126,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28672,631.6944786679433,665.1319457188441,6.158176623997861,0.07726475100207608,2,0,2,0,0.0,1.0,0.0,-0.004496299906168133,0.19617581963539124,0.04394510742276907,2.1900147795677185,0.00584440024686046,0.5000711679458618,0.49585551023483276,0.505358874797821,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,32768,631.9703601607474,641.6656074109085,6.38338716099679,0.07503251500020269,7,0,5,2,0.0,0.7142857142857143,0.2857142857142857,-0.006150367041118443,0.25592311210930346,0.04063527416437864,2.1702797055244445,0.00792590829078108,0.49777287244796753,0.49330759048461914,0.5041541457176208,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,36864,634.2884858453288,662.5202443581876,6.182452589004242,0.08220507700025337,1,0,1,0,0.0,1.0,0.0,-0.004482323676347733,0.2806544180959463,0.04698394713923335,2.1554947018623354,0.004782629795954563,0.4948747754096985,0.4881850779056549,0.5033681392669678,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,40960,635.0576265333095,650.1699115333247,6.299891654998646,0.07624211499933153,3,0,0,3,0.0,0.0,1.0,-0.0009013054892420769,0.21377380192279816,0.04382853172719479,2.1409896492958067,0.007748502494359854,0.4933825135231018,0.48760560154914856,0.5018983483314514,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,45056,632.1999124158413,612.1691450779313,6.690961203996267,0.07658759899641154,12,0,0,12,0.0,0.0,1.0,-0.0048556339577771725,0.2655715383589268,0.0445008609443903,2.1335272431373595,0.007891065557487309,0.49209460616111755,0.48704200983047485,0.5004079937934875,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,49152,631.1994825660039,628.0465086581233,6.521809998994286,0.07720787199650658,39,0,0,39,0.0,0.0,1.0,-0.002277833339758217,0.1541980318725109,0.050664023775607345,2.128681409358978,0.006646370515227318,0.4918859899044037,0.4870167374610901,0.4986649751663208,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,53248,632.4974801081115,655.7496900078704,6.246285834997252,0.06662603499717079,2,0,0,2,0.0,0.0,1.0,-0.005945132207125425,0.09634377527981997,0.04303135583177209,2.1209140181541444,0.00311596050451044,0.48909133672714233,0.48440226912498474,0.49507343769073486,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,57344,631.8213696920945,630.8796277419675,6.492522218002705,0.0769802200011327,8,0,0,8,0.0,0.0,1.0,-0.00302949205506593,0.12152020707726478,0.04511321671307087,2.103926771879196,0.005468157870927826,0.48702272772789,0.4788910448551178,0.4946657121181488,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,61440,633.8004193628645,671.5675629976778,6.09916295199946,0.07677425899601076,0,0,0,0,0.0,0.0,0.0,0.002174294408177957,0.12931063659489156,0.04512801878154278,2.093613487482071,0.010731667757499962,0.4852527976036072,0.47637930512428284,0.4950003921985626,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,65536,634.01825280001,645.3183828817815,6.347254485001031,0.0760117440004251,4,0,0,4,0.0,0.0,1.0,-0.0024765606969594954,0.21265348605811596,0.0371204880066216,2.082712084054947,0.009976484380604233,0.484069287776947,0.4738467037677765,0.4949949383735657,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,69632,631.849567977526,606.1677825229841,6.757205048001197,0.07678924900392303,13,0,0,13,0.0,0.0,1.0,-0.002352270612027496,0.21900965683162213,0.03954865224659443,2.0744842290878296,0.006762704339053016,0.4822022318840027,0.4692152142524719,0.4935528337955475,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,73728,631.6910197753047,637.1891403653842,6.42823259299621,0.08021497300069313,37,0,0,37,0.0,0.0,1.0,-0.0019708643259946255,0.15202355980873108,0.04205866428092122,2.0581790030002596,0.0062156548228813335,0.4790782928466797,0.4673502743244171,0.48930802941322327,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,77824,633.0662946618269,667.8998702909475,6.1326557799984585,0.07923714099888457,2,0,0,2,0.0,0.0,1.0,-0.0024134078645147382,0.1449195982888341,0.03458483219146728,2.039674985408783,0.005385716276941821,0.4763702154159546,0.4625798165798187,0.4887022078037262,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,81920,632.3696388638907,626.5067233367868,6.537838856995222,0.07163022299937438,8,0,0,8,0.0,0.0,1.0,-0.0011408553458750249,0.12937809452414512,0.044190105330199,2.027440685033798,0.008245240425458178,0.4753797948360443,0.4613807201385498,0.4873770475387573,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,86016,633.834697751885,673.2965805073276,6.08350037499622,0.0761136479995912,0,0,0,0,0.0,0.0,0.0,-0.001251809438690543,0.1492689972743392,0.039938744809478524,2.021216684579849,0.006780479750887025,0.47400519251823425,0.4580097496509552,0.4877137243747711,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,90112,634.4106692531503,655.3319502194578,6.2502675150026334,0.07939618599630194,5,0,0,5,0.0,0.0,1.0,-0.0033342419075779615,0.2258103910833597,0.037482339236885306,2.009018325805664,0.00562100303650368,0.4716181457042694,0.45422446727752686,0.48636505007743835,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,94208,633.1012886715281,612.7823187145485,6.684265969997796,0.07588687600218691,16,0,0,16,0.0,0.0,1.0,-0.004024314158596098,0.28753760680556295,0.039958253316581246,1.9939938932657242,0.005410243051301222,0.46941184997558594,0.44941583275794983,0.4846900403499603,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,98304,633.7826702906317,658.3618083546551,6.221503052001935,0.07747938999818871,33,0,0,33,0.0,0.0,1.0,-0.0020520751597359775,0.1319166399538517,0.043259908258914945,1.9866082400083542,0.009982903022319078,0.46967649459838867,0.4502759277820587,0.4836004078388214,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
