update,step,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,8192,0,0,0,0,0.0,0.0,0.0,-0.009817899315385148,0.1513551404699683,0.0,2.186226320266724,0.011848987466510152,0.5031470656394958,0.5019814968109131,0.5037529468536377,0.0
2,16384,0,0,0,0,0.0,0.0,0.0,-0.014709552653948776,0.11395823676139116,0.0,2.193593603372574,0.011042218819784465,0.5017815828323364,0.4982314109802246,0.5040063261985779,0.0
3,24576,2,0,2,0,0.0,1.0,0.0,-0.011964100069599226,0.10979767865501344,0.0,2.1775103002786635,0.01772894258683664,0.49809712171554565,0.4889224171638489,0.5027567744255066,0.0
4,32768,0,0,0,0,0.0,0.0,0.0,-0.013958806346636266,0.01039168464485556,0.0,2.13872272670269,0.014827873892500065,0.48916420340538025,0.47958698868751526,0.49436089396476746,0.0
5,40960,1,0,1,0,0.0,1.0,0.0,-0.0008892728656064719,0.050375245371833445,0.0,2.102276149392128,0.0091979085089406,0.4864517152309418,0.4796712398529053,0.49036094546318054,0.0
6,49152,125,0,0,125,0.0,0.0,1.0,-0.0006320395332295448,0.0669392857234925,0.0,2.08174167573452,0.008902847724675667,0.4822167754173279,0.4754805564880371,0.48637399077415466,0.0
7,57344,0,0,0,0,0.0,0.0,0.0,-0.010584124544402584,0.0033200718055013565,0.0,2.0458395302295687,0.016324789090867854,0.4745437502861023,0.46729883551597595,0.48223379254341125,0.0
8,65536,0,0,0,0,0.0,0.0,0.0,-0.009034703596262262,0.0006034982154233149,0.0,2.0087075561285017,0.010642380679200869,0.47142764925956726,0.4622924327850342,0.480889230966568,0.0
9,73728,2,0,0,2,0.0,0.0,1.0,-0.007533881417475641,0.0006406720061931992,0.0,1.9925507500767707,0.012420407561876345,0.4689849317073822,0.45860081911087036,0.4822006821632385,0.0
10,81920,0,0,0,0,0.0,0.0,0.0,-0.006642272486351431,0.00037423784997372425,0.0,1.9726477459073066,0.01388314184587216,0.4654774069786072,0.45602646470069885,0.4791363477706909,0.0
11,90112,1,0,0,1,0.0,0.0,1.0,-0.005397062579868361,0.00035569627962104276,0.0,1.9449712350964545,0.01002189779683249,0.46032389998435974,0.4527672529220581,0.47313928604125977,0.0
12,98304,125,0,0,125,0.0,0.0,1.0,-0.0019702508056070656,0.01658494387520477,0.0,1.9234534338116647,0.00810014654416591,0.4588451385498047,0.4532097280025482,0.46934351325035095,0.0
13,106496,0,0,0,0,0.0,0.0,0.0,-0.003170367595157586,0.0011781376724684378,0.0,1.910881620645523,0.01167355394209153,0.4562814235687256,0.4495876133441925,0.46611127257347107,0.0
14,114688,1,0,0,1,0.0,0.0,1.0,-0.004266529224696569,0.00029994535998412175,0.0,1.8901547104120255,0.009618240924464772,0.45238029956817627,0.4436815679073334,0.46368324756622314,0.0
15,122880,1,0,0,1,0.0,0.0,1.0,-0.0007216558908112348,0.00023547014570794999,0.0,1.863938270509243,0.013031196416704915,0.44873958826065063,0.4385107457637787,0.46199122071266174,0.0
16,131072,1,0,0,1,0.0,0.0,1.0,-0.0017818904831074177,0.0002077636028843699,0.0,1.8388890251517296,0.009898159574368038,0.44552016258239746,0.4330368638038635,0.46179404854774475,0.0
17,139264,0,0,0,0,0.0,0.0,0.0,0.00277032089070417,0.0005203731374422204,0.0,1.8200394541025162,0.01286469303740887,0.44265684485435486,0.42882582545280457,0.45946890115737915,0.0
18,147456,125,0,0,125,0.0,0.0,1.0,-0.0013823325629346074,0.01675413197372109,0.0,1.8085148215293885,0.010534311232913752,0.4421904683113098,0.4283541142940521,0.4558037519454956,0.0
19,155648,0,0,0,0,0.0,0.0,0.0,-0.0007015525654423982,0.003095913501965697,0.0,1.7957714706659318,0.010211561944015558,0.4382924437522888,0.42375415563583374,0.44970741868019104,0.0
20,163840,2,0,0,2,0.0,0.0,1.0,-0.004284366799402051,0.0002805041456667823,0.0,1.7650690019130706,0.011462595000921283,0.4334074854850769,0.41973280906677246,0.44679513573646545,0.0
21,172032,0,0,0,0,0.0,0.0,0.0,0.0015977255068719387,0.0013445329801470506,0.0,1.73555548787117,0.015354533650679514,0.43012118339538574,0.41494670510292053,0.4436151385307312,0.0
22,180224,1,0,0,1,0.0,0.0,1.0,0.0011018410586984828,0.04100084586534649,0.0,1.7246560737490655,0.014317130321433068,0.4302562177181244,0.41298991441726685,0.44490674138069153,0.0
23,188416,0,0,0,0,0.0,0.0,0.0,0.00031250339234247806,0.10769115313887596,0.0,1.7265214711427688,0.011802653651102446,0.4304121732711792,0.413638710975647,0.4487818777561188,0.0
24,196608,125,0,0,125,0.0,0.0,1.0,-0.0003975825733505189,0.06211767005734146,0.0,1.714924508333206,0.01577657771485974,0.42712852358818054,0.41088518500328064,0.4450393617153168,0.0
25,204800,0,0,0,0,0.0,0.0,0.0,-0.005179738922743126,0.001499289671482984,0.0,1.69479498565197,0.011271014629164711,0.4250475764274597,0.40752938389778137,0.44555333256721497,0.0
26,212992,2,0,0,2,0.0,0.0,1.0,-0.0006986614549532533,0.0027612406345724596,0.0,1.6867534145712852,0.017341068539826664,0.42483314871788025,0.4059138894081116,0.4464002549648285,0.0
27,221184,0,0,0,0,0.0,0.0,0.0,-0.0030584336273022927,0.002669949355913559,0.0,1.6789453253149986,0.011925673003861447,0.4225838780403137,0.40427008271217346,0.44372811913490295,0.0
28,229376,1,0,0,1,0.0,0.0,1.0,-0.006021918531041592,0.0005633449847664452,0.0,1.6602763175964355,0.013027899913868168,0.41961154341697693,0.4003392457962036,0.4436643719673157,0.0
29,237568,0,0,0,0,0.0,0.0,0.0,-0.004477955246693454,0.00026306973086320795,0.0,1.6367660760879517,0.009214724399498664,0.4166859984397888,0.39690104126930237,0.44234827160835266,0.0
30,245760,125,0,0,125,0.0,0.0,1.0,-0.00029708215151913464,0.016340125794522466,0.0,1.623474833369255,0.01220324000241817,0.4154251515865326,0.39599964022636414,0.44162142276763916,0.0
31,253952,0,0,0,0,0.0,0.0,0.0,-0.00105218660319224,0.00020634493012039457,0.0,1.616442583501339,0.01028964147917577,0.41516241431236267,0.39865362644195557,0.4420137107372284,0.0
32,262144,2,0,0,2,0.0,0.0,1.0,-0.0016609409009106456,0.0025071463867789136,0.0,1.6033003821969032,0.012817238179559353,0.4115588665008545,0.39299994707107544,0.4417819380760193,0.0
33,270336,0,0,0,0,0.0,0.0,0.0,0.003929677943233401,0.0001238182145243627,0.0,1.5809242188930512,0.01225007788889343,0.40957850217819214,0.389061838388443,0.4411791265010834,0.0
34,278528,1,0,0,1,0.0,0.0,1.0,0.0006496704241726548,0.0011944950034376233,0.0,1.5626968070864677,0.009355179093472544,0.4064367711544037,0.38573524355888367,0.43979454040527344,0.0
35,286720,0,0,0,0,0.0,0.0,0.0,-0.0018415925500448794,0.0020334599328634797,0.0,1.5338996976613999,0.009798950341792078,0.4019547402858734,0.37941303849220276,0.4353347718715668,0.0
36,294912,125,0,0,125,0.0,0.0,1.0,-0.0005063442164100707,0.011681509623304009,0.0,1.5129958480596541,0.014130361197385356,0.4008967876434326,0.3805007338523865,0.4299089014530182,0.0
37,303104,0,0,0,0,0.0,0.0,0.0,-0.004938144492916763,0.00017206137126777322,0.0,1.5072593301534654,0.012110019693500363,0.3999282717704773,0.3798118829727173,0.42918315529823303,0.0
38,311296,2,0,0,2,0.0,0.0,1.0,-0.0006350562267471105,0.00017896486428981007,0.0,1.4989931538701058,0.012501458813858335,0.39906203746795654,0.3773726224899292,0.4280290901660919,0.0
39,319488,0,0,0,0,0.0,0.0,0.0,0.0007575978641398251,0.00010211909329882474,0.0,1.4931246891617775,0.012583060130782541,0.3982146978378296,0.37443915009498596,0.4288918375968933,0.0
40,327680,1,0,0,1,0.0,0.0,1.0,-0.0016717761842301115,0.00016716525724405073,0.0,1.482113941013813,0.011945810315592099,0.3965427279472351,0.37201738357543945,0.4282747805118561,0.0
