phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,1556480,190,0,0,172.9150,6.0914,0.7228,0.0281,-0.4737,0.9900,0,0,0,0,0.0289,0.0011,-0.0298,6.0348,-2.9588
offline_val,1556480,190,0,1,11.2410,4.9508,-0.0572,0.0784,0.8152,0.9900,0,0,0,0,-0.0023,0.0031,0.0512,4.7507,3.9890
offline_val,1556480,190,0,2,116.1823,6.4784,0.7201,0.2185,-0.1636,0.9900,0,0,0,0,0.0288,0.0087,-0.0103,6.5048,-0.2608
offline_val,1556480,190,0,3,-1.0000,0.0000,-0.0569,0.0787,0.8160,-0.0005,0,0,0,0,-0.0023,0.0031,0.0513,1.4787,-1.4081
offline_val,1556480,190,0,4,11.8084,4.3955,0.5777,0.4214,0.3257,0.9900,0,0,0,0,0.0231,0.0169,0.0205,4.3502,3.4055
offline_val,1556480,190,0,5,164.2389,4.4532,0.7286,0.0368,-0.4572,0.9900,0,0,0,0,0.0291,0.0015,-0.0287,4.4304,-1.8686
offline_val,1556480,190,0,6,58.9733,5.0165,0.6366,0.3594,0.1578,0.9900,0,0,0,0,0.0255,0.0144,0.0099,5.0219,2.0569
offline_val,1556480,190,0,7,142.4185,3.4635,0.7331,0.0529,-0.4281,0.9900,0,0,0,0,0.0293,0.0021,-0.0269,3.4704,-0.8801
offline_val,1556480,190,0,8,81.8959,6.5331,0.7666,0.3299,0.0503,0.9900,0,0,0,0,0.0307,0.0132,0.0032,6.5591,1.5073
offline_val,1556480,190,0,9,169.8687,3.7396,0.7365,0.0494,-0.4159,0.9900,0,0,0,0,0.0295,0.0020,-0.0261,3.7254,-1.7165
offline_val,1556480,190,0,10,28.1575,1.8793,0.3880,0.4595,0.5042,0.9900,0,0,0,0,0.0155,0.0184,0.0317,1.8565,1.2578
offline_val,1556480,190,0,11,185.9255,1.8938,-0.1780,-0.1354,-0.3837,0.9900,0,0,0,0,-0.0071,-0.0054,-0.0241,1.8608,-1.0996
offline_val,1556480,190,0,12,191.2459,5.3396,0.7223,0.0275,-0.4740,0.9900,0,0,0,0,0.0289,0.0011,-0.0298,5.2717,-3.3266
offline_val,1556480,190,0,13,142.3549,5.4085,0.8043,0.1677,-0.2214,0.9900,0,0,0,0,0.0322,0.0067,-0.0139,5.4230,-1.2984
