update,step,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,8192,0,0,0,0,0.0,0.0,0.0,-0.010697612579679116,0.07353306482546032,0.0,2.1729667752981188,0.007942787297361064,0.498739093542099,0.4975953698158264,0.5008428692817688,0.0
2,16384,0,0,0,0,0.0,0.0,0.0,-0.014338756317738444,0.014755976462038235,0.0,2.1623366832733155,0.011224246033816599,0.49595603346824646,0.48991429805755615,0.5041738152503967,0.0
3,24576,0,0,0,0,0.0,0.0,0.0,-0.013171092880656942,0.00794304934097454,0.0,2.1421804815530776,0.014999477837409358,0.49258002638816833,0.4806095063686371,0.5027717351913452,0.0
4,32768,0,0,0,0,0.0,0.0,0.0,-0.006075689900899306,0.0016559802286792546,0.0,2.1172042965888975,0.007993471033114475,0.48833298683166504,0.4778660833835602,0.49933815002441406,0.0
5,40960,0,0,0,0,0.0,0.0,0.0,-0.009693421109113842,0.0011341660036123357,0.0,2.087084099650383,0.007838400731998263,0.4825594425201416,0.47233903408050537,0.4945744574069977,0.0
6,49152,128,0,0,128,0.0,0.0,1.0,-0.0016895014967303723,0.014176795689854771,0.0,2.0639501243829725,0.0018251001893077046,0.48045000433921814,0.47342315316200256,0.49084001779556274,0.0
7,57344,0,0,0,0,0.0,0.0,0.0,-0.004095940588740632,0.0022406237505492753,0.0,2.03969920873642,0.00766586614845437,0.4747870862483978,0.46709778904914856,0.485282838344574,0.0
8,65536,0,0,0,0,0.0,0.0,0.0,-0.0019516818327247165,0.042036588629707695,0.0,2.021847802400589,0.004038697229407262,0.4753464460372925,0.46514078974723816,0.48563671112060547,0.0
9,73728,2,0,2,0,0.0,1.0,0.0,-0.002057237207191065,0.1692492132075131,0.0,2.0178591549396514,0.005011218367872061,0.472953736782074,0.4636171758174896,0.4841170907020569,0.0
10,81920,4,0,4,0,0.0,1.0,0.0,-0.0029606680967845024,0.21231257524341346,0.0,2.008543410897255,0.003527953493903624,0.4726371467113495,0.46582818031311035,0.48433831334114075,0.0
11,90112,9,0,9,0,0.0,1.0,0.0,-0.0037318298884201793,0.36933495849370956,0.0,2.009652870893478,0.007151810081995791,0.4735400378704071,0.4670025408267975,0.48608383536338806,0.0
12,98304,113,0,1,112,0.0,0.008849557522123894,0.9911504424778761,-0.0021273028978612274,0.0816115656401962,0.0,2.0116640239953996,0.004714947596221463,0.47260329127311707,0.4638415277004242,0.48565611243247986,0.0
13,106496,0,0,0,0,0.0,0.0,0.0,-0.007319472869858146,0.002652701540500857,0.0,1.9943662032485008,0.006063919309235643,0.4681917428970337,0.45939764380455017,0.48282095789909363,0.0
14,114688,0,0,0,0,0.0,0.0,0.0,-0.0023505440505687146,0.011562782688997686,0.0,1.9716951996088028,0.0032751592225395143,0.46581488847732544,0.45632269978523254,0.4805399179458618,0.0
15,122880,3,0,0,3,0.0,0.0,1.0,-0.0032108484068885446,0.008196987592964434,0.0,1.9497245863080024,0.005313369054056239,0.46125826239585876,0.4520287811756134,0.4753461480140686,0.0
16,131072,3,0,0,3,0.0,0.0,1.0,-0.010139950405573472,0.0017555488193465862,0.0,1.9157706499099731,0.0060173982281412465,0.45570170879364014,0.4429977536201477,0.4704284071922302,0.0
17,139264,9,0,0,9,0.0,0.0,1.0,-0.005287766977562569,0.0012700036477326648,0.0,1.886174499988556,0.006560054207511712,0.4523596167564392,0.4342423677444458,0.47133201360702515,0.0
18,147456,113,0,0,113,0.0,0.0,1.0,-0.0020345165219623597,0.010826816008193418,0.0,1.8690746024250984,0.0024429354671156034,0.45073139667510986,0.4289579689502716,0.47215184569358826,0.0
19,155648,0,0,0,0,0.0,0.0,0.0,-0.008186443048180081,0.0007641225172847043,0.0,1.8647365301847458,0.008746052712376695,0.4514162242412567,0.426626592874527,0.471273273229599,0.0
20,163840,0,0,0,0,0.0,0.0,0.0,-0.003195836185477674,0.003178962194942869,0.0,1.8680745869874955,0.009124670046003303,0.451179563999176,0.42731815576553345,0.46873918175697327,0.0
21,172032,3,0,0,3,0.0,0.0,1.0,-0.012433327065082267,0.0008020363482501125,0.0,1.8636549264192581,0.009278678599366685,0.4501839578151703,0.42126843333244324,0.46898919343948364,0.0
22,180224,4,0,0,4,0.0,0.0,1.0,-0.004091625227010809,0.0005705974652300938,0.0,1.855562688410282,0.005901190849544946,0.4493350386619568,0.41952943801879883,0.4710931181907654,0.0
23,188416,9,0,0,9,0.0,0.0,1.0,-0.006134256278164685,0.0007864932211305131,0.0,1.8378505125641822,0.004471213064243784,0.4443996548652649,0.4119660556316376,0.47013208270072937,0.0
24,196608,112,0,0,112,0.0,0.0,1.0,-0.0014416333753615618,0.008801223992486484,0.0,1.8126120939850807,0.0029203420534031467,0.44259604811668396,0.40839043259620667,0.4686630070209503,0.0
25,204800,0,0,0,0,0.0,0.0,0.0,-0.0048525899939704685,0.0017578719678567722,0.0,1.7995110169053077,0.01147517606659676,0.44060850143432617,0.40745288133621216,0.46614304184913635,0.0
26,212992,0,0,0,0,0.0,0.0,0.0,-0.0075484828441403804,0.00017774706411728404,0.0,1.7794084653258324,0.005484020516450983,0.43683183193206787,0.39781519770622253,0.4640084207057953,0.0
27,221184,3,0,0,3,0.0,0.0,1.0,-0.007338525826344267,0.0003785443630476948,0.0,1.751607932150364,0.009565556795132579,0.43269476294517517,0.39339444041252136,0.4619472622871399,0.0
28,229376,4,0,0,4,0.0,0.0,1.0,-0.00913153681322001,0.0004277001201444364,0.0,1.730895884335041,0.010402111644361866,0.43126600980758667,0.39060959219932556,0.46080008149147034,0.0
29,237568,9,0,0,9,0.0,0.0,1.0,-0.0012516794784460216,0.024897503177635373,0.0,1.724530927836895,0.003929194005468162,0.4310101866722107,0.38894838094711304,0.4595262408256531,0.0
30,245760,112,0,0,112,0.0,0.0,1.0,-0.0028577126271557064,0.019268964976072313,0.0,1.704910534620285,0.0031619633897207676,0.42497050762176514,0.38263073563575745,0.4502592980861664,0.0
31,253952,0,0,0,0,0.0,0.0,0.0,-0.0009297340147895738,0.04782170543912798,0.0,1.6842212572693824,0.0034477107281418286,0.42634424567222595,0.3810378611087799,0.4526270031929016,0.0
32,262144,2,0,1,1,0.0,0.5,0.5,6.526161450892687e-06,0.15439883824437856,0.0,1.6848052337765693,0.0032762551301857455,0.42454880475997925,0.3809138536453247,0.4535268545150757,0.0
33,270336,9,0,7,2,0.0,0.7777777777777778,0.2222222222222222,-0.0025260495371185244,0.34507903158664704,0.0,1.6669529214501382,0.004775056461949134,0.4213949143886566,0.3786282241344452,0.4516349136829376,0.0
34,278528,11,0,7,4,0.0,0.6363636363636364,0.36363636363636365,-0.004299645475111902,0.3604338351637125,0.0,1.6421017989516258,0.0055585894453543,0.4177566468715668,0.3777453601360321,0.4449215233325958,0.0
35,286720,9,0,3,6,0.0,0.3333333333333333,0.6666666666666666,-0.0028156573534943163,0.27438786868005993,0.0,1.6239751264452935,0.006643304098543012,0.41597241163253784,0.37472957372665405,0.4445125162601471,0.0
36,294912,97,0,0,97,0.0,0.0,1.0,-0.003505346697056666,0.04641090445220471,0.0,1.6058750241994857,0.003886708665959304,0.41272062063217163,0.3679719567298889,0.44083210825920105,0.0
37,303104,0,0,0,0,0.0,0.0,0.0,-0.0029220471944427116,0.026789316267240793,0.0,1.5851824179291725,0.005612505868703011,0.41122767329216003,0.36459630727767944,0.442459374666214,0.0
38,311296,3,0,0,3,0.0,0.0,1.0,-0.004654811357613653,0.0038676755531923844,0.0,1.584428831934929,0.004598014897419489,0.4126662611961365,0.3627556562423706,0.44721585512161255,0.0
39,319488,9,0,0,9,0.0,0.0,1.0,-0.009479016927070916,0.0020250470864993987,0.0,1.5794608443975449,0.009404240928051876,0.4099353551864624,0.3596954941749573,0.44356289505958557,0.0
40,327680,12,0,0,12,0.0,0.0,1.0,-0.005076371505856514,0.0019679765493492594,0.0,1.565200924873352,0.006415595482394565,0.40886056423187256,0.3603481948375702,0.4440908133983612,0.0
