phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,4669440,570,0,0,111.0613,6.4105,1.0000,0.1539,0.1157,0.9900,0,0,0,0,0.0400,0.0062,0.0073,6.4500,0.0978
offline_val,4669440,570,0,1,43.6372,3.9076,1.0000,0.2304,1.0000,0.9900,0,0,0,0,0.0400,0.0092,0.0628,3.8143,2.2520
offline_val,4669440,570,0,2,67.0299,5.8949,1.0000,0.3294,1.0000,0.9900,0,0,0,0,0.0400,0.0132,0.0628,5.7985,2.3655
offline_val,4669440,570,0,3,52.0715,2.7465,0.7159,0.1651,1.0000,0.9900,0,0,0,0,0.0286,0.0066,0.0628,2.6923,1.4098
offline_val,4669440,570,0,4,91.3531,3.0468,0.7194,0.1285,0.6871,0.9900,0,0,0,0,0.0288,0.0051,0.0432,3.0524,0.6075
offline_val,4669440,570,0,5,-1.0000,0.0000,-0.0369,0.0181,1.0000,-0.0001,0,0,0,0,-0.0015,0.0007,0.0628,2.1110,2.0425
offline_val,4669440,570,0,6,72.9474,5.8979,1.0000,0.3259,0.9630,0.9900,0,0,0,0,0.0400,0.0130,0.0605,5.8227,2.0921
offline_val,4669440,570,0,7,187.1228,2.6398,0.0983,-0.3345,-1.0000,0.9900,0,0,0,0,0.0039,-0.0134,-0.0628,2.5452,-1.6619
offline_val,4669440,570,0,8,173.4389,1.9150,-0.1248,-0.3447,-1.0000,0.9900,0,0,0,0,-0.0050,-0.0138,-0.0628,1.8508,-1.0137
offline_val,4669440,570,0,9,101.9658,2.3785,0.4489,0.0725,0.5224,0.9900,0,0,0,0,0.0180,0.0029,0.0328,2.3893,0.2597
offline_val,4669440,570,0,10,0.4010,4.5206,-0.0366,0.0182,1.0000,0.9900,0,0,0,0,-0.0015,0.0007,0.0628,4.2729,4.0568
offline_val,4669440,570,0,11,156.2047,6.5831,1.0000,-0.0455,-0.6636,0.9900,0,0,0,0,0.0400,-0.0018,-0.0417,6.5265,-2.4545
offline_val,4669440,570,0,12,138.5971,2.0933,0.1562,-0.1883,-0.6803,0.9900,0,0,0,0,0.0062,-0.0075,-0.0427,2.0798,-0.5137
offline_val,4669440,570,0,13,177.6335,2.0409,-0.1480,-0.3373,-1.0000,0.9900,0,0,0,0,-0.0059,-0.0135,-0.0628,1.9679,-1.1432
offline_val,4669440,570,0,14,147.1054,5.3328,1.0000,-0.0313,-0.4299,0.9900,0,0,0,0,0.0400,-0.0013,-0.0270,5.3330,-1.5473
offline_val,4669440,570,0,15,28.9583,2.8586,0.7208,0.1616,1.0000,0.9900,0,0,0,0,0.0288,0.0065,0.0628,2.7701,1.9609
offline_val,4669440,570,0,16,73.6653,2.7511,0.6504,0.1455,0.9574,0.9900,0,0,0,0,0.0260,0.0058,0.0602,2.7247,0.9599
offline_val,4669440,570,0,17,97.6432,6.3132,1.0000,0.2435,0.4546,0.9900,0,0,0,0,0.0400,0.0097,0.0286,6.3312,0.8688
offline_val,4669440,570,0,18,139.4870,2.8861,0.4553,-0.0886,-0.3165,0.9900,0,0,0,0,0.0182,-0.0035,-0.0199,2.8919,-0.6552
offline_val,4669440,570,0,19,150.4774,5.7680,1.0000,-0.0724,-0.6500,0.9900,0,0,0,0,0.0400,-0.0029,-0.0408,5.7353,-1.8997
offline_val,4669440,570,0,20,52.2502,2.0816,0.5291,0.1308,1.0000,0.9900,0,0,0,0,0.0212,0.0052,0.0628,2.0402,1.0659
offline_val,4669440,570,0,21,91.5907,3.9709,1.0000,0.1798,0.6464,0.9900,0,0,0,0,0.0400,0.0072,0.0406,3.9830,0.7751
offline_val,4669440,570,0,22,172.6063,3.1710,0.3610,-0.2863,-1.0000,0.9900,0,0,0,0,0.0144,-0.0115,-0.0628,3.0887,-1.6475
