update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef,mdp_update,mdp_loss,mdp_dyn,mdp_contrast,mdp_idm,mdp_var,mdp_cov,mdp_reward,mdp_done,mdp_value,mdp_retrieval1,mdp_eff_rank
1,4096,662.1031898341797,675.2666480485315,6.065751968999393,0.12043989798985422,0,0,0,0,0.0,0.0,0.0,0.25257018390111624,0.1514539446681738,0.5105003625154495,2.180645191669464,2.026947697122523,0.5015836954116821,0.49961206316947937,0.5052599906921387,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8192,665.9917813924054,679.8445007046371,6.024907160026487,0.08548837096896023,0,0,0,0,0.0,0.0,0.0,0.003771477343980223,0.20540933273732662,0.16986887231469155,2.1912274777889253,0.033498072475777005,0.5030225515365601,0.4993032217025757,0.5056844353675842,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12288,668.1532721380984,681.378053235119,6.011347123014275,0.07554259803146124,0,0,0,0,0.0,0.0,0.0,-0.002238974580541253,0.07646171124652028,0.14409685656428337,2.1919493436813355,0.01812472460733261,0.5013481378555298,0.49696701765060425,0.5049715042114258,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16384,670.9577639141069,688.6233758191311,5.948098980996292,0.07637339498614892,0,0,0,0,0.0,0.0,0.0,0.002257688529789448,0.049056371115148066,0.10670329295098782,2.1743963062763214,0.01354510317760287,0.4972822070121765,0.4916127622127533,0.5011772513389587,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20480,670.8028375092688,679.0133852118673,6.032281673979014,0.07643199199810624,0,0,0,0,0.0,0.0,0.0,-0.0035232558846473696,0.11875222977250814,0.11085632275789976,2.1555746257305146,0.007153147702047136,0.49581724405288696,0.49157389998435974,0.49863025546073914,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24576,667.0577358509636,657.2249466564292,6.232264951046091,0.0762225550133735,64,0,0,64,0.0,0.0,1.0,0.0028040064265951515,0.14349456429481505,0.14576044231653212,2.1544070899486543,0.03226864336174913,0.49688035249710083,0.493512898683548,0.4990536868572235,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28672,667.149836300708,676.6023743093232,6.053777160006575,0.0778136919834651,0,0,0,0,0.0,0.0,0.0,-0.0015678824740462006,0.1686405846849084,0.13439736608415842,2.159321141242981,0.019716507296834607,0.49695897102355957,0.4940701425075531,0.5006961226463318,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,32768,666.131049341079,667.6942846861257,6.1345440479926765,0.0769628529669717,0,0,0,0,0.0,0.0,0.0,-0.0036753266351297496,0.07174852518364787,0.0907138055190444,2.1567818105220793,0.00830953137628967,0.4958679676055908,0.49151065945625305,0.5019900798797607,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,36864,665.4561300124964,668.9190658848268,6.123311785981059,0.078248389007058,0,0,0,0,0.0,0.0,0.0,-0.001615949929691851,0.0865398544818163,0.0839193070307374,2.143415689468384,0.012975250296585727,0.492651104927063,0.488152414560318,0.49858108162879944,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,40960,664.8418788522382,668.042291330882,6.1313483489793725,0.07693419698625803,0,0,0,0,0.0,0.0,0.0,0.004381450248183682,0.17261958681046963,0.14606486186385154,2.1296532928943632,0.050384881880017926,0.49227219820022583,0.4887371063232422,0.49846360087394714,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,45056,662.8706573913951,652.2817752259028,6.279494775983039,0.07944584800861776,0,0,0,0,0.0,0.0,0.0,-0.0010928935371339321,0.1667728092521429,0.1612001694738865,2.1251259803771974,0.009503925862372854,0.4898253381252289,0.48618584871292114,0.4928086996078491,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,49152,662.1614440338506,663.0310793789066,6.1776892929919995,0.07750139600830153,64,0,0,64,0.0,0.0,1.0,-0.00119296305347234,0.11534647196531296,0.16303169205784798,2.1066197574138643,0.009434575065097307,0.4868428111076355,0.48300376534461975,0.49094703793525696,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,53248,661.3577725590351,660.2065651922408,6.204118856054265,0.0764589529717341,1,1,0,0,1.0,0.0,0.0,-0.0009990917867980897,0.28683011382818224,0.1054594861343503,2.0948567390441895,0.03281214222515701,0.4863058924674988,0.4809234142303467,0.4918636679649353,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,57344,661.2893463802626,669.2115315095724,6.120635714032687,0.07856934901792556,0,0,0,0,0.0,0.0,0.0,-0.0031620164518244565,0.10275731235742569,0.10396887063980102,2.0911168098449706,0.00971147901727818,0.48518306016921997,0.4782569110393524,0.490579754114151,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,61440,659.9047902645895,649.2097166286285,6.309209328028373,0.07639532396569848,0,0,0,0,0.0,0.0,0.0,0.003350278444122523,0.17831251509487628,0.10907281208783388,2.0813627898693086,0.013846633626963012,0.4831330180168152,0.47678443789482117,0.4881435036659241,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,65536,658.6183420649788,647.7204190276993,6.323716034996323,0.07356521300971508,0,0,0,0,0.0,0.0,0.0,-0.0005396016640588641,0.23346280306577682,0.12751146275550126,2.0690928637981414,0.012483466479170601,0.4814333915710449,0.4760056436061859,0.4863104224205017,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,69632,657.663997321087,650.9465042756642,6.292375752993394,0.07658555603120476,0,0,0,0,0.0,0.0,0.0,-2.2961932700127363e-05,0.3067478649318218,0.13767644502222537,2.0604702651500704,0.009368041103880387,0.4804263114929199,0.4761885702610016,0.4853370189666748,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,73728,656.7675064581005,650.1688623685801,6.29990182101028,0.07827438699314371,63,0,0,63,0.0,0.0,1.0,-0.0008629724965430796,0.20467054583132266,0.14741698391735553,2.0543351411819457,0.01613333012792282,0.47946417331695557,0.47704941034317017,0.48346003890037537,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,77824,656.1089055348443,652.5860820979309,6.27656659000786,0.07570794702041894,1,0,0,1,0.0,0.0,1.0,-0.0005572550348006189,0.04937568046152592,0.11797561664134264,2.0476516783237457,0.019696834233764095,0.47790980339050293,0.4760133922100067,0.48128020763397217,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,81920,655.5340604403569,652.6972547084588,6.275497515045572,0.07377897598780692,0,0,0,0,0.0,0.0,0.0,-0.00017476911307312548,0.1942099392414093,0.12381045036017894,2.0361378610134127,0.011493131071620154,0.4762452244758606,0.47369012236595154,0.480514794588089,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,86016,655.2658491561713,658.238975088061,6.222664039989468,0.07599432300776243,1,1,0,0,1.0,0.0,0.0,0.0017870711861178278,0.505738978087902,0.11700234990566968,2.0249608516693116,0.010159458375710528,0.4742324948310852,0.46966683864593506,0.4805249273777008,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,90112,655.1046667673521,660.0797849652602,6.205310468969401,0.07628835196373984,0,0,0,0,0.0,0.0,0.0,0.0006421342550311238,0.3546522706747055,0.11923998482525348,2.013944172859192,0.008184928810806014,0.4728887975215912,0.4687020778656006,0.47877007722854614,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,94208,655.2416916205495,666.9428575422767,6.141455678967759,0.07794227899285033,1,1,0,0,1.0,0.0,0.0,0.0005348871112801134,0.5700843967497349,0.11811406034976243,2.005043363571167,0.008682648655667435,0.47110259532928467,0.46823960542678833,0.4761848747730255,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,98304,654.2365028223952,639.9537566366891,6.400462467048783,0.07703058602055535,61,0,0,61,0.0,0.0,1.0,-0.004422158747911453,0.11088613830506802,0.1245036268606782,1.995938351750374,0.02020011349959532,0.47050151228904724,0.46773451566696167,0.4751969575881958,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,102400,654.0747588093775,658.6291932603963,6.218977296957746,0.0773533980245702,1,0,0,1,0.0,0.0,1.0,0.010719573020469397,0.11906899102032184,0.10792947765439749,1.9932078540325164,0.06424713098822395,0.4700365662574768,0.46678653359413147,0.4757920801639557,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,106496,653.6864448486015,654.110324421164,6.261940604017582,0.09393924003234133,0,0,0,0,0.0,0.0,0.0,0.00028396864654496313,0.22719384990632535,0.13864756673574447,1.986260223388672,0.01993215943221003,0.4678131341934204,0.4626377820968628,0.47397279739379883,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,110592,653.1536395510271,648.9484391562704,6.311749521002639,0.08916316402610391,1,0,0,1,0.0,0.0,1.0,0.0017232923302799464,0.2717559956014156,0.1541622169315815,1.96983645260334,0.02314826887450181,0.465359628200531,0.4593980610370636,0.4725582003593445,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,114688,652.6517038190468,647.4670050929429,6.32619109202642,0.07696397398831323,0,0,0,0,0.0,0.0,0.0,-0.0027929631411097943,0.2032486878335476,0.15299375727772713,1.9561486393213272,0.009945997012255247,0.46380361914634705,0.4582999348640442,0.4715837240219116,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,118784,652.5209140085927,657.3929554244131,6.230672181991395,0.0785786799970083,1,0,0,1,0.0,0.0,1.0,0.008735391253139824,0.21805028580129146,0.13688814900815488,1.9468107134103776,0.01476701158535434,0.4622539281845093,0.4569173753261566,0.46939772367477417,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,122880,652.8040925905183,669.7797266407572,6.115443386952393,0.07627021195366979,61,0,0,61,0.0,0.0,1.0,0.0015022253384813667,0.09100816603749991,0.12138199172914028,1.938688912987709,0.0358993615154759,0.4616956114768982,0.45568978786468506,0.47042128443717957,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,126976,652.9439097501748,665.8656603010468,6.1513909549685195,0.0784363150014542,1,0,0,1,0.0,0.0,1.0,0.004949346277862787,0.10942016188055277,0.07868474032729864,1.9351570427417755,0.03563601751084207,0.46066007018089294,0.45579561591148376,0.4694133996963501,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,131072,652.8959445406383,659.5878309356226,6.2099387039779685,0.07495132298208773,0,0,0,0,0.0,0.0,0.0,-0.0011799027095548808,0.1886731144040823,0.12346419487148523,1.9256833434104919,0.007060974893101956,0.4588630199432373,0.45520296692848206,0.46615034341812134,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
