update,step,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,4096,0,0,0,0,0.0,0.0,0.0,0.18863123463233933,0.1594814145937562,0.3050507687032223,2.1886256635189056,2.1757126684562538,0.5037846565246582,0.5019248723983765,0.505372941493988,1.0
2,8192,0,0,0,0,0.0,0.0,0.0,0.010194267972838133,0.07333461251109838,0.08267340958118438,2.2029194593429566,0.0640519667576882,0.5043632984161377,0.5024201273918152,0.5056816339492798,1.0
3,12288,12,0,12,0,0.0,1.0,0.0,0.004921856225701049,0.7644515872001648,0.10597187578678131,2.2021199107170104,0.02774053580360487,0.5038608908653259,0.5021721720695496,0.5064314007759094,1.0
4,16384,14,1,13,0,0.07142857142857142,0.9285714285714286,0.0,0.007174764631781727,0.6690446063876152,0.10315945018082857,2.1988968014717103,0.04436484914767789,0.503336489200592,0.5006546378135681,0.5082201361656189,1.0
5,20480,12,0,12,0,0.0,1.0,0.0,0.0038664227584376933,0.45837229341268537,0.10716854855418205,2.1952309012413025,0.020397845884144773,0.5025193691253662,0.49672189354896545,0.5106265544891357,1.0
6,24576,27,1,3,23,0.037037037037037035,0.1111111111111111,0.8518518518518519,0.0009088637074455619,0.373383891582489,0.10180788040161133,2.1855468690395354,0.025389371135679538,0.4999931752681732,0.49448516964912415,0.510116696357727,1.0
7,28672,0,0,0,0,0.0,0.0,0.0,0.0008321801666170359,0.14318358730524777,0.08758626524358988,2.17388311624527,0.015660021602525376,0.49925094842910767,0.491255521774292,0.5087024569511414,1.0
8,32768,3,0,0,3,0.0,0.0,1.0,0.0011662477860227226,0.24493576027452946,0.08665150105953216,2.1646148800849914,0.011708423795062118,0.4967217445373535,0.48955538868904114,0.5063609480857849,1.0
9,36864,14,0,0,14,0.0,0.0,1.0,0.0034640145022422075,0.3602678500115871,0.08652335088700056,2.15165399312973,0.00886505594389746,0.4947196841239929,0.48510026931762695,0.5044870972633362,1.0
10,40960,10,0,0,10,0.0,0.0,1.0,0.0016557940281927586,0.2624031584709883,0.07938687633723021,2.13908594250679,0.009007182462664787,0.49271196126937866,0.48038434982299805,0.5035409331321716,1.0
11,45056,10,0,0,10,0.0,0.0,1.0,0.0018498780555091798,0.30363222137093543,0.0795910269021988,2.1291572391986846,0.006367817890713922,0.49147161841392517,0.4770531952381134,0.5022243857383728,1.0
12,49152,27,1,0,26,0.037037037037037035,0.0,0.9629629629629629,0.006646412622649223,0.47464005947113036,0.07162252273410559,2.1214652061462402,0.06352547469869023,0.490398108959198,0.47442296147346497,0.5006906986236572,1.0
13,53248,2,2,0,0,1.0,0.0,0.0,0.0050287097110413015,0.5389732167124748,0.0782669235020876,2.1138918697834015,0.030601283643045464,0.48895275592803955,0.4727538824081421,0.499202698469162,1.0
14,57344,4,0,0,4,0.0,0.0,1.0,0.0018276760645676404,0.329064155369997,0.08498523402959109,2.1016823589801787,0.008242935857560951,0.486239492893219,0.46906188130378723,0.49770596623420715,1.0
15,61440,14,0,0,14,0.0,0.0,1.0,0.007970158208627254,0.2687748853117228,0.08098594918847084,2.08811502456665,0.011455224978271871,0.4848935008049011,0.4666624963283539,0.49672722816467285,1.0
16,65536,9,0,0,9,0.0,0.0,1.0,0.010904172284062952,0.2906645186245441,0.07788177207112312,2.0811301290988924,0.021867150219623,0.48381054401397705,0.4640409052371979,0.4973626434803009,1.0
17,69632,9,0,0,9,0.0,0.0,1.0,0.005015109071973711,0.27133283354341986,0.07635365277528763,2.0722885727882385,0.015281769751163665,0.48233306407928467,0.46154114603996277,0.49608099460601807,1.0
18,73728,26,0,0,26,0.0,0.0,1.0,0.00654628825141117,0.22217988297343255,0.08685223273932934,2.0668559789657595,0.021282450824219267,0.48216718435287476,0.460828959941864,0.4958503246307373,1.0
19,77824,2,0,0,2,0.0,0.0,1.0,0.007747572218067944,0.2112445157021284,0.07577854562550783,2.0665324449539186,0.022458012778952253,0.4820365309715271,0.4613857567310333,0.4955385625362396,1.0
20,81920,4,0,0,4,0.0,0.0,1.0,0.0018441947177052498,0.2929555907845497,0.06619491167366505,2.061474120616913,0.012440682789019775,0.48051732778549194,0.4595787525177002,0.49394574761390686,1.0
21,86016,16,0,0,16,0.0,0.0,1.0,0.007364316284656525,0.32150520384311676,0.07220694506540895,2.0562255680561066,0.01651250213617459,0.48052674531936646,0.4586431086063385,0.4948596656322479,1.0
22,90112,9,1,0,8,0.1111111111111111,0.0,0.8888888888888888,0.0019205106189474463,0.6681750863790512,0.051125411223620174,2.0512331902980803,0.009335925556661096,0.47848695516586304,0.45711416006088257,0.4929620027542114,1.0
23,94208,10,2,0,8,0.2,0.0,0.8,0.002891774522140622,0.7620575524866581,0.05687408670783043,2.036221742630005,0.013461817314964718,0.47614818811416626,0.45585504174232483,0.49009376764297485,1.0
24,98304,24,0,0,24,0.0,0.0,1.0,0.004015694948611781,0.2895864576101303,0.054792525991797444,2.025851148366928,0.01777325318689691,0.47513461112976074,0.4547891318798065,0.4884067475795746,1.0
25,102400,1,0,0,1,0.0,0.0,1.0,0.006821772060357034,0.3196176752448082,0.057084697857499124,2.020217549800873,0.01527787569357315,0.4743683338165283,0.4535205364227295,0.4873911440372467,1.0
26,106496,8,2,0,6,0.25,0.0,0.75,0.002791549963876605,0.7742074936628341,0.0489558550529182,2.0160578370094298,0.010706564578867983,0.47374987602233887,0.45297884941101074,0.4862784147262573,1.0
27,110592,15,0,0,15,0.0,0.0,1.0,0.005267904291395098,0.36645728200674055,0.04395654303953052,2.0083465695381166,0.019160376797663047,0.47183510661125183,0.45006242394447327,0.48401209712028503,1.0
28,114688,10,2,0,8,0.2,0.0,0.8,0.01260945516405627,0.8385365322232247,0.05381526779383421,1.998896560072899,0.038897501236351675,0.4708121716976166,0.44950777292251587,0.48267877101898193,1.0
29,118784,8,0,0,8,0.0,0.0,1.0,0.007337239268235862,0.2329361353069544,0.05781096694990993,1.990884283185005,0.024571849151107016,0.46918779611587524,0.4463154673576355,0.4807920455932617,1.0
30,122880,23,0,0,23,0.0,0.0,1.0,-0.00010461881756782532,0.14481007754802705,0.0644716639071703,1.9802185982465743,0.011419488910178188,0.4679379463195801,0.4452805817127228,0.479470431804657,1.0
31,126976,1,0,0,1,0.0,0.0,1.0,0.014698182442225515,0.0764984236098826,0.08211260121315718,1.9756025582551957,0.027468142584257293,0.46770069003105164,0.44492390751838684,0.4795245826244354,1.0
32,131072,9,0,0,9,0.0,0.0,1.0,0.012584291072562337,0.16476021967828275,0.0703653342090547,1.9739401191473007,0.022282894344243687,0.46727365255355835,0.44370073080062866,0.47959595918655396,1.0
33,135168,15,0,0,15,0.0,0.0,1.0,0.002636103262193501,0.1571129959076643,0.06696749553084373,1.9680410116910934,0.009883677923062351,0.4658846855163574,0.44128984212875366,0.4806279242038727,1.0
34,139264,10,0,0,10,0.0,0.0,1.0,0.013980657432693989,0.150092900916934,0.0633841933682561,1.9618806779384612,0.027072762229363435,0.4657534956932068,0.4416130483150482,0.48000940680503845,1.0
35,143360,8,0,0,8,0.0,0.0,1.0,0.010024815110955387,0.2087881550192833,0.05851090773940086,1.9612514913082122,0.024454987568606156,0.4652060866355896,0.440692663192749,0.4802033305168152,1.0
36,147456,21,0,0,21,0.0,0.0,1.0,0.017276567802764476,0.059482816513627766,0.06614840822294354,1.9575137972831727,0.04151772249169881,0.46489256620407104,0.44027888774871826,0.4795146882534027,1.0
37,151552,2,0,0,2,0.0,0.0,1.0,0.011512353539001197,0.1571403183043003,0.08236366109922529,1.953896090388298,0.04168650766368955,0.46412956714630127,0.44039949774742126,0.477382093667984,1.0
38,155648,11,0,0,11,0.0,0.0,1.0,0.004323617927730084,0.1260219918563962,0.06304447995498777,1.953077918291092,0.014187541253340897,0.4645375907421112,0.43951448798179626,0.4789004623889923,1.0
39,159744,14,0,0,14,0.0,0.0,1.0,0.018376282206736504,0.20978518202900887,0.06350468322634698,1.9503948956727981,0.04015691366075771,0.46319007873535156,0.4383394420146942,0.47751984000205994,1.0
40,163840,11,0,0,11,0.0,0.0,1.0,0.011167338909581303,0.1432437038049102,0.06425905395299196,1.9424906373023987,0.030642045688000507,0.4621422290802002,0.43623268604278564,0.4778984487056732,1.0
41,167936,24,0,0,24,0.0,0.0,1.0,0.0102287967922166,0.13705768138170243,0.06347955865785479,1.9394983261823655,0.03220125840889523,0.4625455141067505,0.4360786974430084,0.47923967242240906,1.0
42,172032,2,0,0,2,0.0,0.0,1.0,0.008796515071298926,0.08586030062288046,0.07930426290258766,1.940340769290924,0.024030913395108655,0.46220189332962036,0.4345332384109497,0.4809110164642334,1.0
43,176128,5,0,0,5,0.0,0.0,1.0,0.017342219728743658,0.07379032280296087,0.07488970709964633,1.9381542265415193,0.036234569871157876,0.46193811297416687,0.43422889709472656,0.4799375832080841,1.0
44,180224,10,0,0,10,0.0,0.0,1.0,0.01586983466986567,0.10821135882288217,0.07214337736368179,1.9355981081724167,0.03262106948095607,0.4615219235420227,0.4337012469768524,0.4799666702747345,1.0
45,184320,13,2,0,11,0.15384615384615385,0.0,0.8461538461538461,0.01173303104005754,0.3370054967701435,0.050286704767495395,1.9322709411382675,0.04450426284456625,0.4604904353618622,0.43430569767951965,0.4783872663974762,1.0
46,188416,11,0,0,11,0.0,0.0,1.0,0.019010433671064676,0.1518288603052497,0.05598727650940418,1.9242811173200607,0.046393282117787746,0.4595712423324585,0.434271901845932,0.4763205647468567,1.0
47,192512,23,0,0,23,0.0,0.0,1.0,0.009341634472366422,0.2830983351916075,0.043536937516182664,1.918766900897026,0.019555083544400987,0.45848819613456726,0.43235522508621216,0.4758319854736328,1.0
48,196608,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,0.010927296371664851,0.47022833973169326,0.042375852540135386,1.91125046312809,0.03360641552717425,0.4574812352657318,0.4305579662322998,0.4748136103153229,1.0
49,200704,5,0,0,5,0.0,0.0,1.0,0.007238353334832937,0.5262603871524334,0.032098541921004656,1.905116507411003,0.01911134837428108,0.4565045237541199,0.4290410280227661,0.4737204909324646,1.0
50,204800,16,2,0,14,0.125,0.0,0.875,0.005687636928632856,0.7017085611820221,0.0311090599745512,1.8973346143960952,0.020869495278748217,0.45494431257247925,0.42711344361305237,0.4713175892829895,1.0
51,208896,10,1,0,9,0.1,0.0,0.9,0.007485566940158605,0.6310058854520321,0.02954869014210999,1.8852789789438247,0.024789885252539536,0.45341047644615173,0.42418715357780457,0.4700208902359009,1.0
52,212992,10,0,0,10,0.0,0.0,1.0,0.03696625054581091,0.29435519203543664,0.03982301773503423,1.878520929813385,0.08664348639722448,0.45296725630760193,0.42364075779914856,0.4693222939968109,1.0
53,217088,21,1,0,20,0.047619047619047616,0.0,0.9523809523809523,0.022967149887699635,0.623370285332203,0.05550438202917576,1.8775903910398484,0.0843629061608226,0.45285820960998535,0.42441466450691223,0.46839791536331177,1.0
54,221184,4,1,0,3,0.25,0.0,0.75,0.02123582288622856,0.5046997286379338,0.06042746994644403,1.8773584514856339,0.05753899403498508,0.4529281556606293,0.42472174763679504,0.4677954316139221,1.0
