phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,7577600,1850,0,0,162.8313,2.7289,1.3085,14.6839,0.8162,-0.0398,-0.1958,0.9970,0,0,0,0,0.0326,-0.0016,-0.0123,2.7486,-1.0743
offline_val,7577600,1850,0,1,55.5904,2.3206,1.5515,5.5509,1.0000,0.3162,0.9875,0.9970,0,0,0,0,0.0400,0.0126,0.0620,2.2953,1.1354
offline_val,7577600,1850,0,2,136.4255,3.5060,1.7978,-17.6439,1.0000,-0.0105,-0.1829,0.9970,0,0,0,0,0.0400,-0.0004,-0.0115,3.5384,-0.6822
offline_val,7577600,1850,0,3,35.6315,3.9752,1.5534,18.1765,1.0000,0.3289,1.0000,0.9970,0,0,0,0,0.0400,0.0132,0.0628,3.8645,2.5327
offline_val,7577600,1850,0,4,212.2176,3.4515,1.4889,12.4854,0.6010,-0.0684,-0.3883,0.9970,0,0,0,0,0.0240,-0.0027,-0.0244,3.4113,-2.6776
offline_val,7577600,1850,0,5,40.4080,4.2665,1.3097,-4.7455,1.0000,0.3286,1.0000,0.9970,0,0,0,0,0.0400,0.0131,0.0628,4.1544,2.5649
offline_val,7577600,1850,0,6,-1.0000,0.0000,1.4075,19.2024,-0.0389,0.0879,0.4757,0.0043,0,0,0,0,-0.0016,0.0035,0.0299,2.6446,-2.6381
offline_val,7577600,1850,0,7,-1.0000,0.0000,1.4828,11.3436,-0.0458,0.0859,0.4709,0.0042,0,0,0,0,-0.0018,0.0034,0.0296,3.8361,3.4855
offline_val,7577600,1850,0,8,76.1951,4.3488,1.5214,-4.0875,1.0000,0.2008,0.6801,0.9970,0,0,0,0,0.0400,0.0080,0.0427,4.3350,1.3593
offline_val,7577600,1850,0,9,60.9786,3.9812,1.6698,14.9454,1.0000,0.2250,0.8075,0.9970,0,0,0,0,0.0400,0.0090,0.0507,3.9389,1.7308
offline_val,7577600,1850,0,10,189.4495,2.8575,1.4095,-17.5131,0.6179,-0.0692,-0.3686,0.9970,0,0,0,0,0.0247,-0.0028,-0.0232,2.8430,-1.7265
offline_val,7577600,1850,0,11,163.2132,4.2748,1.3860,8.6054,1.0000,-0.0099,-0.1945,0.9970,0,0,0,0,0.0400,-0.0004,-0.0122,4.2945,-1.6927
offline_val,7577600,1850,0,12,83.7798,4.9502,1.5027,-10.1000,1.0000,0.1678,0.5763,0.9970,0,0,0,0,0.0400,0.0067,0.0362,4.9490,1.2318
offline_val,7577600,1850,0,13,161.3320,6.3311,1.4023,-4.6719,1.0000,0.0266,-0.0897,0.9970,0,0,0,0,0.0400,0.0011,-0.0056,6.3578,-2.3745
offline_val,7577600,1850,0,14,-1.0000,0.0000,1.7361,-5.5918,-0.0626,0.0802,0.4586,0.0041,0,0,0,0,-0.0025,0.0032,0.0288,4.0207,3.9303
offline_val,7577600,1850,0,15,197.3434,1.8012,1.6290,3.7159,-0.1453,-0.0740,-0.1980,0.9970,0,0,0,0,-0.0058,-0.0030,-0.0124,1.7809,-1.1769
offline_val,7577600,1850,0,16,52.4469,5.5746,1.5807,-9.5810,1.0000,0.3340,1.0000,0.9970,0,0,0,0,0.0400,0.0134,0.0628,5.4474,2.8457
offline_val,7577600,1850,0,17,7.9252,1.5961,1.7890,6.8799,0.4672,0.1845,0.6667,0.9970,0,0,0,0,0.0187,0.0074,0.0419,1.5612,1.3176
offline_val,7577600,1850,0,18,118.7406,2.6406,1.5087,-15.8914,0.9006,-0.0226,-0.0441,0.9970,0,0,0,0,0.0360,-0.0009,-0.0028,2.6763,-0.1416
offline_val,7577600,1850,0,19,95.3767,6.2697,1.5143,-19.6558,1.0000,0.1280,0.2975,0.9970,0,0,0,0,0.0400,0.0051,0.0187,6.2940,0.9030
