update,stage,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,clip_frac,grad_norm,a_mag_mean,stop_frac,zone_frac,raw_std_mean,raw_std_min,raw_std_max,std_mean,std_min,std_max,teacher_coef
1,1,4096,53.92388674647723,963.1865437541624,4.252551104000304,70.67490820999956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016152861591116618,0.8195681609213352,0.00048828125,0.030029296875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,1,8192,53.82582120794708,963.9898401524439,4.249007436999818,70.9592050780193,2,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276183694784663e-05,0.6140243783593178,0.0009765625,0.283447265625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3,1,12288,53.86794637478241,970.1089240155178,4.222206289006863,70.67181465699105,4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639768895524753e-05,0.477785162627697,0.002197265625,0.559814453125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,1,16384,53.86721889347195,920.3394088361003,4.450532010989264,70.56650296898442,8,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.701268178346595e-05,0.5213176687248051,0.001953125,0.5595703125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5,1,20480,53.87131456308434,912.4022529017819,4.489248012017924,70.49406944098882,7,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41517056625662e-05,0.5118551291525364,0.001708984375,0.596923828125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
6,1,24576,54.02419770754724,873.0970355855239,4.691345672996249,69.0248305540008,44,4,0,40,0.09090909090909091,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,3.611703061778826e-05,0.5473771137185395,0.00146484375,0.541748046875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
7,1,28672,54.00521259642053,951.1862515627594,4.30620185402222,70.67131905900897,4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.684736491749163e-05,0.7509840885177255,0.00146484375,0.20263671875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8,1,32768,53.98038310654758,930.9284552797321,4.399908474995755,70.69712335898657,5,4,0,1,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.3146313285215e-05,0.6022155457176268,0.0009765625,0.34716796875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,1,36864,53.96574936148833,896.4707964849508,4.569027810008265,70.47013054799754,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,3.234405913943306e-05,0.49891220638528466,0.00146484375,0.56982421875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
10,1,40960,53.9464914059361,884.6214691670688,4.630229021975538,70.5128891649947,9,6,0,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.2428686161267706e-05,0.5115080941468477,0.00146484375,0.595458984375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
11,1,45056,53.93321462663313,905.8769388977422,4.521585465001408,70.55586145300185,6,4,0,2,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.1624461513501956e-05,0.4996015834622085,0.001220703125,0.60400390625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
12,1,49152,53.98675740957645,881.851479648861,4.644773064996116,69.37252824901952,37,4,0,33,0.10810810810810811,0.0,0.8918918918918919,0.0,0.0,0.0,0.0,0.0,0.0,3.4373615822147485e-05,0.5730730388313532,0.001220703125,0.447021484375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
13,1,53248,53.97068803016625,913.3739413961833,4.484472147014458,70.65410505398177,7,5,0,2,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3.1656272724944756e-05,0.6200267048552632,0.001220703125,0.327392578125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
14,1,57344,53.9629464388171,909.847821259121,4.501851742999861,70.52138601598563,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,3.1701345960755134e-05,0.5303953653201461,0.00146484375,0.4833984375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
15,1,61440,53.95543395120707,885.8776383453717,4.623663384991232,70.41560329700587,9,2,0,7,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,3.096146868486471e-05,0.521810382604599,0.000732421875,0.563720703125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
