episode,t,update,step,px_x,dist,end_d,end_x,raw_a_x,raw_a_y,raw_a_w,move_a_x,move_a_y,move_a_w,teacher_a_x,teacher_a_y,teacher_a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
0,0,890,3645440,-1.0000,0.0000,1.5000,0.0000,0.0141,0.0756,0.2414,0.0141,0.0756,0.2414,-0.0845,0.1497,0.3687,0.0021,0,0,0,0,0.0006,0.0030,0.0152,2.9455,2.6992
0,1,890,3645440,-1.0000,0.0000,1.5000,0.0000,0.4444,0.0714,0.2593,0.4444,0.0714,0.2593,-0.0845,0.1497,0.3687,-0.0075,0,0,0,0,0.0183,0.0061,0.0315,2.9455,2.6992
0,2,890,3645440,0.2284,3.0418,1.5000,0.0000,0.2687,0.0765,0.2604,0.2687,0.0765,0.2604,-0.0845,0.1497,0.3687,0.9970,0,0,0,0,0.0289,0.0095,0.0478,2.9455,2.6992
0,3,890,3645440,2.9511,3.0600,1.5000,0.0000,0.4734,0.0604,0.2343,0.4734,0.0604,0.2343,1.5312,0.1816,0.5538,0.0069,0,0,0,0,0.0477,0.0129,0.0625,2.9455,2.6992
0,4,890,3645440,5.8034,3.0788,1.5000,0.0000,0.4966,0.0657,0.2487,0.4966,0.0657,0.2487,1.5368,0.1819,0.5550,0.0074,0,0,0,0,0.0674,0.0167,0.0782,2.9455,2.6992
0,5,890,3645440,8.8267,3.1011,1.5000,0.0000,0.4190,0.0710,0.2566,0.4190,0.0710,0.2566,1.5428,0.1821,0.5562,0.0077,0,0,0,0,0.0839,0.0209,0.0943,2.9455,2.6992
0,6,890,3645440,11.7643,3.1207,1.5000,0.0000,0.4792,0.0709,0.2603,0.4792,0.0709,0.2603,1.5505,0.1824,0.5575,0.0077,0,0,0,0,0.1027,0.0255,0.1106,2.9455,2.6992
0,7,890,3645440,14.3165,3.1354,1.5000,0.0000,0.4929,0.0607,0.2369,0.4929,0.0607,0.2369,1.5571,0.1827,0.5587,0.0065,0,0,0,0,0.1220,0.0301,0.1255,2.9455,2.6992
0,8,890,3645440,16.5937,3.1419,1.5000,0.0000,0.6867,0.0561,0.2377,0.6867,0.0561,0.2377,1.5619,0.1828,0.5595,0.0064,0,0,0,0,0.1490,0.0357,0.1405,2.9455,2.6992
0,9,890,3645440,19.0115,3.1454,1.5000,0.0000,0.8307,0.0632,0.2641,0.8307,0.0632,0.2641,1.5629,0.1828,0.5597,0.0073,0,0,0,0,0.1815,0.0429,0.1571,2.9455,2.6992
0,10,890,3645440,21.6955,3.1533,1.5000,0.0000,0.7512,0.0713,0.2795,0.7512,0.0713,0.2795,1.5622,0.1827,0.5596,0.0080,0,0,0,0,0.2108,0.0504,0.1746,2.9455,2.6992
0,11,890,3645440,24.1351,3.1575,1.5000,0.0000,0.7725,0.0649,0.2651,0.7725,0.0649,0.2651,1.5634,0.1826,0.5597,0.0074,0,0,0,0,0.2408,0.0583,0.1913,2.9455,2.6992
0,12,890,3645440,26.2935,3.1543,1.5000,0.0000,0.9091,0.0582,0.2575,0.9091,0.0582,0.2575,1.5629,0.1825,0.5595,0.0070,0,0,0,0,0.2760,0.0675,0.2075,2.9455,2.6992
0,13,890,3645440,28.7150,3.1565,1.5000,0.0000,0.7901,0.0663,0.2696,0.7901,0.0663,0.2696,1.5587,0.1822,0.5588,0.0075,0,0,0,0,0.3064,0.0766,0.2244,2.9455,2.6992
0,14,890,3645440,31.1840,3.1540,1.5000,0.0000,0.9436,0.0704,0.2896,0.9436,0.0704,0.2896,1.5569,0.1818,0.5582,0.0083,0,0,0,0,0.3426,0.0878,0.2426,2.9455,2.6992
0,15,890,3645440,33.5126,3.1489,1.5000,0.0000,0.9576,0.0669,0.2812,0.9576,0.0669,0.2812,1.5524,0.1814,0.5571,0.0080,0,0,0,0,0.3791,0.0996,0.2603,2.9455,2.6992
0,16,890,3645440,36.0243,3.1475,1.5000,0.0000,0.8669,0.0728,0.2906,0.8669,0.0728,0.2906,1.5464,0.1808,0.5557,0.0084,0,0,0,0,0.4119,0.1113,0.2785,2.9455,2.6992
0,17,890,3645440,38.5218,3.1437,1.5000,0.0000,0.9119,0.0735,0.2954,0.9119,0.0735,0.2954,1.5419,0.1802,0.5543,0.0086,0,0,0,0,0.4461,0.1242,0.2971,2.9455,2.6992
0,18,890,3645440,40.8980,3.1352,1.5000,0.0000,1.1134,0.0679,0.2948,1.0000,0.0679,0.2948,1.5359,0.1794,0.5525,0.0087,0,0,0,0,0.4836,0.1385,0.3156,2.9455,2.6992
0,19,890,3645440,43.0897,3.1240,1.5000,0.0000,1.0745,0.0626,0.2801,1.0000,0.0626,0.2801,1.5271,0.1785,0.5501,0.0082,0,0,0,0,0.5208,0.1533,0.3332,2.9455,2.6992
0,20,890,3645440,45.3842,3.1129,1.5000,0.0000,1.1048,0.0664,0.2907,1.0000,0.0664,0.2907,1.5168,0.1775,0.5475,0.0086,0,0,0,0,0.5578,0.1689,0.3515,2.9455,2.6992
0,21,890,3645440,47.7366,3.1019,1.5000,0.0000,0.9806,0.0715,0.2953,0.9806,0.0715,0.2953,1.5060,0.1764,0.5446,0.0089,0,0,0,0,0.5936,0.1851,0.3700,2.9455,2.6992
0,22,890,3645440,50.1528,3.0899,1.5000,0.0000,1.0960,0.0722,0.3045,1.0000,0.0722,0.3045,1.4948,0.1751,0.5412,0.0093,0,0,0,0,0.6299,0.2022,0.3892,2.9455,2.6992
0,23,890,3645440,52.8689,3.0875,1.5000,0.0000,0.7489,0.0852,0.3135,0.7489,0.0852,0.3135,1.4825,0.1736,0.5373,0.0094,0,0,0,0,0.6563,0.2167,0.4088,2.9455,2.6992
0,24,890,3645440,55.1119,3.0720,1.5000,0.0000,1.2665,0.0622,0.2913,1.0000,0.0622,0.2913,1.4751,0.1718,0.5331,0.0090,0,0,0,0,0.6920,0.2349,0.4272,2.9455,2.6992
0,25,890,3645440,57.6107,3.0573,1.5000,0.0000,1.1415,0.0760,0.3160,1.0000,0.0760,0.3160,1.4603,0.1699,0.5282,0.0100,0,0,0,0,0.7271,0.2543,0.4470,2.9455,2.6992
0,26,890,3645440,60.1186,3.0422,1.5000,0.0000,0.9798,0.0802,0.3158,0.9798,0.0802,0.3158,1.4451,0.1677,0.5224,0.0101,0,0,0,0,0.7611,0.2741,0.4668,2.9455,2.6992
0,27,890,3645440,62.6986,3.0270,1.5000,0.0000,0.9607,0.0836,0.3223,0.9607,0.0836,0.3223,1.4293,0.1651,0.5159,0.0104,0,0,0,0,0.7939,0.2944,0.4871,2.9455,2.6992
0,28,890,3645440,64.9238,3.0069,1.5000,0.0000,1.1801,0.0652,0.2917,1.0000,0.0652,0.2917,1.4129,0.1621,0.5084,0.0094,0,0,0,0,0.8280,0.3154,0.5054,2.9455,2.6992
0,29,890,3645440,67.2054,2.9862,1.5000,0.0000,1.1341,0.0687,0.2974,1.0000,0.0687,0.2974,1.3939,0.1592,0.5007,0.0098,0,0,0,0,0.8617,0.3372,0.5241,2.9455,2.6992
0,30,890,3645440,69.5284,2.9646,1.5000,0.0000,1.3304,0.0657,0.3026,1.0000,0.0657,0.3026,1.3740,0.1559,0.4921,0.0101,0,0,0,0,0.8950,0.3595,0.5431,2.9455,2.6992
0,31,890,3645440,71.5484,2.9403,1.5000,0.0000,1.1873,0.0564,0.2714,1.0000,0.0564,0.2714,1.3532,0.1522,0.4823,0.0091,0,0,0,0,0.9281,0.3821,0.5602,2.9455,2.6992
0,32,890,3645440,73.5576,2.9149,1.5000,0.0000,1.1648,0.0564,0.2699,1.0000,0.0564,0.2699,1.3311,0.1485,0.4727,0.0091,0,0,0,0,0.9608,0.4052,0.5771,2.9455,2.6992
0,33,890,3645440,75.4386,2.8881,1.5000,0.0000,1.4612,0.0431,0.2579,1.0000,0.0431,0.2579,1.3082,0.1446,0.4622,0.0087,0,0,0,0,0.9934,0.4285,0.5933,2.9455,2.6992
0,34,890,3645440,77.2605,2.8602,1.5000,0.0000,1.3907,0.0422,0.2509,1.0000,0.0422,0.2509,1.2843,0.1406,0.4514,0.0086,0,0,0,0,1.0256,0.4523,0.6091,2.9455,2.6992
0,35,890,3645440,79.0940,2.8316,1.5000,0.0000,1.4619,0.0403,0.2519,1.0000,0.0403,0.2519,1.2597,0.1364,0.4401,0.0088,0,0,0,0,1.0575,0.4765,0.6249,2.9455,2.6992
0,36,890,3645440,80.8351,2.8018,1.5000,0.0000,1.0780,0.0456,0.2395,1.0000,0.0456,0.2395,1.2344,0.1319,0.4277,0.0085,0,0,0,0,1.0888,0.5014,0.6400,2.9455,2.6992
0,37,890,3645440,82.5556,2.7712,1.5000,0.0000,1.0958,0.0435,0.2366,1.0000,0.0435,0.2366,1.2083,0.1272,0.4151,0.0085,0,0,0,0,1.1199,0.5267,0.6548,2.9455,2.6992
0,38,890,3645440,84.2137,2.7397,1.5000,0.0000,1.1320,0.0397,0.2292,1.0000,0.0397,0.2292,1.1816,0.1223,0.4016,0.0083,0,0,0,0,1.1506,0.5523,0.6692,2.9455,2.6992
0,39,890,3645440,85.9032,2.7077,1.5000,0.0000,1.2417,0.0376,0.2321,1.0000,0.0376,0.2321,1.1543,0.1172,0.3877,0.0085,0,0,0,0,1.1811,0.5783,0.6838,2.9455,2.6992
0,40,890,3645440,87.6877,2.6754,1.5000,0.0000,1.2440,0.0408,0.2410,1.0000,0.0408,0.2410,1.1265,0.1118,0.3726,0.0090,0,0,0,0,1.2111,0.6048,0.6990,2.9455,2.6992
0,41,890,3645440,89.2636,2.6417,1.5000,0.0000,1.0165,0.0362,0.2163,1.0000,0.0362,0.2163,1.0983,0.1056,0.3558,0.0082,0,0,0,0,1.2407,0.6316,0.7126,2.9455,2.6992
0,42,890,3645440,90.6554,2.6071,1.5000,0.0000,1.1535,0.0243,0.1963,1.0000,0.0243,0.1963,1.0693,0.0998,0.3397,0.0075,0,0,0,0,1.2704,0.6585,0.7249,2.9455,2.6992
0,43,890,3645440,92.1420,2.5770,1.5000,0.0000,0.8769,0.0324,0.1992,0.8769,0.0324,0.1992,1.0397,0.0945,0.3246,0.0074,0,0,0,0,1.2958,0.6828,0.7374,2.9455,2.6992
0,44,890,3645440,93.3860,2.5430,1.5000,0.0000,0.9513,0.0199,0.1751,0.9513,0.0199,0.1751,1.0137,0.0885,0.3081,0.0068,0,0,0,0,1.3234,0.7089,0.7484,2.9455,2.6992
0,45,890,3645440,94.7958,2.5071,1.5000,0.0000,1.0205,0.0255,0.1936,1.0000,0.0255,0.1936,0.9847,0.0834,0.2933,0.0078,0,0,0,0,1.3520,0.7369,0.7606,2.9455,2.6992
0,46,890,3645440,96.2044,2.4817,1.5000,0.0000,0.7221,0.0282,0.1818,0.7221,0.0282,0.1818,0.9538,0.0773,0.2759,0.0065,0,0,0,0,1.3722,0.7576,0.7720,2.9455,2.6992
0,47,890,3645440,97.5713,2.4527,1.5000,0.0000,0.8038,0.0247,0.1790,0.8038,0.0247,0.1790,0.9319,0.0708,0.2583,0.0067,0,0,0,0,1.3945,0.7808,0.7832,2.9455,2.6992
0,48,890,3645440,98.8270,2.4279,1.5000,0.0000,0.6841,0.0207,0.1620,0.6841,0.0207,0.1620,0.9070,0.0644,0.2404,0.0057,0,0,0,0,1.4133,0.8007,0.7934,2.9455,2.6992
0,49,890,3645440,100.0114,2.3963,1.5000,0.0000,0.8456,0.0149,0.1581,0.8456,0.0149,0.1581,0.8857,0.0583,0.2235,0.0062,0,0,0,0,1.4366,0.8252,0.8033,2.9455,2.6992
0,50,890,3645440,101.3930,2.3694,1.5000,0.0000,0.7276,0.0243,0.1745,0.7276,0.0243,0.1745,0.8585,0.0525,0.2068,0.0065,0,0,0,0,1.4561,0.8468,0.8143,2.9455,2.6992
0,51,890,3645440,102.2743,2.3403,1.5000,0.0000,0.7630,0.0009,0.1206,0.7630,0.0009,0.1206,0.8354,0.0453,0.1872,0.0046,0,0,0,0,1.4771,0.8690,0.8219,2.9455,2.6992
0,52,890,3645440,103.3642,2.3085,1.5000,0.0000,0.8305,0.0087,0.1436,0.8305,0.0087,0.1436,0.8101,0.0409,0.1740,0.0058,0,0,0,0,1.4994,0.8936,0.8309,2.9455,2.6992
0,53,890,3645440,104.3557,2.2811,1.5000,0.0000,0.7128,0.0057,0.1290,0.7128,0.0057,0.1290,0.7823,0.0352,0.1576,0.0048,0,0,0,0,1.5185,0.9148,0.8390,2.9455,2.6992
0,54,890,3645440,105.1346,2.2543,1.5000,0.0000,0.6909,-0.0037,0.1048,0.6909,-0.0037,0.1048,0.7584,0.0300,0.1424,0.0038,0,0,0,0,1.5370,0.9353,0.8456,2.9455,2.6992
0,55,890,3645440,105.9644,2.2288,1.5000,0.0000,0.6567,-0.0014,0.1087,0.6567,-0.0014,0.1087,0.7347,0.0259,0.1302,0.0039,0,0,0,0,1.5545,0.9549,0.8524,2.9455,2.6992
0,56,890,3645440,106.9974,2.1998,1.5000,0.0000,0.7425,0.0054,0.1311,0.7425,0.0054,0.1311,0.7120,0.0214,0.1172,0.0052,0,0,0,0,1.5739,0.9774,0.8607,2.9455,2.6992
0,57,890,3645440,107.6482,2.1644,1.5000,0.0000,0.8975,-0.0152,0.0919,0.8975,-0.0152,0.0919,0.6863,0.0158,0.1010,0.0043,0,0,0,0,1.5978,1.0042,0.8664,2.9455,2.6992
0,58,890,3645440,108.1912,2.1421,1.5000,0.0000,0.5655,-0.0134,0.0742,0.5655,-0.0134,0.0742,0.6541,0.0126,0.0901,0.0022,0,0,0,0,1.6128,1.0211,0.8711,2.9455,2.6992
0,59,890,3645440,108.7485,2.1229,1.5000,0.0000,0.4850,-0.0110,0.0738,0.4850,-0.0110,0.0738,0.6339,0.0097,0.0813,0.0019,0,0,0,0,1.6256,1.0357,0.8757,2.9455,2.6992
