update,stage,step,spr_loss,eff_rank,z_std,pred_cos,identity_gap,target_sim
1,1,4096,0.00024616388055132,69.52055358886719,0.0009844050509855151,0.9999291896820068,0.01158905029296875,0.9999707937240601
2,1,8192,5.18863600529329e-07,69.13875579833984,0.0009429465280845761,0.9999697208404541,0.011062562465667725,0.9999911189079285
3,1,12288,3.886292889720977e-07,67.66990661621094,0.0010029086843132973,0.9999778270721436,0.010958671569824219,0.999990701675415
4,1,16384,3.918807635061583e-07,68.65071868896484,0.0010358011350035667,0.9999774694442749,0.010936260223388672,0.9999915361404419
5,1,20480,3.333451658593667e-07,68.43082427978516,0.0010360351298004389,0.9999802112579346,0.010859251022338867,0.9999906420707703
6,1,24576,3.365449923742325e-07,68.50042724609375,0.0010576945496723056,0.9999806880950928,0.010834336280822754,0.9999914169311523
7,1,28672,3.859685576701466e-07,65.4675064086914,0.001116689178161323,0.9999688863754272,0.01082003116607666,0.9999855756759644
8,1,32768,3.0622600735719097e-07,69.15705871582031,0.0009766679722815752,0.9999802112579346,0.010799169540405273,0.9999917149543762
9,1,36864,2.8904308294053216e-07,68.78083038330078,0.0009953499538823962,0.9999826550483704,0.010742008686065674,0.9999911785125732
10,1,40960,3.058950996115417e-07,68.79710388183594,0.001038497081026435,0.9999803304672241,0.010720372200012207,0.9999917149543762
11,1,45056,2.7879912634087844e-07,68.4991226196289,0.0010717164259403944,0.999982476234436,0.010634243488311768,0.9999901652336121
12,1,49152,3.180059111873579e-07,69.10718536376953,0.0010230031330138445,0.9999819993972778,0.01059645414352417,0.999991238117218
13,1,53248,3.032977919648072e-07,67.94713592529297,0.001015861053019762,0.99997878074646,0.010520219802856445,0.9999911189079285
14,1,57344,2.8334956342357387e-07,67.96939849853516,0.001029257895424962,0.9999815821647644,0.01047593355178833,0.9999903440475464
15,1,61440,2.667446836190912e-07,68.1080322265625,0.0010273249354213476,0.9999823570251465,0.01038748025894165,0.9999906420707703
16,1,65536,2.746695354216566e-07,67.71861267089844,0.0010371319949626923,0.9999828338623047,0.010347366333007812,0.9999923706054688
17,1,69632,2.671617556626593e-07,68.55013275146484,0.0010161359095945954,0.9999846816062927,0.010322511196136475,0.9999914765357971
18,1,73728,3.3419258943512276e-07,67.7209701538086,0.0010540781076997519,0.9999825954437256,0.010246217250823975,0.9999920129776001
19,1,77824,2.8273118990451707e-07,67.74710083007812,0.0010686141904443502,0.9999805688858032,0.01016002893447876,0.9999919533729553
20,1,81920,2.640826337885205e-07,68.67579650878906,0.001044876640662551,0.9999828338623047,0.010159909725189209,0.9999926090240479
21,1,86016,2.703013387561626e-07,66.90430450439453,0.001096462132409215,0.999981701374054,0.010101854801177979,0.9999908208847046
22,1,90112,2.5470202388855334e-07,68.9345932006836,0.0010388989467173815,0.9999836683273315,0.010050296783447266,0.9999924898147583
23,1,94208,2.4652631402943825e-07,69.17153930664062,0.0010211542248725891,0.9999855160713196,0.009970903396606445,0.9999918937683105
24,1,98304,2.703926955949232e-07,67.83887481689453,0.0010590450838208199,0.9999830722808838,0.00999462604522705,0.9999922513961792
25,1,102400,2.4788322403046514e-07,69.50938415527344,0.0010061555076390505,0.999985933303833,0.009949922561645508,0.9999920129776001
26,1,106496,2.395000084087773e-07,68.65955352783203,0.0010112421587109566,0.9999856352806091,0.009865343570709229,0.9999915957450867
27,1,110592,2.3545037117211898e-07,70.19224548339844,0.0009999219328165054,0.9999853372573853,0.009864389896392822,0.9999908804893494
28,1,114688,2.445671646311709e-07,68.2723617553711,0.0010253129294142127,0.9999858140945435,0.009811818599700928,0.9999922513961792
29,1,118784,2.4974219792195385e-07,68.3056411743164,0.0010114116594195366,0.9999856948852539,0.009804487228393555,0.9999914765357971
30,1,122880,2.4928942318758196e-07,67.72630310058594,0.0010612010955810547,0.999984622001648,0.009727776050567627,0.9999901056289673
31,1,126976,2.3086842895758686e-07,68.07803344726562,0.0010338826104998589,0.9999849200248718,0.009702920913696289,0.999991238117218
32,1,131072,2.245791461408242e-07,70.67493438720703,0.0009710050653666258,0.9999865293502808,0.009664833545684814,0.9999925494194031
33,1,135168,2.1820505141656454e-07,69.64521026611328,0.0010222841519862413,0.9999856352806091,0.009651243686676025,0.9999916553497314
34,1,139264,2.3630976758726163e-07,67.73272705078125,0.0010692267678678036,0.9999849796295166,0.009604334831237793,0.9999911785125732
35,1,143360,2.3565275378278905e-07,67.47322845458984,0.0010521633084863424,0.9999842643737793,0.009595513343811035,0.9999911785125732
36,1,147456,2.606430965501616e-07,66.8323745727539,0.0010119682410731912,0.999984860420227,0.009575128555297852,0.999991774559021
37,1,151552,2.5536147377214213e-07,67.44113159179688,0.0010446958476677537,0.9999818801879883,0.009539246559143066,0.9999917149543762
38,1,155648,2.398717652563054e-07,67.3181381225586,0.001032710773870349,0.9999852180480957,0.009497642517089844,0.9999923706054688
39,1,159744,2.374265231364081e-07,68.49125671386719,0.001027810969389975,0.9999859929084778,0.009466826915740967,0.9999924898147583
40,1,163840,2.664054392642612e-07,67.83202362060547,0.0010633582714945078,0.9999818801879883,0.009454011917114258,0.9999911785125732
41,1,167936,2.657292034746739e-07,67.74099731445312,0.001069414895027876,0.9999821186065674,0.00943601131439209,0.999991238117218
42,1,172032,2.711704497615486e-07,66.69900512695312,0.0010800729505717754,0.9999813437461853,0.009389698505401611,0.9999914169311523
43,1,176128,2.390938284024813e-07,68.18490600585938,0.0010455446317791939,0.9999833703041077,0.009387552738189697,0.9999915361404419
44,1,180224,2.2955037326521932e-07,67.46345520019531,0.0010677267564460635,0.9999845623970032,0.009348869323730469,0.9999905228614807
45,1,184320,2.4213986671295373e-07,67.79460906982422,0.0010590339079499245,0.9999847412109375,0.009314298629760742,0.9999909996986389
46,1,188416,2.349647448551817e-07,68.4715576171875,0.001039503258652985,0.999984860420227,0.009311199188232422,0.9999903440475464
47,1,192512,2.4381427746189566e-07,69.13480377197266,0.0009974818676710129,0.9999852180480957,0.009291768074035645,0.9999927282333374
