phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,3645440,890,0,0,64.6565,2.8573,1.5000,0.0000,1.0000,-0.0215,0.1184,0.9970,0,0,0,0,0.0400,-0.0009,0.0074,2.8897,1.0338
offline_val,3645440,890,0,1,108.7232,6.8128,1.5000,0.0000,1.0000,-0.0402,0.1111,0.9970,0,0,0,0,0.0400,-0.0016,0.0070,6.8515,0.2132
offline_val,3645440,890,0,2,70.6670,6.5975,1.5000,0.0000,1.0000,0.0306,0.2515,0.9970,0,0,0,0,0.0400,0.0012,0.0158,6.6044,2.1483
offline_val,3645440,890,0,3,63.0439,6.3323,1.5000,0.0000,1.0000,0.0580,0.2878,0.9970,0,0,0,0,0.0400,0.0023,0.0181,6.3293,2.4390
offline_val,3645440,890,0,4,192.4339,3.1438,1.5000,0.0000,0.5189,-0.0892,-0.1252,0.9970,0,0,0,0,0.0208,-0.0036,-0.0079,3.1496,-1.9227
offline_val,3645440,890,0,5,162.6226,3.3281,1.5000,0.0000,1.0000,-0.1342,-0.1454,0.9970,0,0,0,0,0.0400,-0.0054,-0.0091,3.3564,-1.2980
offline_val,3645440,890,0,6,-1.0000,0.0000,1.5000,0.0000,0.3603,0.0059,0.0958,-0.0055,0,0,0,0,0.0144,0.0002,0.0060,1.8013,-1.7001
offline_val,3645440,890,0,7,110.0911,4.5482,1.5000,0.0000,1.0000,-0.0897,0.0125,0.9970,0,0,0,0,0.0400,-0.0036,0.0008,4.5881,0.0650
offline_val,3645440,890,0,8,153.2852,5.1679,1.5000,0.0000,1.0000,-0.0947,-0.0371,0.9970,0,0,0,0,0.0400,-0.0038,-0.0023,5.2042,-1.6143
offline_val,3645440,890,0,9,126.9074,2.5382,1.5000,0.0000,1.0000,-0.1024,-0.1120,0.9970,0,0,0,0,0.0400,-0.0041,-0.0070,2.5762,-0.3054
offline_val,3645440,890,0,10,26.3083,4.3714,1.5000,0.0000,1.0000,0.0264,0.2198,0.9970,0,0,0,0,0.0400,0.0011,0.0138,4.3722,2.8676
offline_val,3645440,890,0,11,193.4801,1.7891,1.5000,0.0000,0.0000,0.0000,0.0000,0.9970,0,0,0,0,0.0000,0.0000,0.0000,1.7891,-1.0921
offline_val,3645440,890,0,12,135.1643,5.4984,1.5000,0.0000,1.0000,-0.1025,-0.0326,0.9970,0,0,0,0,0.0400,-0.0041,-0.0021,5.5364,-0.9696
offline_val,3645440,890,0,13,104.3988,6.3745,1.5000,0.0000,1.0000,-0.0386,0.1016,0.9970,0,0,0,0,0.0400,-0.0015,0.0064,6.4120,0.4022
offline_val,3645440,890,0,14,195.3068,2.3928,1.5000,0.0000,0.5515,-0.0833,-0.1073,0.9970,0,0,0,0,0.0221,-0.0033,-0.0067,2.4047,-1.5128
offline_val,3645440,890,0,15,16.1638,4.2255,1.5000,0.0000,0.9068,0.0258,0.1788,0.9970,0,0,0,0,0.0363,0.0010,0.0112,4.2275,3.0823
offline_val,3645440,890,0,16,54.1654,4.8807,1.5000,0.0000,1.0000,0.0594,0.3173,0.9970,0,0,0,0,0.0400,0.0024,0.0199,4.8776,2.2140
offline_val,3645440,890,0,17,115.0410,2.7626,1.5000,0.0000,1.0000,-0.0796,-0.0461,0.9970,0,0,0,0,0.0400,-0.0032,-0.0029,2.8024,-0.0741
offline_val,3645440,890,0,18,14.5579,5.4160,1.5000,0.0000,0.7257,0.0404,0.2014,0.9970,0,0,0,0,0.0290,0.0016,0.0127,5.3946,4.0237
offline_val,3645440,890,0,19,152.2993,4.2155,1.5000,0.0000,1.0000,-0.1048,-0.0687,0.9970,0,0,0,0,0.0400,-0.0042,-0.0043,4.2500,-1.2951
