phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,t_ax,t_ay,t_aw,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
train,64,1,0,0,-1.0000,0.0000,1.5000,0.0000,0.6787,-0.0652,0.2207,-0.0845,0.1497,0.3687,-0.0210,0,0,0,0,0.0271,-0.0026,0.0139,2.9455,2.6992
train,128,1,1,0,-1.0000,0.0000,1.5000,0.0000,-0.0188,0.3100,0.4936,-0.0845,0.1497,0.3687,0.0001,0,0,0,0,0.0262,0.0098,0.0449,2.9455,2.6992
train,192,1,2,0,3.0321,3.0811,1.5000,0.0000,-0.4429,0.2125,0.1656,-0.0845,0.1497,0.3687,0.9970,0,0,0,0,0.0081,0.0175,0.0553,2.9455,2.6992
train,256,1,3,0,12.1598,3.1678,1.5000,0.0000,1.0000,-0.3696,0.8232,1.5467,0.1822,0.5562,0.0269,0,0,0,0,0.0489,0.0049,0.1070,2.9455,2.6992
train,320,1,4,0,19.6711,3.2243,1.5000,0.0000,1.0000,0.1459,0.6683,1.5800,0.1834,0.5615,0.0235,0,0,0,0,0.0880,0.0150,0.1490,2.9455,2.6992
train,384,1,5,0,26.0740,3.2603,1.5000,0.0000,1.0000,0.4446,0.5614,1.6018,0.1839,0.5645,0.0211,0,0,0,0,0.1250,0.0385,0.1843,2.9455,2.6992
train,448,1,6,0,32.5851,3.2994,1.5000,0.0000,1.0000,0.2164,0.6207,1.6148,0.1839,0.5655,0.0212,0,0,0,0,0.1627,0.0544,0.2233,2.9455,2.6992
train,512,1,7,0,36.1604,3.3025,1.5000,0.0000,1.0000,0.3156,0.3588,1.6294,0.1833,0.5657,0.0126,0,0,0,0,0.1989,0.0755,0.2458,2.9455,2.6992
train,576,1,8,0,46.5348,3.3730,1.5000,0.0000,1.0000,0.3390,1.0000,1.6274,0.1825,0.5641,0.0345,0,0,0,0,0.2344,0.0984,0.3086,2.9455,2.6992
train,640,1,9,0,52.7648,3.4072,1.5000,0.0000,1.0000,-0.3713,0.7419,1.6542,0.1794,0.5597,0.0205,0,0,0,0,0.2770,0.0964,0.3553,2.9455,2.6992
train,704,1,10,0,55.0660,3.3905,1.5000,0.0000,1.0000,0.3086,0.2520,1.6652,0.1757,0.5530,0.0094,0,0,0,0,0.3102,0.1219,0.3711,2.9455,2.6992
train,768,1,11,0,59.6867,3.3986,1.5000,0.0000,1.0000,-0.0596,0.5499,1.6522,0.1736,0.5479,0.0166,0,0,0,0,0.3484,0.1342,0.4057,2.9455,2.6992
train,832,1,12,0,63.8024,3.3959,1.5000,0.0000,1.0000,0.1706,0.4661,1.6498,0.1691,0.5383,0.0157,0,0,0,0,0.3824,0.1562,0.4349,2.9455,2.6992
