update,loss,dyn,contrast,idm,reward,done,value,probe,probe_x_err,probe_d_err,var,cov,retrieval1,eff_rank,z_std
1,0.15989768505096436,0.02962411567568779,5.566856384277344,0.0743749737739563,0.005677841603755951,0.7373467683792114,0.04225148633122444,0.04477944225072861,24.760391235351562,2.2230467796325684,0.987934947013855,4.210687620798126e-08,0.00390625,7.583595275878906,0.0062342919409275055
2,0.19057540595531464,0.028654176741838455,5.581145763397217,0.12270084023475647,0.0089558195322752,0.7390936017036438,0.026897810399532318,0.07104206830263138,34.36179733276367,2.311460494995117,0.9866698980331421,1.5250709850533894e-07,0.00390625,6.7736077308654785,0.008246947079896927
3,0.14193618297576904,0.028370371088385582,5.580618858337402,0.13612684607505798,0.006002338603138924,0.7424263954162598,0.03478081151843071,0.02118508517742157,15.56401252746582,1.9337632656097412,0.9862728118896484,2.5869942987810646e-07,0.00390625,5.557616710662842,0.00860607996582985
4,0.1601564884185791,0.027740828692913055,5.577122688293457,0.13904733955860138,0.005949540063738823,0.7421998977661133,0.014102078042924404,0.03934081271290779,22.388792037963867,2.0272700786590576,0.985886812210083,3.206950225376204e-07,0.0,5.607730388641357,0.00919051468372345
5,0.1966785490512848,0.027107656002044678,5.56795597076416,0.11545667797327042,0.003980003297328949,0.7395156025886536,0.020707543939352036,0.07836732268333435,35.569244384765625,2.3446590900421143,0.9863325357437134,2.0523290800156246e-07,0.00390625,6.52383279800415,0.008678505197167397
6,0.16523626446723938,0.02707548439502716,5.550224781036377,0.045231159776449203,0.004095953423529863,0.7360408306121826,0.01402073260396719,0.053760431706905365,26.14901351928711,2.378319263458252,0.9883006811141968,2.547500699279226e-08,0.00390625,7.211803913116455,0.0055814385414123535
7,0.1411600410938263,0.02612518146634102,5.5785064697265625,0.12721320986747742,0.04262286424636841,0.7410950660705566,0.5746232867240906,0.022011734545230865,16.325773239135742,1.8647618293762207,0.9858942031860352,3.026511024017964e-07,0.00390625,5.904841423034668,0.009279339574277401
8,0.15543167293071747,0.025264356285333633,5.612524509429932,0.18642842769622803,0.0093604801222682,0.744971752166748,0.06561277061700821,0.03086536005139351,17.797534942626953,2.015659809112549,0.9834411144256592,1.1109069646408898e-06,0.00390625,5.323906898498535,0.01247566007077694
9,0.16139273345470428,0.024526815861463547,5.582364559173584,0.17749221622943878,0.010852781124413013,0.744545578956604,0.06698308140039444,0.03780209645628929,23.1475830078125,1.7999112606048584,0.9848334789276123,5.362298907130025e-07,0.00390625,6.102897644042969,0.010762917809188366
10,0.18469566106796265,0.0243584755808115,5.578824520111084,0.14101240038871765,0.004180350340902805,0.7423619031906128,0.022075248882174492,0.06488937139511108,31.375669479370117,2.263619899749756,0.9839745759963989,8.379828955185076e-07,0.0,5.13197135925293,0.011800825595855713
11,0.17400957643985748,0.023994900286197662,5.569384574890137,0.11123031377792358,0.005650372244417667,0.7404978275299072,0.02492472529411316,0.05713781341910362,31.22581672668457,1.9933874607086182,0.9855024814605713,3.2194611776503734e-07,0.00390625,6.481557369232178,0.009960830211639404
12,0.1519593447446823,0.02306085266172886,5.578887939453125,0.1457366794347763,0.0042013139463961124,0.7434037923812866,0.01640423759818077,0.03201844543218613,19.07939910888672,1.8588764667510986,0.9844894409179688,6.494680633295502e-07,0.0,5.752514362335205,0.011222504079341888
13,0.17921128869056702,0.02294088900089264,5.560794830322266,0.10256363451480865,0.04011936113238335,0.7391632795333862,0.5481055378913879,0.06356024742126465,30.21240997314453,2.209575653076172,0.985123872756958,4.375011997126421e-07,0.00390625,5.881178855895996,0.010424134321510792
14,0.16944333910942078,0.021594490855932236,5.5947442054748535,0.20430807769298553,0.0024739124346524477,0.7462883591651917,0.0010105737019330263,0.04432472959160805,23.020339965820312,1.7776432037353516,0.9820936322212219,1.7170043520309264e-06,0.0,5.24623441696167,0.014252737164497375
15,0.1372968554496765,0.021290715783834457,5.579904556274414,0.1648862212896347,0.002672480884939432,0.7445606589317322,0.0012289085425436497,0.016069578006863594,13.188515663146973,1.550037145614624,0.9835137724876404,1.0417929843242746e-06,0.00390625,4.75381326675415,0.012432505376636982
16,0.17627304792404175,0.02034641057252884,5.5855841636657715,0.21503189206123352,0.007487444672733545,0.7470208406448364,0.04801296442747116,0.05050462484359741,27.342288970947266,1.7852145433425903,0.9816121459007263,1.9247829641244607e-06,0.0,5.5687785148620605,0.014876952394843102
17,0.1354680061340332,0.020915936678647995,5.577615737915039,0.10261599719524384,0.005947955418378115,0.7397279739379883,0.006560054607689381,0.020581156015396118,13.635560035705566,1.95475435256958,0.983504056930542,9.818576245379518e-07,0.00390625,5.227014541625977,0.012533199042081833
