update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef,mdp_update,mdp_loss,mdp_dyn,mdp_contrast,mdp_idm,mdp_var,mdp_cov,mdp_reward,mdp_done,mdp_value,mdp_retrieval1,mdp_eff_rank
1,8192,1425.8998784326702,1471.889887444799,5.565633727004752,0.17934778000199003,0,0,0,0,0.0,0.0,0.0,0.24715308789163828,0.14250859627500176,0.36428266782313584,2.200016924738884,5.805379925820307,0.507367730140686,0.5063706040382385,0.5088860988616943,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16384,1442.9473499119217,1513.2357174580402,5.413565054994251,0.19248340800550068,0,0,0,0,0.0,0.0,0.0,0.001210839959094301,0.15321680530905724,0.1015003027394414,2.2154368609189987,0.0225671402302396,0.5046249628067017,0.5015738010406494,0.5075628757476807,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24576,1360.4672586357567,1261.3286274158766,6.494738819004851,0.20861930400133133,13,0,13,0,0.0,1.0,0.0,0.014351232716580852,0.5715767581015825,0.10043258545920253,2.203033816814423,0.0660040466587816,0.5045619010925293,0.4937882721424103,0.5173795819282532,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32768,1350.0463211425313,1356.2248515083077,6.040296334998857,0.16329691399732837,6,0,6,0,0.0,1.0,0.0,-0.000715112074976787,0.21413181023672223,0.06004253360442817,2.1961099088191984,0.013325860391341848,0.5017886161804199,0.4901562035083771,0.5218967795372009,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40960,1350.717866926527,1388.7965539234026,5.898632147996977,0.15027230700070504,7,0,7,0,0.0,1.0,0.0,-0.00012659527128562332,0.30633106715977193,0.05096452278085053,2.187388750910759,0.013165319641848328,0.5024027228355408,0.4903815984725952,0.5246525406837463,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,49152,1356.500687143376,1424.2036700561855,5.7519863010020345,0.15447218399640406,103,0,4,99,0.0,0.038834951456310676,0.9611650485436893,-0.0014752424322068691,0.22777584958821534,0.05028427913784981,2.1782411336898804,0.010869650616950822,0.4981365203857422,0.48953187465667725,0.513570249080658,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,57344,1368.1479315599659,1485.2289298076728,5.515648016000341,0.15769134299625875,0,0,0,0,0.0,0.0,0.0,-0.0022726256866008043,0.056929492158815265,0.0430698262527585,2.1543983578681947,0.009602328349865274,0.49474018812179565,0.48543235659599304,0.5110665559768677,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,65536,1372.6490765159872,1444.4411414775875,5.671397583995713,0.14913725899532437,2,0,1,1,0.0,0.5,0.5,-0.0016461661842186003,0.14805602254346012,0.04596356716938317,2.144575947523117,0.00974485664992244,0.49480098485946655,0.48033666610717773,0.5124697089195251,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,73728,1366.829047779247,1357.5216561917969,6.034526199000538,0.1590627690020483,13,0,0,13,0.0,0.0,1.0,6.83892285451293e-05,0.1688336843624711,0.043124795379117134,2.1360381573438643,0.009184167226339923,0.4919717013835907,0.47299662232398987,0.5100331902503967,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,81920,1371.1494302412243,1452.9412070040062,5.638218504995166,0.16338342800008832,3,0,0,3,0.0,0.0,1.0,-0.0027261635143077,0.22003655806183814,0.03939880640245974,2.1136181920766832,0.006139245127269532,0.48780423402786255,0.46759384870529175,0.5046626925468445,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,90112,1370.496601576767,1399.4967271397197,5.853532802997506,0.14932581799803302,8,1,0,7,0.125,0.0,0.875,4.6270305756479504e-05,0.26278205662965776,0.03702073013409972,2.0900661021471025,0.0068215252249501646,0.4840584397315979,0.4595719277858734,0.5026233196258545,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,98304,1367.5242710144048,1372.1877401916008,5.970028561001527,0.15993532900029095,102,0,0,102,0.0,0.0,1.0,-0.00220575476414524,0.16219513695687054,0.042990329163149,2.068156835436821,0.006114357975457096,0.48102372884750366,0.4553719162940979,0.5011934041976929,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,106496,1371.5052753808181,1465.7168490834852,5.58907404600177,0.17136402300093323,0,0,0,0,0.0,0.0,0.0,-0.0002772652544081211,0.09247269555926323,0.03266435172408819,2.052452617883682,0.006873071219888516,0.47892817854881287,0.4520031213760376,0.5002502202987671,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,114688,1372.9485866799812,1430.2759576501792,5.727566037996439,0.15379631699761376,4,0,0,4,0.0,0.0,1.0,-0.0019619541126303375,0.16274652108550072,0.038486350094899535,2.034540244936943,0.00982529875691398,0.47560617327690125,0.4439105689525604,0.4959581196308136,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,122880,1370.8554727829285,1377.132936319964,5.948590570995293,0.1515813430014532,11,0,0,11,0.0,0.0,1.0,-0.001822756859473884,0.17220541257411243,0.04570154743269086,2.0223601549863814,0.007596672023646533,0.4753742218017578,0.4433988928794861,0.49707692861557007,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,131072,1371.1561986238275,1418.8136045629149,5.773838066997996,0.17778022999846144,5,0,0,5,0.0,0.0,1.0,-0.0010353171499446034,0.19495720248669385,0.047045293543487784,2.007525663077831,0.008582344927708619,0.4705922603607178,0.4387398958206177,0.49229004979133606,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,139264,1371.2312847352814,1407.6032659867235,5.819821676996071,0.14471070600120584,6,0,0,6,0.0,0.0,1.0,0.0004585421731462702,0.234407626837492,0.04347198912873864,1.976430857181549,0.00595158691285178,0.46577081084251404,0.43366557359695435,0.48823443055152893,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,147456,1371.9205291281767,1420.7147466957858,5.766111753997393,0.15047750999656273,102,0,0,102,0.0,0.0,1.0,-0.0020978945307433606,0.1381337040103972,0.042933525238186124,1.9457555994391442,0.00989932939846767,0.4613860547542572,0.4270959794521332,0.483657568693161,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,155648,1375.7964320809615,1491.875476890436,5.491074910001771,0.1571682849971694,0,0,0,0,0.0,0.0,0.0,-0.004707880177011248,0.06701228804886342,0.027507288521155714,1.924380749464035,0.009463859551760833,0.45908984541893005,0.42220646142959595,0.48324769735336304,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,163840,1374.4517076113805,1387.6626553216322,5.903452088001359,0.16444563899858622,5,0,0,5,0.0,0.0,1.0,-0.0011294791271211579,0.10615466684103012,0.03965768325142562,1.9065515726804734,0.007363094725587871,0.4566919505596161,0.4189700484275818,0.481625497341156,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
