phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,3047424,372,0,0,-1.0000,0.0000,1.5000,0.0000,0.5455,-0.0577,0.5204,-0.0098,0,0,0,0,0.0218,-0.0023,0.0327,4.4530,-3.8630
offline_val,3047424,372,0,1,180.9921,4.9923,1.5000,0.0000,1.0000,-0.1773,-0.2752,0.9970,0,0,0,0,0.0400,-0.0071,-0.0173,4.9870,-2.6735
offline_val,3047424,372,0,2,156.6756,4.4534,1.5000,0.0000,1.0000,-0.0861,-0.0056,0.9970,0,0,0,0,0.0400,-0.0034,-0.0004,4.4929,-1.4956
offline_val,3047424,372,0,3,22.2335,3.0242,1.5000,0.0000,1.0000,0.0746,0.4753,0.9970,0,0,0,0,0.0400,0.0030,0.0299,3.0022,2.1263
offline_val,3047424,372,0,4,-1.0000,0.0000,1.5000,0.0000,0.3701,-0.0527,0.4521,-0.0025,0,0,0,0,0.0148,-0.0021,0.0284,4.3627,3.9526
offline_val,3047424,372,0,5,218.7297,3.2911,1.5000,0.0000,0.8077,-0.1929,-0.2068,0.9970,0,0,0,0,0.0323,-0.0077,-0.0130,3.2889,-2.6818
offline_val,3047424,372,0,6,0.6753,4.0056,1.5000,0.0000,0.5643,-0.0576,0.5278,0.9970,0,0,0,0,0.0226,-0.0023,0.0332,3.9152,3.4695
offline_val,3047424,372,0,7,109.6118,3.5392,1.5000,0.0000,1.0000,-0.0812,0.0385,0.9970,0,0,0,0,0.0400,-0.0032,0.0024,3.5790,0.0686
offline_val,3047424,372,0,8,24.0469,4.1348,1.5000,0.0000,1.0000,0.0097,0.4526,0.9970,0,0,0,0,0.0400,0.0004,0.0284,4.0956,2.8414
offline_val,3047424,372,0,9,92.8304,6.4714,1.5000,0.0000,1.0000,-0.0487,0.0710,0.9970,0,0,0,0,0.0400,-0.0019,0.0045,6.5072,0.9563
