update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef,mdp_update,mdp_loss,mdp_dyn,mdp_contrast,mdp_idm,mdp_var,mdp_cov,mdp_reward,mdp_done,mdp_value,mdp_retrieval1,mdp_eff_rank
1,8192,1382.1765191144736,1426.7780583263132,5.741607779986225,0.18512873401050456,0,0,0,0,0.0,0.0,0.0,0.24916365881217645,0.1396230198442936,0.36441251868382096,2.1999681681394576,5.806798107824579,0.5074211955070496,0.506378710269928,0.5089349150657654,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16384,1399.499721576258,1451.3318322137507,5.644470697996439,0.13222511499770917,0,0,0,0,0.0,0.0,0.0,0.0015659507131204008,0.1422734553925693,0.10291639072820544,2.2182313591241836,0.021385047504736576,0.5058455467224121,0.504473090171814,0.5075268149375916,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24576,1327.0725646036624,1225.7918189228144,6.68302714501624,0.12580689202877693,15,0,15,0,0.0,1.0,0.0,0.01606351774535142,0.6757104676216841,0.10642072018235922,2.2166722029447556,0.06086604904703563,0.5078312158584595,0.5036330819129944,0.5158208012580872,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32768,1321.7270699168796,1337.496159515448,6.124877399997786,0.14486239801044576,7,0,7,0,0.0,1.0,0.0,0.0006148209504317492,0.27613378781825304,0.06679637604393066,2.2164288491010664,0.017372523572703358,0.5049633979797363,0.4971301257610321,0.5182286500930786,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40960,1314.0344722806597,1313.2577419933284,6.237922486994648,0.13809116100310348,11,0,11,0,0.0,1.0,0.0,-0.0024309394822921602,0.3567855469882488,0.0512683192268014,2.2022567957639696,0.012528423397452571,0.5035133361816406,0.49480822682380676,0.5203098058700562,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,49152,1318.8173957797649,1374.0311177099932,5.9620192690053955,0.1334020420035813,97,0,9,89,0.0,0.09278350515463918,0.9175257731958762,-0.0019082844868535177,0.2993205487728119,0.059807393699884415,2.1909792721271515,0.014496757453889586,0.5016188025474548,0.4881576597690582,0.5210795402526855,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,57344,1326.6749671708683,1419.978915619173,5.76909974499722,0.18143918400164694,1,0,1,0,0.0,1.0,0.0,-0.0021724001446273176,0.09704277315177023,0.04781143618747592,2.1689593702554704,0.0075425040093250574,0.49603208899497986,0.47939348220825195,0.517461359500885,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,65536,1337.596684483321,1465.9403302811966,5.588221997022629,0.17943350301356986,1,0,0,1,0.0,0.0,1.0,7.564418483525514e-05,0.09678301764652134,0.04331389828585088,2.146049454808235,0.009239659056765959,0.4943189024925232,0.47534045577049255,0.517918050289154,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,73728,1332.6860728254064,1329.844066869461,6.160120726999594,0.16367722698487341,12,0,0,12,0.0,0.0,1.0,0.000777545032906346,0.1888985274359584,0.04747065445408225,2.1338759660720825,0.009081247608264675,0.4916842579841614,0.47087326645851135,0.516459584236145,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,81920,1335.1527586885702,1392.0924998577182,5.8846664290176705,0.14558230602415279,7,0,0,7,0.0,0.0,1.0,0.00041736320708878337,0.2028927646577358,0.046560965944081545,2.1157100439071654,0.009529240505071358,0.4893268048763275,0.46628788113594055,0.5127542614936829,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,90112,1330.3145777026448,1315.1263482940983,6.229059292003512,0.14874750102171674,14,0,0,14,0.0,0.0,1.0,-0.0020588504034094513,0.23343219924718142,0.03885424467734992,2.107251399755478,0.006682288536831038,0.48825937509536743,0.4587104618549347,0.5160985589027405,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,98304,1332.7783144821099,1401.6321637323254,5.844614736997755,0.17365362599957734,94,1,0,93,0.010638297872340425,0.0,0.9893617021276596,0.0005352135107386857,0.24226428046822548,0.039601832954213025,2.1024687439203262,0.0062314156646607445,0.4882280230522156,0.45559340715408325,0.5172545909881592,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,106496,1340.1344797947413,1473.7985024014204,5.558426058007171,0.14646438299678266,1,0,0,1,0.0,0.0,1.0,-0.0029259131755679847,0.07226740885525942,0.030803876626305283,2.097579503059387,0.007250235959509155,0.4867295026779175,0.450728178024292,0.5167914032936096,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,114688,1345.240628395393,1454.6319519403207,5.631665102002444,0.15348686301149428,2,0,0,2,0.0,0.0,1.0,-0.0006029069190844893,0.12960252529010177,0.039661137666553256,2.0848818361759185,0.010102809782983968,0.48438772559165955,0.4482819437980652,0.5127438306808472,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,122880,1343.842842356342,1357.316513689375,6.035438246995909,0.14623353999922983,10,0,0,10,0.0,0.0,1.0,-0.0007420245499815791,0.09929127721115946,0.04566311631351709,2.064398980140686,0.0074470673673204145,0.48038730025291443,0.44172656536102295,0.5099536776542664,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,131072,1344.8153245902633,1397.9893930188812,5.8598441740032285,0.16257006701198407,8,0,0,8,0.0,0.0,1.0,-0.0007094137312378734,0.0955709415487945,0.04989110198803246,2.0409044951200483,0.01269927266475861,0.4771868586540222,0.43873247504234314,0.5029018521308899,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,139264,1337.1877291839462,1257.44266915999,6.514809939981205,0.16455614200094715,15,0,0,15,0.0,0.0,1.0,-0.0053513047227170315,0.07482042885385454,0.04984201639890671,2.0261042594909666,0.007650009815552039,0.4756179749965668,0.43633899092674255,0.4986717402935028,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,147456,1340.2179125578434,1433.1785515207912,5.715966089017456,0.15742402299656533,93,1,0,92,0.010752688172043012,0.0,0.989247311827957,-0.0009798281855182723,0.07752315090037883,0.04433550899848342,2.0129376709461213,0.008763950863067294,0.47276759147644043,0.4355640411376953,0.4925425052642822,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,155648,1344.4101076048246,1463.354368455596,5.598097205016529,0.14196182700106874,1,0,0,1,0.0,0.0,1.0,-0.0035379063367145134,0.06470064045861364,0.03376017338596284,1.9953114435076713,0.01947419269417878,0.46953198313713074,0.43304988741874695,0.49086907505989075,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,163840,1347.3868036303131,1443.0480867729111,5.676872500014724,0.1442865389981307,3,0,0,3,0.0,0.0,1.0,-0.004905996093293652,0.062187653174623846,0.0401197824627161,1.9709245592355729,0.014817413329001283,0.4655354917049408,0.42665424942970276,0.4895833730697632,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,172032,1346.6333778134556,1380.2063116349339,5.935344543016981,0.20987323598819785,8,0,0,8,0.0,0.0,1.0,-0.0005397180328145623,0.05162247410044074,0.04602133445441723,1.948239478468895,0.005250089120818302,0.46278613805770874,0.42448148131370544,0.48622024059295654,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,180224,1343.6609470057767,1319.74798887591,6.207245678000618,0.16844909600331448,9,0,0,9,0.0,0.0,1.0,0.002187040081480518,0.06918662609532475,0.051304040802642704,1.9307854935526847,0.01698985957336845,0.4596599042415619,0.4217105507850647,0.48839691281318665,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,188416,1340.4718326969314,1307.3647080908945,6.2660403400077485,0.16068262001499534,16,0,0,16,0.0,0.0,1.0,-0.0005714291823096573,0.06513209841214121,0.04849497782997787,1.9097761690616608,0.011351019907306182,0.456917405128479,0.42127883434295654,0.48362842202186584,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,196608,1342.465470996139,1424.6433878279477,5.750210944010178,0.14007338901865296,92,0,0,92,0.0,0.0,1.0,-0.0051481201662682,0.021618820016738028,0.04169841767288744,1.8877555459737778,0.00847941955216811,0.4527242183685303,0.416049987077713,0.4806627929210663,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,204800,1345.5383727950666,1461.823829190967,5.603958449995844,0.1460538959945552,0,0,0,0,0.0,0.0,0.0,-0.003238386026350781,0.004345625848509371,0.033664429723285136,1.8664872959256171,0.011015273949305992,0.45053502917289734,0.41441670060157776,0.4779103100299835,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,212992,1345.9861144717258,1394.501068631316,5.874502490012674,0.1577567240165081,4,0,0,4,0.0,0.0,1.0,0.00348613639944233,0.017821636551525445,0.045786923030391335,1.8498230904340744,0.010393550499429693,0.4474366307258606,0.41391780972480774,0.47391006350517273,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,221184,1342.8994182440508,1302.1530736737,6.2911190440063365,0.16971971400198527,8,0,0,8,0.0,0.0,1.0,0.0006038432038621977,0.018124138098210098,0.046851488575339315,1.832548087835312,0.007644682549289428,0.4456961154937744,0.4130246639251709,0.4735400974750519,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,229376,1342.9738146390428,1376.6151795296835,5.950827886990737,0.13601086402195506,9,0,0,9,0.0,0.0,1.0,0.0013742265000473708,0.07196750664152204,0.04439456798136234,1.8176581665873528,0.008313161591649987,0.44286012649536133,0.40905576944351196,0.4725218415260315,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,237568,1341.2740487194533,1334.623000132392,6.138062957994407,0.18217220599763095,15,0,0,15,0.0,0.0,1.0,-0.000983470378560014,0.056842873059213164,0.04512071595527232,1.800672098994255,0.015395807936874917,0.4406912326812744,0.40796875953674316,0.47147613763809204,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,245760,1342.7719369153376,1430.1344911994474,5.7281325990043115,0.1719078980095219,92,0,0,92,0.0,0.0,1.0,-0.0025094683864153922,0.02388206091709435,0.04022778943181038,1.7875104814767837,0.009974269496888155,0.4393731951713562,0.4061577022075653,0.4734368920326233,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,253952,1345.7968429193893,1489.680517796708,5.499165695015108,0.17174135299865156,0,0,0,0,0.0,0.0,0.0,-0.004485475912224502,0.030645378027111293,0.0367195057682693,1.7791038125753402,0.007131442462559789,0.43803438544273376,0.4070630371570587,0.47367382049560547,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,262144,1346.1787956687433,1400.2873754081752,5.850227706017904,0.1714337710000109,6,0,0,6,0.0,0.0,1.0,0.0001181620784336701,0.012414480815641582,0.04818625380285084,1.7654558420181274,0.017170628352323546,0.4353664815425873,0.4072280526161194,0.47080978751182556,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,270336,1346.5184222654113,1397.7890346706365,5.860684120998485,0.17047369800275192,6,0,0,6,0.0,0.0,1.0,0.0030260366678703577,0.011321216716896742,0.046886589191854,1.751532283425331,0.020686381955601973,0.43421101570129395,0.4067784547805786,0.47441214323043823,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,278528,1346.0896335173884,1378.0664883058469,5.944560781004839,0.19476493302499875,10,0,0,10,0.0,0.0,1.0,0.0020153196615865453,0.014515173051040619,0.04210562794469297,1.7438691318035127,0.020634333538328064,0.43314826488494873,0.40695512294769287,0.47368577122688293,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,286720,1344.5076592102607,1330.3252036716153,6.1578928050003015,0.16554758002166636,15,0,0,15,0.0,0.0,1.0,0.0011588300578296185,0.019946833420544863,0.03509010106790811,1.7295967146754265,0.011461241144570523,0.42978906631469727,0.4046913981437683,0.4717126786708832,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,294912,1344.5741660898782,1384.0405518312302,5.918901717988774,0.15991508500883356,91,0,0,91,0.0,0.0,1.0,-0.0021351827803300694,0.009245597949484364,0.0354267371352762,1.7083836570382118,0.012527236225287198,0.427256315946579,0.4039762616157532,0.46724334359169006,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,303104,1346.0104140634023,1437.614679738323,5.698328011989361,0.1506873719918076,0,0,0,0,0.0,0.0,0.0,-0.0037059796159155667,0.040422764723189175,0.03730577216483653,1.7005126744508743,0.007365694270629319,0.42796486616134644,0.4056711196899414,0.46762293577194214,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
