phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,8159232,996,0,0,55.8267,2.7392,1.5000,0.0000,1.0000,0.0249,0.0187,0.9970,0,0,0,0,0.0400,0.0010,0.0012,2.7779,1.1570
offline_val,8159232,996,0,1,109.5443,6.3993,1.5000,0.0000,1.0000,0.1506,0.0479,0.9970,0,0,0,0,0.0400,0.0060,0.0030,6.4389,0.1430
offline_val,8159232,996,0,2,190.4173,3.3783,1.5000,0.0000,1.0000,0.0990,-0.6419,0.9970,0,0,0,0,0.0400,0.0040,-0.0403,3.3355,-2.1154
offline_val,8159232,996,0,3,108.0154,5.4618,1.5000,0.0000,1.0000,0.1088,-0.1076,0.9970,0,0,0,0,0.0400,0.0044,-0.0068,5.5027,0.1305
offline_val,8159232,996,0,4,55.6022,5.4306,1.5000,0.0000,1.0000,0.2473,0.2924,0.9970,0,0,0,0,0.0400,0.0099,0.0184,5.4275,2.4038
offline_val,8159232,996,0,5,59.2257,2.2344,1.5000,0.0000,1.0000,0.1201,-0.1140,0.9970,0,0,0,0,0.0400,0.0048,-0.0072,2.2807,0.8722
offline_val,8159232,996,0,6,176.6667,5.7907,1.5000,0.0000,1.0000,0.1238,-0.4999,0.9970,0,0,0,0,0.0400,0.0050,-0.0314,5.7397,-2.9810
offline_val,8159232,996,0,7,105.9277,6.3041,1.5000,0.0000,1.0000,0.1395,0.0063,0.9970,0,0,0,0,0.0400,0.0056,0.0004,6.3440,0.2949
offline_val,8159232,996,0,8,-1.0000,0.0000,1.5000,0.0000,1.0000,-0.1368,0.6984,-0.0440,0,0,0,0,0.0400,-0.0055,0.0439,4.2966,3.9548
offline_val,8159232,996,0,9,133.7110,2.9963,1.5000,0.0000,1.0000,0.0735,-0.3167,0.9970,0,0,0,0,0.0400,0.0029,-0.0199,3.0260,-0.5439
offline_val,8159232,996,0,10,198.8015,5.2575,1.5000,0.0000,1.0000,0.1306,-0.4758,0.9970,0,0,0,0,0.0400,0.0052,-0.0299,5.1929,-3.5694
offline_val,8159232,996,0,11,23.4125,4.6818,1.5000,0.0000,1.0000,0.1996,0.5663,0.9970,0,0,0,0,0.0400,0.0080,0.0356,4.6083,3.2798
offline_val,8159232,996,0,12,29.7219,2.9636,1.5000,0.0000,1.0000,0.1309,0.2382,0.9970,0,0,0,0,0.0400,0.0052,0.0150,2.9759,1.8762
offline_val,8159232,996,0,13,87.7871,4.1846,1.5000,0.0000,1.0000,0.1161,0.0252,0.9970,0,0,0,0,0.0400,0.0046,0.0016,4.2233,0.7703
offline_val,8159232,996,0,14,43.0081,5.4782,1.5000,0.0000,1.0000,0.2590,0.3438,0.9970,0,0,0,0,0.0400,0.0104,0.0216,5.4558,2.9596
offline_val,8159232,996,0,15,75.1077,4.5160,1.5000,0.0000,1.0000,0.1038,-0.0115,0.9970,0,0,0,0,0.0400,0.0042,-0.0007,4.5569,1.2491
offline_val,8159232,996,0,16,77.1699,4.1881,1.5000,0.0000,1.0000,0.1179,0.0479,0.9970,0,0,0,0,0.0400,0.0047,0.0030,4.2248,1.1102
offline_val,8159232,996,0,17,159.6208,5.5967,1.5000,0.0000,1.0000,0.1242,-0.3071,0.9970,0,0,0,0,0.0400,0.0050,-0.0193,5.5971,-2.0994
offline_val,8159232,996,0,18,16.2758,5.3997,1.5000,0.0000,1.0000,0.2366,0.3994,0.9970,0,0,0,0,0.0400,0.0095,0.0251,5.3408,4.0162
offline_val,8159232,996,0,19,18.6231,3.7512,1.5000,0.0000,1.0000,0.1751,0.5073,0.9970,0,0,0,0,0.0400,0.0070,0.0319,3.7056,2.7494
offline_val,8159232,996,0,20,175.7611,3.9566,1.5000,0.0000,1.0000,0.1149,-0.4382,0.9970,0,0,0,0,0.0400,0.0046,-0.0275,3.9430,-1.9936
offline_val,8159232,996,0,21,92.9873,2.2050,1.5000,0.0000,1.0000,0.1228,-0.6013,0.9970,0,0,0,0,0.0400,0.0049,-0.0378,2.2553,0.2355
offline_val,8159232,996,0,22,107.1781,2.5213,1.5000,0.0000,1.0000,0.1393,-0.2633,0.9970,0,0,0,0,0.0400,0.0056,-0.0165,2.5625,0.0549
offline_val,8159232,996,0,23,104.6341,5.3085,1.5000,0.0000,1.0000,0.1243,-0.0716,0.9970,0,0,0,0,0.0400,0.0050,-0.0045,5.3498,0.2740
offline_val,8159232,996,0,24,11.9210,3.7830,1.5000,0.0000,1.0000,0.1553,0.5283,0.9970,0,0,0,0,0.0400,0.0062,0.0332,3.7268,2.9667
offline_val,8159232,996,0,25,125.4709,3.3103,1.5000,0.0000,1.0000,0.1374,-0.1440,0.9970,0,0,0,0,0.0400,0.0055,-0.0090,3.3472,-0.3585
offline_val,8159232,996,0,26,102.6153,2.7928,1.5000,0.0000,1.0000,0.0399,-0.3333,0.9970,0,0,0,0,0.0400,0.0016,-0.0209,2.8363,0.1394
offline_val,8159232,996,0,27,147.6105,2.6552,1.5000,0.0000,1.0000,0.0812,-0.4483,0.9970,0,0,0,0,0.0400,0.0032,-0.0282,2.6742,-0.7796
offline_val,8159232,996,0,28,75.0870,6.4589,1.5000,0.0000,1.0000,0.1945,0.1457,0.9970,0,0,0,0,0.0400,0.0078,0.0092,6.4822,1.8530
