update,stage,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,clip_frac,grad_norm,a_mag_mean,stop_frac,zone_frac,raw_std_mean,raw_std_min,raw_std_max,std_mean,std_min,std_max,teacher_coef
1,1,8192,137.9235900922838,1515.111945063627,5.406861206982285,53.59621851099655,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015377470631165124,0.8461325727403164,0.0003662109375,0.0308837890625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,1,16384,138.2025775013455,1491.4853586930244,5.492511175019899,53.27755485699163,4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018076458484529212,0.6206277390010655,0.0009765625,0.26904296875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3,1,24576,138.10880764448774,1425.5708790636768,5.7464697969844565,53.2641080970061,10,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019557243010694947,0.4751821649260819,0.0013427734375,0.5706787109375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,1,32768,138.02623375370908,1406.3359507671785,5.825066190998768,53.24711442901753,10,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016577869752836705,0.4973082165233791,0.0015869140625,0.6278076171875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5,1,40960,137.9820716911272,1416.6767074115264,5.782547251001233,53.27711690301658,16,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127311820867817,0.5017278408631682,0.002197265625,0.5909423828125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
6,1,49152,138.4115398170338,1450.5324678747404,5.647581272001844,52.230614871979924,89,10,0,79,0.11235955056179775,0.0,0.8876404494382022,0.0,0.0,0.0,0.0,0.0,0.0,0.014648260178319106,0.5449423850513995,0.0015869140625,0.5260009765625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
7,1,57344,138.45649654977154,1585.3363552105257,5.167357686004834,53.49835536401952,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.011201090506574474,0.7081503914669156,0.0003662109375,0.2227783203125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8,1,65536,138.3179022909077,1429.3337292600058,5.73134169599507,53.522372353996616,9,5,0,4,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.008821803360888225,0.5559986298903823,0.000732421875,0.429931640625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,1,73728,138.224945216439,1397.5114676388903,5.861848141998053,53.33617924299324,18,10,0,8,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.01076294021868307,0.4988456633873284,0.0015869140625,0.574462890625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
10,1,81920,138.14737706061362,1418.5556336998163,5.7748880659928545,53.43722750098095,14,7,0,7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01083804401287125,0.5250454288907349,0.0010986328125,0.5670166015625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
11,1,90112,138.05655121710583,1346.506155934482,6.083893463015556,53.22458427201491,22,12,0,10,0.5454545454545454,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.009038513152290761,0.5210412694141269,0.0018310546875,0.5638427734375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
12,1,98304,138.1714574986177,1404.1990665959959,5.833930669003166,52.5257361199765,70,6,0,64,0.08571428571428572,0.0,0.9142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.010988850559670027,0.5723160179331899,0.0009765625,0.470703125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
13,1,106496,138.13864737265524,1447.6917532816428,5.658663165988401,53.426566884998465,9,6,0,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008188414906271646,0.6181146558374166,0.001220703125,0.34423828125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
14,1,114688,138.0986099783563,1411.9533843189674,5.801891259994591,53.355380496999715,14,9,0,5,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.008506260227022722,0.532489309553057,0.001220703125,0.469482421875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
15,1,122880,138.0631646184357,1380.2859361415365,5.935002151003573,53.22712525099632,22,10,0,12,0.45454545454545453,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.008763659201349583,0.5170727749355137,0.00146484375,0.52880859375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
16,1,131072,138.04360264531456,1392.134260105839,5.8844899050018284,53.19858512398787,24,14,0,10,0.5833333333333334,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.010375152450933456,0.5381849226541817,0.0018310546875,0.528564453125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
17,1,139264,137.97529524147328,1334.304511996087,6.139528066007188,53.30925531600951,19,7,0,12,0.3684210526315789,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0073782603842573735,0.5653510056436062,0.001220703125,0.4901123046875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
18,1,147456,137.9993404534719,1377.1496125738568,5.948518538003555,52.85064537299331,52,10,0,42,0.19230769230769232,0.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.00934124470450115,0.6056983945891261,0.0013427734375,0.4287109375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
19,1,155648,137.97257132668088,1393.5409147225039,5.87855004001176,53.315907168987906,16,7,0,9,0.4375,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.008878698956323205,0.6110282531008124,0.0009765625,0.3858642578125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
20,1,163840,137.9352678350843,1397.4140861889919,5.862256635999074,53.44599514402216,19,9,0,10,0.47368421052631576,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.009354060472333003,0.5402293778024614,0.001708984375,0.497314453125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
21,1,172032,137.8687526576502,1334.812373878972,6.137192132999189,53.43488481201348,21,9,0,12,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.009111911678473916,0.5207950789481401,0.00146484375,0.5223388671875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
22,1,180224,137.83379693461455,1361.0215460720992,6.019008313014638,53.34433257000637,23,8,0,15,0.34782608695652173,0.0,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.00853524523017768,0.5387731017544866,0.002197265625,0.51708984375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
23,1,188416,137.7803738304823,1310.2976017744277,6.252014800993493,53.325663724011974,19,7,0,12,0.3684210526315789,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.00841041893795591,0.5440024100244045,0.001220703125,0.509521484375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
24,1,196608,137.74676426162168,1261.7915339139422,6.492356130009284,52.9265940579935,50,9,0,41,0.18,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.009774418142114882,0.6089340755715966,0.001708984375,0.40771484375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
25,1,204800,137.73008855293378,1378.0513413730907,5.944626120995963,53.31996723701013,19,9,0,10,0.47368421052631576,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.00693825388316327,0.6106289094313979,0.0010986328125,0.3621826171875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
