update,stage,step,spr_loss,eff_rank,z_std,pred_cos,identity_gap,target_sim
1,1,8192,0.0034893098453210314,15.469636917114258,0.5212761759757996,0.911115825176239,0.3177817463874817,0.8676006197929382
2,1,16384,0.0007816484221478959,15.417566299438477,0.2880113422870636,0.9571993350982666,0.39210617542266846,0.872880220413208
3,1,24576,0.0007691028420282464,12.993263244628906,0.35606682300567627,0.9585036039352417,0.582973837852478,0.7774747610092163
4,1,32768,0.0007417739016091218,15.500663757324219,0.39646878838539124,0.9629587531089783,0.6112492680549622,0.7925025820732117
5,1,40960,0.0005891213254329841,15.763093948364258,0.37713688611984253,0.9791101217269897,0.6049161851406097,0.8392663598060608
6,1,49152,0.0007002962203301877,15.95064926147461,0.5064650774002075,0.9710688591003418,0.5381543338298798,0.8106568455696106
7,1,57344,0.0005852319123249572,21.61890983581543,0.5799765586853027,0.961730420589447,0.4772087335586548,0.8562754392623901
8,1,65536,0.0002844378803885661,16.133464813232422,0.38808655738830566,0.9809049963951111,0.5844124555587769,0.8973684310913086
9,1,73728,0.00036115566808803123,16.502620697021484,0.34582769870758057,0.9867120981216431,0.6657328903675079,0.8022354245185852
10,1,81920,0.00043999418741691443,18.223220825195312,0.40359917283058167,0.9831684827804565,0.6481789350509644,0.8351746797561646
11,1,90112,0.0003506527730792186,17.656564712524414,0.40137815475463867,0.9801630973815918,0.7742138355970383,0.8689343929290771
12,1,98304,0.0005142137297724503,18.356891632080078,0.3820914328098297,0.9729573130607605,0.7923588901758194,0.7987609505653381
13,1,106496,0.00030612415956454697,21.387550354003906,0.41102585196495056,0.9796721935272217,0.9210674948990345,0.8793808817863464
14,1,114688,0.00030502824749589763,18.356279373168945,0.3703586161136627,0.9810851812362671,0.9679894540458918,0.8527200222015381
15,1,122880,0.0003277685559623933,17.397066116333008,0.39954665303230286,0.9802336692810059,0.8886732086539268,0.867721676826477
16,1,131072,0.00043773804230795577,19.268030166625977,0.40203166007995605,0.983043909072876,0.8918642699718475,0.872719407081604
17,1,139264,0.0002866456954819796,20.812116622924805,0.4009234309196472,0.9818071722984314,0.9503283724188805,0.853243350982666
18,1,147456,0.0003621119667371886,18.77298355102539,0.3389696478843689,0.9860610961914062,1.0306751057505608,0.8398138284683228
19,1,155648,0.0003233540776861332,19.50391387939453,0.4038841724395752,0.9787079095840454,1.0731508433818817,0.849218487739563
20,1,163840,0.00032261024588819964,18.99512481689453,0.41214489936828613,0.9814624786376953,1.0299365147948265,0.8445519208908081
21,1,172032,0.00029706212559688083,17.27487564086914,0.3597792387008667,0.9800989627838135,0.9827902279794216,0.8563613891601562
22,1,180224,0.0002804935388098784,17.150484085083008,0.3650708794593811,0.982784628868103,0.942277580499649,0.8229349255561829
23,1,188416,0.00025950729360602054,17.703208923339844,0.35135215520858765,0.986947774887085,1.0416245833039284,0.8492472767829895
24,1,196608,0.00035483595706864435,17.870529174804688,0.33673012256622314,0.983203649520874,1.0706819221377373,0.8383290767669678
25,1,204800,0.00020708536878544237,19.76938819885254,0.3875868618488312,0.9894888997077942,1.2479517757892609,0.8904407024383545
26,1,212992,0.00038081731894124005,18.6715145111084,0.33514344692230225,0.9832682609558105,1.1640079617500305,0.8332129716873169
27,1,221184,0.00034732389792679896,18.893041610717773,0.3337007761001587,0.9792919754981995,0.9125935435295105,0.8295217752456665
28,1,229376,0.00024802187322592317,18.889617919921875,0.3164696991443634,0.9860561490058899,1.098194770514965,0.8338037133216858
29,1,237568,0.00016079872203533796,19.060115814208984,0.3428572416305542,0.9903415441513062,1.089480347931385,0.8602807521820068
30,1,245760,0.00023699528019704985,20.101720809936523,0.3777642846107483,0.9875339269638062,1.058360606431961,0.8696473240852356
31,1,253952,0.00014909500684723298,19.046306610107422,0.33347466588020325,0.9916479587554932,1.175963655114174,0.8673949241638184
32,1,262144,0.00017854468164557602,16.686086654663086,0.32085639238357544,0.9917079210281372,1.1181601136922836,0.8662304282188416
33,1,270336,0.0001688028867405933,19.204172134399414,0.35124337673187256,0.9914975166320801,1.245349407196045,0.8839638233184814
34,1,278528,0.00022601609443029247,19.716964721679688,0.372528612613678,0.9868873953819275,1.1471184194087982,0.8937375545501709
35,1,286720,0.00023357662023926196,19.102657318115234,0.3561016321182251,0.9890718460083008,1.030768446624279,0.8552889823913574
36,1,294912,0.0001654474030523545,18.52437400817871,0.3715793192386627,0.991536557674408,1.214973196387291,0.8755578994750977
37,1,303104,0.00017055936099552582,17.90755844116211,0.38130444288253784,0.9902313947677612,1.2119432985782623,0.8706796169281006
38,1,311296,0.0001677737962353376,17.550731658935547,0.3428938388824463,0.9919595718383789,1.1785699427127838,0.873621940612793
39,1,319488,0.00017742754054950183,18.58030128479004,0.3791266679763794,0.9867680072784424,1.2619169354438782,0.8761178255081177
40,1,327680,0.0002077601531880191,17.92487144470215,0.36093926429748535,0.9835885167121887,1.1923855990171432,0.8384625911712646
41,1,335872,0.00014423162018317726,19.282400131225586,0.3371647000312805,0.9927961826324463,1.30110764503479,0.8683159351348877
42,1,344064,0.00020451810425470285,21.522249221801758,0.43777284026145935,0.9882686138153076,1.3017875850200653,0.8810021877288818
43,1,352256,0.00022625674264276086,20.233646392822266,0.3720238208770752,0.9867235422134399,1.3394996225833893,0.8755822777748108
44,1,360448,0.00023579947115592859,18.960113525390625,0.3574425280094147,0.9875078797340393,1.3447591066360474,0.8043363690376282
45,1,368640,0.0002259399937045714,20.231586456298828,0.3266224265098572,0.9790598154067993,1.2808248400688171,0.8339915871620178
46,1,376832,0.00023761161271096398,19.489290237426758,0.3200015723705292,0.9881897568702698,1.4462136030197144,0.8832713961601257
47,1,385024,0.00015197775826436555,19.692304611206055,0.34275639057159424,0.9877169132232666,1.3791195750236511,0.8831726908683777
48,1,393216,0.0001756710580878007,18.72631072998047,0.3496192693710327,0.988144040107727,1.3466036319732666,0.8636898994445801
49,1,401408,0.00016269226318854635,18.566600799560547,0.31974029541015625,0.99001145362854,1.3016676008701324,0.8391510248184204
50,1,409600,0.0001307102887224687,18.331775665283203,0.34103530645370483,0.9896480441093445,1.297743797302246,0.8633724451065063
51,1,417792,0.00013961046434474156,17.978565216064453,0.3389717936515808,0.9894009232521057,1.3028856217861176,0.8787260055541992
52,1,425984,0.00012937917053790216,17.421293258666992,0.3329034447669983,0.9928901195526123,1.350824624300003,0.8840140700340271
53,1,434176,0.00016052673072408652,17.129745483398438,0.31988948583602905,0.9916998147964478,1.3013042211532593,0.8215200901031494
54,1,442368,0.00016139106224954958,19.426952362060547,0.3302115201950073,0.9874542951583862,1.2659539878368378,0.8333694934844971
55,1,450560,0.00013900874773398186,17.30284881591797,0.34195417165756226,0.9938158392906189,1.3452123999595642,0.8677838444709778
56,1,458752,0.00013622499854548664,18.811473846435547,0.37121760845184326,0.9901683926582336,1.3445554971694946,0.8609342575073242
57,1,466944,0.0001488090228640715,19.362577438354492,0.3685450255870819,0.9906444549560547,1.2492552697658539,0.895110011100769
58,1,475136,0.00012769784622790326,17.332988739013672,0.3506775498390198,0.9934029579162598,1.2231551110744476,0.888572096824646
59,1,483328,0.00015612843418466582,17.30902862548828,0.3558349609375,0.9934372901916504,1.1618828028440475,0.8575605154037476
60,1,491520,0.00012198270510310749,17.86078453063965,0.33471959829330444,0.9927313327789307,1.3554691076278687,0.8878629803657532
61,1,499712,0.0001258499515337519,20.051441192626953,0.35674798488616943,0.9930438995361328,1.346269965171814,0.9019873142242432
62,1,507904,0.00010367837489155818,19.3007755279541,0.3314191401004791,0.9941394925117493,1.4388108551502228,0.896699070930481
63,1,516096,0.00010792430069272996,19.451627731323242,0.3522956967353821,0.9915181398391724,1.2584036588668823,0.8959046602249146
64,1,524288,0.00014430808858989508,18.250713348388672,0.2914539873600006,0.993618369102478,1.2938061952590942,0.8689479827880859
65,1,532480,0.0001156645748672247,18.526914596557617,0.32588836550712585,0.993942379951477,1.1276917159557343,0.8648308515548706
66,1,540672,8.854384257261927e-05,19.141408920288086,0.3540104329586029,0.9949978590011597,1.2862975895404816,0.9114817380905151
67,1,548864,0.00011379609689399217,18.411691665649414,0.36015188694000244,0.9948174953460693,1.3374869227409363,0.9100046753883362
68,1,557056,0.00011253776651543035,18.916675567626953,0.33116841316223145,0.9935934543609619,1.3138591647148132,0.8649675846099854
69,1,565248,0.00010699709648775979,18.546239852905273,0.3309371769428253,0.9922128319740295,1.2385121881961823,0.8379411697387695
70,1,573440,0.00011846825685424278,17.8149471282959,0.2936636805534363,0.9941456317901611,1.3163102269172668,0.8486298322677612
71,1,581632,0.00011197998274425913,18.09356689453125,0.31442928314208984,0.9937608242034912,1.205848440527916,0.8651221990585327
72,1,589824,0.00010223158862743276,17.846120834350586,0.3226924538612366,0.9922860860824585,1.3125234842300415,0.8731108903884888
73,1,598016,9.329862736251471e-05,16.791475296020508,0.32146134972572327,0.995669960975647,1.3968676924705505,0.8401695489883423
74,1,606208,8.21734280975761e-05,18.643144607543945,0.32763174176216125,0.9941046237945557,1.2924880683422089,0.8857686519622803
75,1,614400,0.0001123602663248846,17.481565475463867,0.3072439432144165,0.9945312142372131,1.3704927861690521,0.8908878564834595
76,1,622592,7.940796639971381e-05,18.031280517578125,0.32090041041374207,0.9961155652999878,1.3216400146484375,0.864639163017273
77,1,630784,8.00399346267966e-05,19.241004943847656,0.32513463497161865,0.9953014850616455,1.3019234240055084,0.8809341788291931
78,1,638976,8.612904781202246e-05,18.808565139770508,0.3481023907661438,0.9948033094406128,1.310557782649994,0.9020240306854248
79,1,647168,0.00011290640121330853,18.441335678100586,0.32539013028144836,0.9952296018600464,1.3317641615867615,0.8961625099182129
80,1,655360,0.00010469689103587143,18.65908432006836,0.33109939098358154,0.9926365613937378,1.279449224472046,0.8814467191696167
81,1,663552,9.863802930709653e-05,18.55381202697754,0.3179470896720886,0.991527259349823,1.3337178528308868,0.8869801759719849
82,1,671744,9.700856492855792e-05,19.086965560913086,0.3350118398666382,0.9950762987136841,1.320178508758545,0.8807168006896973
83,1,679936,9.274207202736306e-05,19.44445037841797,0.3385339379310608,0.9939884543418884,1.3044402599334717,0.8565355539321899
84,1,688128,6.497834849739093e-05,16.984699249267578,0.3214123547077179,0.9962742328643799,1.475327581167221,0.9098126888275146
85,1,696320,8.893622669248202e-05,18.63735008239746,0.31878727674484253,0.9948269128799438,1.3885189592838287,0.887628436088562
86,1,704512,0.00011940769935492312,17.294784545898438,0.32074928283691406,0.9951610565185547,1.3538115620613098,0.8844795227050781
87,1,712704,9.487207602276726e-05,17.431554794311523,0.3062928020954132,0.9954590797424316,1.3527844548225403,0.905997633934021
