phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,3358720,410,0,0,107.7610,3.9903,1.5000,0.0000,1.0000,-0.0210,0.1291,0.9970,0,0,0,0,0.0400,-0.0008,0.0081,4.0291,0.1583
offline_val,3358720,410,0,1,117.3615,5.3914,1.5000,0.0000,1.0000,-0.0908,0.0278,0.9970,0,0,0,0,0.0400,-0.0036,0.0017,5.4318,-0.2108
offline_val,3358720,410,0,2,158.6700,3.5745,1.5000,0.0000,1.0000,-0.1838,-0.2482,0.9970,0,0,0,0,0.0400,-0.0074,-0.0156,3.5946,-1.3128
offline_val,3358720,410,0,3,68.3248,2.7692,1.5000,0.0000,1.0000,0.1687,0.4768,0.9970,0,0,0,0,0.0400,0.0067,0.0300,2.7808,0.9954
offline_val,3358720,410,0,4,-1.0000,0.0000,1.5000,0.0000,0.8883,0.1452,0.4025,-0.0365,0,0,0,0,0.0355,0.0058,0.0253,2.8556,2.5359
offline_val,3358720,410,0,5,95.1784,3.4834,1.5000,0.0000,1.0000,0.1282,0.4192,0.9970,0,0,0,0,0.0400,0.0051,0.0263,3.5106,0.5357
offline_val,3358720,410,0,6,192.5609,2.7148,1.5000,0.0000,0.0374,-0.1234,-0.2790,0.9970,0,0,0,0,0.0015,-0.0049,-0.0175,2.6872,-1.6908
offline_val,3358720,410,0,7,43.9129,3.5468,1.5000,0.0000,1.0000,0.1869,0.5690,0.9970,0,0,0,0,0.0400,0.0075,0.0357,3.5199,1.9423
offline_val,3358720,410,0,8,-1.0000,0.0000,1.5000,0.0000,-0.0571,0.1709,0.2668,0.0010,0,0,0,0,-0.0023,0.0068,0.0168,3.6998,3.6246
offline_val,3358720,410,0,9,26.0873,4.5053,1.5000,0.0000,1.0000,0.1846,0.6196,0.9970,0,0,0,0,0.0400,0.0074,0.0389,4.4290,3.0804
offline_val,3358720,410,0,10,92.7813,5.6201,1.5000,0.0000,1.0000,0.1073,0.4284,0.9970,0,0,0,0,0.0400,0.0043,0.0269,5.6362,0.9645
offline_val,3358720,410,0,11,166.3436,5.4556,1.5000,0.0000,1.0000,-0.1881,-0.1937,0.9970,0,0,0,0,0.0400,-0.0075,-0.0122,5.4682,-2.2950
offline_val,3358720,410,0,12,52.9765,2.6137,1.5000,0.0000,1.0000,0.1799,0.5181,0.9970,0,0,0,0,0.0400,0.0072,0.0326,2.6147,1.2474
offline_val,3358720,410,0,13,76.0661,2.0203,1.5000,0.0000,0.6591,0.1517,0.4154,0.9970,0,0,0,0,0.0264,0.0061,0.0261,2.0318,0.6025
offline_val,3358720,410,0,14,-1.0000,0.0000,1.5000,0.0000,-0.0577,0.1267,0.2071,0.0011,0,0,0,0,-0.0023,0.0051,0.0130,3.3549,-3.3204
offline_val,3358720,410,0,15,134.7502,4.3218,1.5000,0.0000,1.0000,-0.1449,-0.1285,0.9970,0,0,0,0,0.0400,-0.0058,-0.0081,4.3557,-0.7773
offline_val,3358720,410,0,16,-1.0000,0.0000,1.5000,0.0000,-0.1841,0.0624,0.2485,0.0006,0,0,0,0,-0.0074,0.0025,0.0156,2.1346,1.9905
offline_val,3358720,410,0,17,136.0586,4.5387,1.5000,0.0000,1.0000,-0.1728,-0.1674,0.9970,0,0,0,0,0.0400,-0.0069,-0.0105,4.5698,-0.8727
offline_val,3358720,410,0,18,73.4820,3.1883,1.5000,0.0000,1.0000,0.1555,0.4791,0.9970,0,0,0,0,0.0400,0.0062,0.0301,3.1992,1.0218
offline_val,3358720,410,0,19,93.3111,4.5020,1.5000,0.0000,1.0000,0.0793,0.3641,0.9970,0,0,0,0,0.0400,0.0032,0.0229,4.5264,0.7364
offline_val,3358720,410,0,20,89.8246,2.9557,1.5000,0.0000,1.0000,0.1615,0.4895,0.9970,0,0,0,0,0.0400,0.0065,0.0308,2.9792,0.5882
offline_val,3358720,410,0,21,164.1373,3.1789,1.5000,0.0000,0.6205,-0.1804,-0.3227,0.9970,0,0,0,0,0.0248,-0.0072,-0.0203,3.1779,-1.3131
offline_val,3358720,410,0,22,-1.0000,0.0000,1.5000,0.0000,0.2065,0.0102,-0.0451,-0.0017,0,0,0,0,0.0083,0.0004,-0.0028,4.3700,-3.7798
offline_val,3358720,410,0,23,71.3103,2.5849,1.5000,0.0000,1.0000,0.1758,0.5047,0.9970,0,0,0,0,0.0400,0.0070,0.0317,2.5986,0.8766
offline_val,3358720,410,0,24,108.1427,4.5652,1.5000,0.0000,1.0000,-0.0150,0.1307,0.9970,0,0,0,0,0.0400,-0.0006,0.0082,4.6039,0.1688
offline_val,3358720,410,0,25,34.7312,2.6791,1.5000,0.0000,1.0000,0.1581,0.4485,0.9970,0,0,0,0,0.0400,0.0063,0.0282,2.6743,1.6321
offline_val,3358720,410,0,26,-1.0000,0.0000,1.5000,0.0000,-0.1151,0.1591,0.2795,0.0009,0,0,0,0,-0.0046,0.0064,0.0176,3.3453,3.0206
offline_val,3358720,410,0,27,-1.0000,0.0000,1.5000,0.0000,-0.0874,0.1073,0.2390,0.0014,0,0,0,0,-0.0035,0.0043,0.0150,3.0844,-2.7727
offline_val,3358720,410,0,28,-1.0000,0.0000,1.5000,0.0000,0.5398,-0.1152,-0.2003,-0.0132,0,0,0,0,0.0216,-0.0046,-0.0126,3.7916,-3.2982
offline_val,3358720,410,0,29,28.2985,3.1305,1.5000,0.0000,1.0000,0.1611,0.4695,0.9970,0,0,0,0,0.0400,0.0064,0.0295,3.1113,2.0611
offline_val,3358720,410,0,30,88.8865,3.4270,1.5000,0.0000,1.0000,0.1316,0.4567,0.9970,0,0,0,0,0.0400,0.0053,0.0287,3.4485,0.6968
offline_val,3358720,410,0,31,73.0150,2.0742,1.5000,0.0000,0.7515,0.1644,0.4328,0.9970,0,0,0,0,0.0301,0.0066,0.0272,2.0870,0.6686
offline_val,3358720,410,0,32,-1.0000,0.0000,1.5000,0.0000,-0.0965,0.1261,0.2100,0.0008,0,0,0,0,-0.0039,0.0050,0.0132,4.7453,4.4501
offline_val,3358720,410,0,33,134.9407,4.6159,1.5000,0.0000,1.0000,-0.1734,-0.1754,0.9970,0,0,0,0,0.0400,-0.0069,-0.0110,4.6469,-0.8511
offline_val,3358720,410,0,34,35.0122,4.8043,1.5000,0.0000,1.0000,0.1827,0.6011,0.9970,0,0,0,0,0.0400,0.0073,0.0378,4.7363,2.9578
offline_val,3358720,410,0,35,142.7110,3.9007,1.5000,0.0000,1.0000,-0.1793,-0.2615,0.9970,0,0,0,0,0.0400,-0.0072,-0.0164,3.9254,-0.9686
offline_val,3358720,410,0,36,114.5763,6.4424,1.5000,0.0000,1.0000,-0.0917,0.0239,0.9970,0,0,0,0,0.0400,-0.0037,0.0015,6.4826,-0.1183
offline_val,3358720,410,0,37,107.2536,6.6233,1.5000,0.0000,1.0000,-0.0781,0.0736,0.9970,0,0,0,0,0.0400,-0.0031,0.0046,6.6621,0.2630
offline_val,3358720,410,0,38,45.6407,1.9032,1.5000,0.0000,0.7202,0.1619,0.4046,0.9970,0,0,0,0,0.0288,0.0065,0.0254,1.9074,1.0008
offline_val,3358720,410,0,39,202.5027,5.6453,1.5000,0.0000,1.0000,-0.2524,-0.2606,0.9970,0,0,0,0,0.0400,-0.0101,-0.0164,5.6219,-3.9298
offline_val,3358720,410,0,40,115.1927,3.5947,1.5000,0.0000,1.0000,-0.0995,-0.0374,0.9970,0,0,0,0,0.0400,-0.0040,-0.0023,3.6345,-0.0984
offline_val,3358720,410,0,41,109.2996,4.8565,1.5000,0.0000,1.0000,-0.0623,0.0917,0.9970,0,0,0,0,0.0400,-0.0025,0.0058,4.8958,0.1237
offline_val,3358720,410,0,42,121.6139,5.9528,1.5000,0.0000,1.0000,-0.0878,0.0110,0.9970,0,0,0,0,0.0400,-0.0035,0.0007,5.9931,-0.4281
offline_val,3358720,410,0,43,98.6047,6.3342,1.5000,0.0000,1.0000,-0.0305,0.1431,0.9970,0,0,0,0,0.0400,-0.0012,0.0090,6.3682,0.6914
offline_val,3358720,410,0,44,81.1323,2.4018,1.5000,0.0000,0.9495,0.1471,0.4468,0.9970,0,0,0,0,0.0380,0.0059,0.0281,2.4233,0.6285
offline_val,3358720,410,0,45,124.5359,2.6017,1.5000,0.0000,1.0000,-0.0891,-0.0618,0.9970,0,0,0,0,0.0400,-0.0036,-0.0039,2.6408,-0.2580
offline_val,3358720,410,0,46,163.0133,4.0321,1.5000,0.0000,1.0000,-0.1748,-0.3227,0.9970,0,0,0,0,0.0400,-0.0070,-0.0203,4.0401,-1.6295
offline_val,3358720,410,0,47,76.9052,5.0861,1.5000,0.0000,1.0000,0.1304,0.4587,0.9970,0,0,0,0,0.0400,0.0052,0.0288,5.0854,1.4885
offline_val,3358720,410,0,48,165.9728,2.1994,1.5000,0.0000,0.0954,-0.1512,-0.2879,0.9970,0,0,0,0,0.0038,-0.0060,-0.0181,2.1868,-0.9351
offline_val,3358720,410,0,49,108.7168,2.3759,1.5000,0.0000,0.9552,-0.0168,0.0444,0.9970,0,0,0,0,0.0382,-0.0007,0.0028,2.4140,0.0644
offline_val,3358720,410,0,50,110.7841,4.5058,1.5000,0.0000,1.0000,-0.0519,0.0784,0.9970,0,0,0,0,0.0400,-0.0021,0.0049,4.5456,0.0612
offline_val,3358720,410,0,51,-1.0000,0.0000,1.5000,0.0000,-0.0481,0.1769,0.2967,0.0013,0,0,0,0,-0.0019,0.0071,0.0186,5.0578,-4.5761
offline_val,3358720,410,0,52,93.8259,5.4642,1.5000,0.0000,1.0000,0.0834,0.3631,0.9970,0,0,0,0,0.0400,0.0033,0.0228,5.4858,0.8718
offline_val,3358720,410,0,53,191.5142,4.3173,1.5000,0.0000,0.7352,-0.1868,-0.3865,0.9970,0,0,0,0,0.0294,-0.0075,-0.0243,4.2830,-2.6835
offline_val,3358720,410,0,54,136.3851,5.4540,1.5000,0.0000,1.0000,-0.1981,-0.1836,0.9970,0,0,0,0,0.0400,-0.0079,-0.0115,5.4822,-1.0672
offline_val,3358720,410,0,55,44.5991,4.0046,1.5000,0.0000,1.0000,0.1812,0.5274,0.9970,0,0,0,0,0.0400,0.0072,0.0331,3.9754,2.1610
offline_val,3358720,410,0,56,179.6805,3.8546,1.5000,0.0000,0.9777,-0.1605,-0.3345,0.9970,0,0,0,0,0.0391,-0.0064,-0.0210,3.8518,-2.0415
offline_val,3358720,410,0,57,162.1180,5.6906,1.5000,0.0000,1.0000,-0.1892,-0.2277,0.9970,0,0,0,0,0.0400,-0.0076,-0.0143,5.6995,-2.2255
offline_val,3358720,410,0,58,93.5248,6.0824,1.5000,0.0000,1.0000,0.0544,0.3217,0.9970,0,0,0,0,0.0400,0.0022,0.0202,6.1041,0.9668
offline_val,3358720,410,0,59,49.3193,2.8087,1.5000,0.0000,1.0000,0.1778,0.5323,0.9970,0,0,0,0,0.0400,0.0071,0.0334,2.8030,1.4193
offline_val,3358720,410,0,60,102.5311,3.1113,1.5000,0.0000,1.0000,0.0512,0.2479,0.9970,0,0,0,0,0.0400,0.0020,0.0156,3.1475,0.2712
offline_val,3358720,410,0,61,38.3368,4.0386,1.5000,0.0000,1.0000,0.1378,0.4555,0.9970,0,0,0,0,0.0400,0.0055,0.0286,4.0132,2.3490
offline_val,3358720,410,0,62,161.9742,6.0455,1.5000,0.0000,0.4100,-0.0355,-0.0395,0.9970,0,0,0,0,0.0164,-0.0014,-0.0025,6.0563,-2.2799
offline_val,3358720,410,0,63,179.0113,2.4605,1.5000,0.0000,-0.0043,-0.1307,-0.2776,0.9970,0,0,0,0,-0.0002,-0.0052,-0.0174,2.4384,-1.2832
offline_val,3358720,410,0,64,127.8945,5.9424,1.5000,0.0000,1.0000,-0.1005,-0.0954,0.9970,0,0,0,0,0.0400,-0.0040,-0.0060,5.9780,-0.7472
offline_val,3358720,410,0,65,87.5896,3.6274,1.5000,0.0000,1.0000,0.1614,0.5068,0.9970,0,0,0,0,0.0400,0.0065,0.0318,3.6445,0.7850
offline_val,3358720,410,0,66,159.7116,3.7172,1.5000,0.0000,1.0000,-0.1771,-0.2962,0.9970,0,0,0,0,0.0400,-0.0071,-0.0186,3.7318,-1.4047
offline_val,3358720,410,0,67,83.4526,4.6376,1.5000,0.0000,1.0000,0.1537,0.5231,0.9970,0,0,0,0,0.0400,0.0061,0.0329,4.6425,1.1499
offline_val,3358720,410,0,68,117.7302,4.7712,1.5000,0.0000,1.0000,-0.1040,-0.0456,0.9970,0,0,0,0,0.0400,-0.0042,-0.0029,4.8106,-0.2227
offline_val,3358720,410,0,69,187.6486,3.9352,1.5000,0.0000,0.9975,-0.1687,-0.3602,0.9970,0,0,0,0,0.0399,-0.0067,-0.0226,3.9236,-2.3255
offline_val,3358720,410,0,70,55.0849,3.9270,1.5000,0.0000,1.0000,0.1869,0.5634,0.9970,0,0,0,0,0.0400,0.0075,0.0354,3.9053,1.8199
offline_val,3358720,410,0,71,104.6719,5.2641,1.5000,0.0000,1.0000,-0.0758,0.0592,0.9970,0,0,0,0,0.0400,-0.0030,0.0037,5.3029,0.3055
offline_val,3358720,410,0,72,190.5956,5.0835,1.5000,0.0000,1.0000,-0.1897,-0.3656,0.9970,0,0,0,0,0.0400,-0.0076,-0.0230,5.0534,-3.1169
