update,stage,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,clip_frac,grad_norm,a_mag_mean,stop_frac,zone_frac,raw_std_mean,raw_std_min,raw_std_max,std_mean,std_min,std_max,teacher_coef
1,1,8192,138.11015470059797,1468.185408716132,5.579676757013658,53.343750586005626,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016979239172542293,0.8461325727403164,0.0003662109375,0.0308837890625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,1,16384,138.20657073786103,1449.08016277578,5.653241421998246,53.19198138799402,4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02292780192783539,0.6206277390010655,0.0009765625,0.26904296875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3,1,24576,138.20825772499123,1388.1886381188729,5.901215277990559,52.983594330988126,10,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019795359687122982,0.4751821649260819,0.0013427734375,0.5706787109375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,1,32768,138.3136205638828,1447.9628552351735,5.657603694999125,53.04781672300305,10,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017869191029603826,0.4973082165233791,0.0015869140625,0.6278076171875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5,1,40960,138.10318673487382,1283.8968091701045,6.38057509099599,52.912985850009136,16,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01519782220043453,0.5017278408631682,0.002197265625,0.5909423828125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
6,1,49152,138.51021317567088,1345.752302905928,6.087301491003018,51.79808124000556,89,10,0,79,0.11235955056179775,0.0,0.8876404494382022,0.0,0.0,0.0,0.0,0.0,0.0,0.01857857339655311,0.5449423850513995,0.0015869140625,0.5260009765625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
7,1,57344,138.6147625958715,1546.395388419622,5.2974808780127205,53.14709783799481,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.013727735515658424,0.7081503914669156,0.0003662109375,0.2227783203125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8,1,65536,138.5449822088549,1397.6260552068925,5.8613675449742,53.089117651979905,9,5,0,4,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.00959904584897231,0.5559986298903823,0.000732421875,0.429931640625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,1,73728,138.4623997175348,1334.3468073063607,6.139333458995679,52.92081623399281,18,10,0,8,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.011430092493810662,0.4988456633873284,0.0015869140625,0.574462890625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
10,1,81920,138.43507946754528,1366.8934786690381,5.9931517179938965,52.90066859399667,14,7,0,7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.011104821297976741,0.5250454288907349,0.0010986328125,0.5670166015625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
