update,stage,step,spr_loss,eff_rank,z_std,pred_cos,identity_gap,target_sim
1,1,8192,0.003648601621449643,14.88656997680664,0.48473548889160156,0.909005880355835,0.3278844952583313,0.8732407093048096
2,1,16384,0.0009732628328151804,14.624480247497559,0.3941720128059387,0.9526749849319458,0.47893527150154114,0.8715486526489258
3,1,24576,0.0008861670650048836,14.346349716186523,0.5508773326873779,0.9393751621246338,0.5930976271629333,0.8057922124862671
4,1,32768,0.0007802724374812442,14.699974060058594,0.732617974281311,0.962023138999939,0.6165589690208435,0.8199236392974854
5,1,40960,0.0007524164049073079,14.112502098083496,0.7440900802612305,0.9695405960083008,0.6556628942489624,0.8546903133392334
6,1,49152,0.0011593547187089825,16.226741790771484,0.6675052642822266,0.9528005123138428,0.46296998858451843,0.8287217020988464
7,1,57344,0.0007996542348536195,22.35640525817871,0.9959893226623535,0.9476449489593506,0.41455739736557007,0.8746533989906311
8,1,65536,0.0004390133021274778,15.325479507446289,0.7363393902778625,0.9699530005455017,0.4598161578178406,0.9214932918548584
9,1,73728,0.0005217084127906446,15.389644622802734,0.6418818831443787,0.9851382374763489,0.48006755113601685,0.9237320423126221
10,1,81920,0.0005402335062711927,17.493669509887695,0.6388411521911621,0.9734250903129578,0.4245285391807556,0.8932836055755615
11,1,90112,0.00041283790542934184,17.048686981201172,0.6598609685897827,0.9806939959526062,0.48914051055908203,0.9399998188018799
12,1,98304,0.00039664485744594913,15.736331939697266,0.8069473505020142,0.9834860563278198,0.502112090587616,0.9449560046195984
13,1,106496,0.0003180553410189191,17.26145362854004,1.0511114597320557,0.9827998876571655,0.4887844920158386,0.9391484260559082
14,1,114688,0.0002875639519359652,16.41104507446289,0.7514009475708008,0.9860682487487793,0.5950113236904144,0.9399861097335815
15,1,122880,0.0002891831055791272,18.045394897460938,0.6281310319900513,0.9859950542449951,0.6375361382961273,0.9193902611732483
16,1,131072,0.00028040823313801866,20.511037826538086,0.588310718536377,0.9843748807907104,0.5463545918464661,0.9211492538452148
17,1,139264,0.00017053112990339514,20.36035919189453,0.598493754863739,0.9913691282272339,0.5228235721588135,0.9466222524642944
18,1,147456,0.00021739136140297433,18.533483505249023,0.5133190155029297,0.9920310378074646,0.5994628369808197,0.9442328214645386
19,1,155648,0.00017824602432625625,18.00725555419922,0.5762086510658264,0.9907209873199463,0.5641592741012573,0.9347248673439026
20,1,163840,0.0002157453329090231,18.229572296142578,0.522156834602356,0.9854564666748047,0.772765040397644,0.9093919992446899
21,1,172032,0.00021610173808284117,16.660303115844727,0.5146710276603699,0.9912831783294678,0.7782793641090393,0.9080883264541626
22,1,180224,0.00018595025704470913,18.328754425048828,0.44929784536361694,0.9853858947753906,0.821415588259697,0.8776048421859741
23,1,188416,0.00018251032843608073,17.746034622192383,0.4955875277519226,0.9910643100738525,0.739714503288269,0.910736620426178
24,1,196608,0.0002335346514925618,18.28011131286621,0.4916985332965851,0.9860503673553467,0.6907723546028137,0.8872435688972473
25,1,204800,0.00020966419899082211,20.26171875,0.5784974098205566,0.9882668256759644,0.7206146121025085,0.9267705678939819
26,1,212992,0.0003369057007915899,18.134584426879883,0.5351563692092896,0.9849823713302612,0.734185665845871,0.8902888298034668
27,1,221184,0.0002765318993880328,19.042192459106445,0.5211477279663086,0.9799327850341797,0.6956318020820618,0.8921783566474915
28,1,229376,0.00019501501041929714,19.101877212524414,0.46210336685180664,0.988936185836792,0.7832015603780746,0.8974428176879883
29,1,237568,0.00017495099966424732,19.767440795898438,0.4548485577106476,0.9899100661277771,0.8286823928356171,0.9085156917572021
30,1,245760,0.0002384146304876822,20.509023666381836,0.46204811334609985,0.9889265894889832,0.8824488073587418,0.9000019431114197
31,1,253952,0.00018554666845460588,20.440088272094727,0.42060044407844543,0.9880983829498291,0.9129009544849396,0.8824214935302734
32,1,262144,0.00018723020467348306,18.378889083862305,0.41612160205841064,0.9918295741081238,0.9031399339437485,0.879448413848877
33,1,270336,0.00018457070984112534,20.53468132019043,0.4512397050857544,0.9900218844413757,0.974266279488802,0.9168358445167542
34,1,278528,0.0001951220067510917,20.00577163696289,0.44008007645606995,0.99043208360672,0.9127492904663086,0.9118797183036804
