phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,1310720,160,0,0,118.2403,4.9777,1.5000,0.0000,1.0000,-0.0617,0.0544,0.9970,0,0,0,0,0.0400,-0.0025,0.0034,5.0185,-0.2182
offline_val,1310720,160,0,1,-1.0000,0.0000,1.5000,0.0000,0.2880,0.1022,0.3589,-0.0011,0,0,0,0,0.0115,0.0041,0.0226,3.3395,3.1582
offline_val,1310720,160,0,2,93.5582,2.5025,1.5000,0.0000,1.0000,0.0618,0.2339,0.9970,0,0,0,0,0.0400,0.0025,0.0147,2.5371,0.3850
offline_val,1310720,160,0,3,114.2424,6.3240,1.5000,0.0000,1.0000,-0.0284,0.1439,0.9970,0,0,0,0,0.0400,-0.0011,0.0090,6.3647,-0.0502
offline_val,1310720,160,0,4,97.4357,6.3406,1.5000,0.0000,1.0000,0.0086,0.2333,0.9970,0,0,0,0,0.0400,0.0003,0.0147,6.3698,0.7851
offline_val,1310720,160,0,5,40.5902,6.0549,1.5000,0.0000,1.0000,0.0039,0.2086,0.9970,0,0,0,0,0.0400,0.0002,0.0131,6.0519,3.3186
offline_val,1310720,160,0,6,157.8979,6.1478,1.5000,0.0000,1.0000,-0.0693,0.0162,0.9970,0,0,0,0,0.0400,-0.0028,0.0010,6.1900,-2.1105
offline_val,1310720,160,0,7,202.4093,4.6222,1.5000,0.0000,0.8833,-0.1596,-0.3361,0.9970,0,0,0,0,0.0353,-0.0064,-0.0211,4.5904,-3.2341
offline_val,1310720,160,0,8,199.2680,4.6013,1.5000,0.0000,1.0000,-0.1458,-0.2525,0.9970,0,0,0,0,0.0400,-0.0058,-0.0159,4.5930,-3.0868
offline_val,1310720,160,0,9,85.6426,2.6489,1.5000,0.0000,1.0000,0.1275,0.3375,0.9970,0,0,0,0,0.0400,0.0051,0.0212,2.6772,0.5842
offline_val,1310720,160,0,10,58.5511,5.5633,1.5000,0.0000,1.0000,0.0473,0.3193,0.9970,0,0,0,0,0.0400,0.0019,0.0201,5.5575,2.3408
offline_val,1310720,160,0,11,159.2487,2.1590,1.5000,0.0000,0.6805,-0.1493,-0.2138,0.9970,0,0,0,0,0.0272,-0.0060,-0.0134,2.1757,-0.7991
offline_val,1310720,160,0,12,132.0871,4.1742,1.5000,0.0000,1.0000,-0.1152,-0.1173,0.9970,0,0,0,0,0.0400,-0.0046,-0.0074,4.2094,-0.6635
offline_val,1310720,160,0,13,66.9439,3.6902,1.5000,0.0000,1.0000,0.0988,0.3425,0.9970,0,0,0,0,0.0400,0.0040,0.0215,3.7025,1.3287
offline_val,1310720,160,0,14,43.2162,4.1260,1.5000,0.0000,1.0000,0.1176,0.3966,0.9970,0,0,0,0,0.0400,0.0047,0.0249,4.1117,2.2331
offline_val,1310720,160,0,15,85.5527,2.1227,1.5000,0.0000,0.9532,0.0194,0.2967,0.9970,0,0,0,0,0.0381,0.0008,0.0186,2.1526,0.4609
offline_val,1310720,160,0,16,75.4547,4.5695,1.5000,0.0000,1.0000,0.0208,0.2100,0.9970,0,0,0,0,0.0400,0.0008,0.0132,4.5926,1.3121
offline_val,1310720,160,0,17,-1.0000,0.0000,1.5000,0.0000,0.1605,0.1189,0.4016,0.0020,0,0,0,0,0.0064,0.0048,0.0252,4.2342,-3.9856
offline_val,1310720,160,0,18,-1.0000,0.0000,1.5000,0.0000,0.2977,0.0788,0.2725,-0.0020,0,0,0,0,0.0119,0.0032,0.0171,2.4851,-2.3359
offline_val,1310720,160,0,19,193.0389,5.4971,1.5000,0.0000,1.0000,-0.1486,-0.2283,0.9970,0,0,0,0,0.0400,-0.0059,-0.0143,5.4886,-3.4219
offline_val,1310720,160,0,20,217.2610,1.8009,1.5000,0.0000,-0.0396,-0.0735,-0.1818,0.9970,0,0,0,0,-0.0016,-0.0029,-0.0114,1.7830,-1.4436
offline_val,1310720,160,0,21,41.5639,3.7842,1.5000,0.0000,1.0000,0.0969,0.4193,0.9970,0,0,0,0,0.0400,0.0039,0.0263,3.7703,2.0998
offline_val,1310720,160,0,22,150.2971,5.8358,1.5000,0.0000,1.0000,-0.0939,-0.0434,0.9970,0,0,0,0,0.0400,-0.0038,-0.0027,5.8712,-1.6941
offline_val,1310720,160,0,23,30.7683,5.6475,1.5000,0.0000,1.0000,0.0651,0.3782,0.9970,0,0,0,0,0.0400,0.0026,0.0238,5.6042,3.5728
offline_val,1310720,160,0,24,108.0446,5.2309,1.5000,0.0000,1.0000,-0.0599,0.0708,0.9970,0,0,0,0,0.0400,-0.0024,0.0044,5.2702,0.1759
offline_val,1310720,160,0,25,60.1690,5.7438,1.5000,0.0000,1.0000,0.0910,0.3926,0.9970,0,0,0,0,0.0400,0.0036,0.0247,5.7271,2.3751
offline_val,1310720,160,0,26,132.3680,4.5182,1.5000,0.0000,1.0000,-0.0951,-0.0458,0.9970,0,0,0,0,0.0400,-0.0038,-0.0029,4.5562,-0.7063
