phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,t_ax,t_ay,t_aw,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
train,128,1,0,0,-1.0000,0.0000,1.5000,0.0000,-0.4429,0.2125,0.1656,-0.0845,0.1497,0.3687,-0.0104,0,0,0,0,-0.0177,0.0085,0.0104,2.9455,2.6992
train,256,1,1,0,1.8866,3.0962,1.5000,0.0000,-0.0164,-0.4020,0.6357,-0.0845,0.1497,0.3687,0.9970,0,0,0,0,-0.0182,-0.0076,0.0503,2.9455,2.6992
train,384,1,2,0,9.8242,3.1598,1.5000,0.0000,1.0000,0.1450,0.6638,1.5548,0.1824,0.5570,0.0245,0,0,0,0,0.0215,0.0002,0.0921,2.9455,2.6992
train,512,1,3,0,16.5328,3.2020,1.5000,0.0000,1.0000,0.4441,0.5580,1.5780,0.1833,0.5611,0.0217,0,0,0,0,0.0596,0.0216,0.1271,2.9455,2.6992
train,640,1,4,0,23.3677,3.2483,1.5000,0.0000,1.0000,0.2164,0.6186,1.5932,0.1838,0.5634,0.0217,0,0,0,0,0.0982,0.0352,0.1660,2.9455,2.6992
train,768,1,5,0,27.0742,3.2558,1.5000,0.0000,1.0000,0.3163,0.3584,1.6109,0.1840,0.5654,0.0126,0,0,0,0,0.1356,0.0543,0.1885,2.9455,2.6992
train,896,1,6,0,37.9611,3.3386,1.5000,0.0000,1.0000,0.3401,1.0000,1.6115,0.1836,0.5650,0.0352,0,0,0,0,0.1723,0.0752,0.2513,2.9455,2.6992
train,1024,1,7,0,44.5347,3.3826,1.5000,0.0000,1.0000,-0.3681,0.7474,1.6452,0.1825,0.5653,0.0208,0,0,0,0,0.2147,0.0709,0.2983,2.9455,2.6992
train,1152,1,8,0,46.9641,3.3701,1.5000,0.0000,1.0000,0.3134,0.2615,1.6620,0.1805,0.5625,0.0094,0,0,0,0,0.2493,0.0946,0.3147,2.9455,2.6992
train,1280,1,9,0,51.8508,3.3860,1.5000,0.0000,1.0000,-0.0542,0.5611,1.6520,0.1791,0.5590,0.0168,0,0,0,0,0.2880,0.1049,0.3500,2.9455,2.6992
train,1408,1,10,0,56.2170,3.3903,1.5000,0.0000,1.0000,0.1777,0.4811,1.6543,0.1762,0.5532,0.0159,0,0,0,0,0.3231,0.1253,0.3802,2.9455,2.6992
train,1536,1,11,0,61.6386,3.3954,1.5000,0.0000,1.0000,0.5535,0.5362,1.6504,0.1726,0.5456,0.0206,0,0,0,0,0.3521,0.1607,0.4139,2.9455,2.6992
train,1664,1,12,0,68.9897,3.4192,1.5000,0.0000,1.0000,-0.0484,0.8515,1.6449,0.1668,0.5330,0.0268,0,0,0,0,0.3895,0.1750,0.4674,2.9455,2.6992
train,1792,1,13,0,71.8561,3.4065,1.5000,0.0000,1.0000,-0.2386,0.4071,1.6482,0.1558,0.5093,0.0114,0,0,0,0,0.4295,0.1845,0.4930,2.9455,2.6992
train,1920,1,14,0,77.0341,3.4025,1.5000,0.0000,1.0000,0.1435,0.5993,1.6367,0.1501,0.4960,0.0206,0,0,0,0,0.4620,0.2085,0.5306,2.9455,2.6992
train,2048,1,15,0,83.3004,3.3955,1.5000,0.0000,1.0000,0.5441,0.6568,1.6290,0.1378,0.4676,0.0258,0,0,0,0,0.4855,0.2475,0.5719,2.9455,2.6992
