tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
25,800,770.7,1.038,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29985,800,0
50,1600,1127.3,0.710,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29970,1600,0
75,2400,1172.2,0.682,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29955,2400,0
100,3200,1202.6,0.665,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29940,3200,0
125,4000,280.2,0.667,2.188,0,0.0000,0.0000,0.0000,0.265457,0.190130,-0.17008,-0.17142,0.29925,4000,16
150,4800,25.3,0.662,30.968,0,0.0000,0.0000,0.0000,0.220011,0.063398,-0.13576,-0.13661,0.29910,4800,400
175,5600,25.2,0.648,31.156,0,0.0000,0.0000,0.0000,0.190278,-0.106685,0.02427,0.02479,0.29895,5600,400
200,6400,25.0,0.669,31.304,0,0.0000,0.0000,0.0000,0.177538,-0.213061,0.13281,0.13328,0.29881,6400,400
225,7200,25.0,0.657,31.303,0,0.0000,0.0000,0.0000,0.140744,-0.309019,0.22742,0.22804,0.29866,7200,400
250,8000,25.1,0.678,31.207,0,0.0000,0.0000,0.0000,0.114604,-0.411588,0.33470,0.33523,0.29851,8000,400
275,8800,25.0,0.656,31.317,0,0.0000,0.0000,0.0000,0.091400,-0.462814,0.40158,0.40182,0.29836,8800,400
300,9600,25.2,0.660,31.119,0,0.0000,0.0000,0.0000,0.085284,-0.492269,0.43307,0.43343,0.29821,9600,400
325,10400,25.0,0.668,31.362,0,0.0000,0.0000,0.0000,0.077182,-0.508523,0.45433,0.45454,0.29806,10400,400
350,11200,25.1,0.673,31.225,0,0.0000,0.0000,0.0000,0.072344,-0.509904,0.46153,0.46162,0.29791,11200,400
375,12000,25.2,0.697,30.994,32,0.0000,0.0000,1.0000,0.067226,-0.492034,0.44722,0.44728,0.29776,12000,400
400,12800,24.5,0.667,31.969,0,0.0000,0.0000,0.0000,0.068712,-0.500918,0.44995,0.45015,0.29761,12800,400
425,13600,24.7,0.673,31.660,0,0.0000,0.0000,0.0000,0.064041,-0.523798,0.47684,0.47698,0.29746,13600,400
450,14400,24.6,0.698,31.757,0,0.0000,0.0000,0.0000,0.063968,-0.535310,0.48912,0.48931,0.29731,14400,400
475,15200,24.7,0.676,31.704,0,0.0000,0.0000,0.0000,0.061753,-0.546298,0.50135,0.50163,0.29716,15200,400
500,16000,24.7,0.679,31.674,0,0.0000,0.0000,0.0000,0.061523,-0.546467,0.50390,0.50396,0.29701,16000,400
525,16800,24.7,0.678,31.657,0,0.0000,0.0000,0.0000,0.064268,-0.535710,0.49330,0.49348,0.29686,16800,400
550,17600,25.1,0.695,31.217,0,0.0000,0.0000,0.0000,0.061730,-0.525655,0.48504,0.48534,0.29671,17600,400
575,18400,24.9,0.689,31.428,0,0.0000,0.0000,0.0000,0.051748,-0.513382,0.47494,0.47511,0.29657,18400,400
600,19200,25.0,0.669,31.291,0,0.0000,0.0000,0.0000,0.047993,-0.502785,0.46569,0.46569,0.29642,19200,400
625,20000,25.1,0.684,31.195,0,0.0000,0.0000,0.0000,0.050074,-0.486073,0.44974,0.44985,0.29627,20000,400
650,20800,25.0,0.657,31.334,0,0.0000,0.0000,0.0000,0.045062,-0.478507,0.44492,0.44527,0.29612,20800,400
675,21600,25.2,0.701,31.065,0,0.0000,0.0000,0.0000,0.042175,-0.469912,0.43464,0.43468,0.29597,21600,400
700,22400,25.3,0.676,30.942,0,0.0000,0.0000,0.0000,0.043421,-0.456768,0.42098,0.42098,0.29582,22400,400
725,23200,25.2,0.673,31.024,0,0.0000,0.0000,0.0000,0.048001,-0.439267,0.40534,0.40533,0.29567,23200,400
750,24000,25.6,0.678,30.582,32,0.0000,0.0000,1.0000,0.043946,-0.416139,0.38406,0.38414,0.29552,24000,400
775,24800,24.8,0.687,31.620,0,0.0000,0.0000,0.0000,0.048141,-0.418104,0.38018,0.38023,0.29537,24800,400
800,25600,24.7,0.668,31.666,0,0.0000,0.0000,0.0000,0.046594,-0.433437,0.39701,0.39697,0.29522,25600,400
825,26400,24.7,0.692,31.717,0,0.0000,0.0000,0.0000,0.044724,-0.438204,0.40474,0.40489,0.29507,26400,400
850,27200,24.7,0.653,31.779,0,0.0000,0.0000,0.0000,0.039078,-0.443411,0.40848,0.40844,0.29492,27200,400
875,28000,24.7,0.683,31.763,0,0.0000,0.0000,0.0000,0.042727,-0.433503,0.39971,0.39971,0.29477,28000,400
900,28800,24.7,0.676,31.752,0,0.0000,0.0000,0.0000,0.040359,-0.431556,0.39839,0.39821,0.29462,28800,400
925,29600,24.6,0.688,31.772,0,0.0000,0.0000,0.0000,0.042655,-0.415567,0.38436,0.38449,0.29447,29600,400
950,30400,25.0,0.677,31.332,0,0.0000,0.0000,0.0000,0.042283,-0.401445,0.37143,0.37139,0.29433,30400,400
975,31200,24.8,0.677,31.580,0,0.0000,0.0000,0.0000,0.038980,-0.388035,0.35806,0.35819,0.29418,31200,400
1000,32000,24.5,0.682,31.950,0,0.0000,0.0000,0.0000,0.036086,-0.374486,0.34614,0.34606,0.29403,32000,400
1025,32800,25.0,0.673,31.372,0,0.0000,0.0000,0.0000,0.035160,-0.358704,0.33159,0.33155,0.29388,32800,400
1050,33600,25.6,0.662,30.570,0,0.0000,0.0000,0.0000,0.032396,-0.332502,0.30756,0.30752,0.29373,33600,400
1075,34400,25.5,0.684,30.729,0,0.0000,0.0000,0.0000,0.035619,-0.309400,0.28420,0.28394,0.29358,34400,400
1100,35200,25.4,0.666,30.827,0,0.0000,0.0000,0.0000,0.034047,-0.299830,0.27263,0.27266,0.29343,35200,400
1125,36000,25.3,0.692,30.942,32,0.0000,0.0000,1.0000,0.031750,-0.276921,0.25299,0.25312,0.29328,36000,400
1150,36800,25.6,0.675,30.586,0,0.0000,0.0000,0.0000,0.033340,-0.246720,0.22356,0.22343,0.29313,36800,400
1175,37600,25.4,0.656,30.884,0,0.0000,0.0000,0.0000,0.032208,-0.263245,0.23696,0.23709,0.29298,37600,400
1200,38400,25.6,0.673,30.525,0,0.0000,0.0000,0.0000,0.031707,-0.263531,0.23758,0.23766,0.29283,38400,400
1225,39200,25.4,0.690,30.829,0,0.0000,0.0000,0.0000,0.028864,-0.264000,0.23714,0.23718,0.29268,39200,400
1250,40000,25.6,0.691,30.536,0,0.0000,0.0000,0.0000,0.028615,-0.256575,0.23226,0.23241,0.29253,40000,400
1275,40800,25.3,0.657,30.973,0,0.0000,0.0000,0.0000,0.026006,-0.246418,0.22386,0.22383,0.29238,40800,400
1300,41600,25.5,0.668,30.707,0,0.0000,0.0000,0.0000,0.026516,-0.242393,0.21923,0.21932,0.29223,41600,400
1325,42400,25.4,0.657,30.794,0,0.0000,0.0000,0.0000,0.027897,-0.230006,0.20683,0.20679,0.29209,42400,400
1350,43200,25.3,0.654,30.934,0,0.0000,0.0000,0.0000,0.029498,-0.215691,0.19309,0.19292,0.29194,43200,400
1375,44000,25.5,0.676,30.754,0,0.0000,0.0000,0.0000,0.027859,-0.210424,0.18775,0.18763,0.29179,44000,400
1400,44800,25.5,0.653,30.681,0,0.0000,0.0000,0.0000,0.025700,-0.204158,0.18054,0.18066,0.29164,44800,400
1425,45600,25.3,0.677,30.886,0,0.0000,0.0000,0.0000,0.024941,-0.196620,0.17559,0.17553,0.29149,45600,400
1450,46400,25.4,0.624,30.878,0,0.0000,0.0000,0.0000,0.026454,-0.181095,0.16071,0.16057,0.29134,46400,400
1475,47200,25.5,0.668,30.722,0,0.0000,0.0000,0.0000,0.026202,-0.168044,0.14744,0.14730,0.29119,47200,400
1500,48000,25.4,0.713,30.762,32,0.0000,0.0000,1.0000,0.025563,-0.150963,0.13122,0.13107,0.29104,48000,400
1525,48800,25.4,0.687,30.786,0,0.0000,0.0000,0.0000,0.023941,-0.149631,0.12818,0.12826,0.29089,48800,400
1550,49600,25.4,0.662,30.838,0,0.0000,0.0000,0.0000,0.023783,-0.138742,0.11896,0.11873,0.29074,49600,400
1575,50400,25.4,0.668,30.817,0,0.0000,0.0000,0.0000,0.023304,-0.135183,0.11459,0.11451,0.29059,50400,400
1600,51200,25.6,0.677,30.537,0,0.0000,0.0000,0.0000,0.021889,-0.128258,0.10979,0.10978,0.29044,51200,400
1625,52000,25.3,0.687,30.930,0,0.0000,0.0000,0.0000,0.020230,-0.113091,0.09563,0.09557,0.29029,52000,400
1650,52800,25.5,0.663,30.750,0,0.0000,0.0000,0.0000,0.022588,-0.101892,0.08389,0.08364,0.29014,52800,400
1675,53600,25.3,0.679,30.933,0,0.0000,0.0000,0.0000,0.021657,-0.095670,0.07702,0.07712,0.28999,53600,400
1700,54400,25.4,0.678,30.823,0,0.0000,0.0000,0.0000,0.023686,-0.083826,0.06473,0.06463,0.28985,54400,400
1725,55200,25.5,0.673,30.682,0,0.0000,0.0000,0.0000,0.020854,-0.077068,0.05830,0.05815,0.28970,55200,400
1750,56000,25.4,0.698,30.752,0,0.0000,0.0000,0.0000,0.019771,-0.077050,0.05847,0.05855,0.28955,56000,400
