phase,checkpoint,frame,episode,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,drqv2_01000000.pt,1000000,0,1,0,131.1828,3.2777,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,3.3408,-0.3043
offline_val,drqv2_01000000.pt,1000000,0,1,1,201.8164,5.7236,1.5000,0.0000,-0.8493,-0.9773,-1.0000,0.9970,0,0,0,0,-0.0340,-0.0391,-0.0628,5.4365,-4.2423
offline_val,drqv2_01000000.pt,1000000,0,1,2,108.8293,5.1939,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,5.2159,0.4893
offline_val,drqv2_01000000.pt,1000000,0,1,3,147.9994,5.3575,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,5.4777,-1.1457
offline_val,drqv2_01000000.pt,1000000,0,1,4,24.5430,4.5912,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,4.4333,3.3306
offline_val,drqv2_01000000.pt,1000000,0,1,5,191.2647,3.6889,1.5000,0.0000,1.0000,-1.0000,-1.0000,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,3.5841,-2.4580
offline_val,drqv2_01000000.pt,1000000,0,1,6,12.9064,3.5012,1.5000,0.0000,0.6750,-0.0833,1.0000,0.9970,0,0,0,0,0.0270,-0.0033,0.0628,3.3581,2.8107
offline_val,drqv2_01000000.pt,1000000,0,1,7,-1.0000,0.0000,1.5000,0.0000,-0.2946,0.0565,0.9920,0.0054,0,0,0,0,-0.0118,0.0023,0.0623,1.7688,-1.5721
offline_val,drqv2_01000000.pt,1000000,0,1,8,50.9569,4.1768,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,4.0887,2.2087
offline_val,drqv2_01000000.pt,1000000,0,1,9,181.7167,2.4582,1.5000,0.0000,1.0000,-1.0000,-0.9891,0.9970,0,0,0,0,0.0400,-0.0400,-0.0621,2.4137,-1.4741
offline_val,drqv2_01000000.pt,1000000,0,1,10,195.8206,2.3181,1.5000,0.0000,1.0000,-1.0000,0.1605,0.9970,0,0,0,0,0.0400,-0.0400,0.0101,2.3727,-1.4723
offline_val,drqv2_01000000.pt,1000000,0,1,11,144.9058,4.8571,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,4.9627,-0.9301
offline_val,drqv2_01000000.pt,1000000,0,1,12,201.6595,5.0231,1.5000,0.0000,-0.9945,-0.8321,-1.0000,0.9970,0,0,0,0,-0.0398,-0.0333,-0.0628,4.7615,-3.7161
offline_val,drqv2_01000000.pt,1000000,0,1,13,34.2546,2.2138,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,2.1684,1.4659
offline_val,drqv2_01000000.pt,1000000,0,1,14,148.9780,4.2060,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,4.3109,-0.9388
offline_val,drqv2_01000000.pt,1000000,0,1,15,146.1562,2.0533,1.5000,0.0000,1.0000,-1.0000,0.9978,0.9970,0,0,0,0,0.0400,-0.0400,0.0627,2.1222,-0.4358
offline_val,drqv2_01000000.pt,1000000,0,1,16,155.3390,6.0151,1.5000,0.0000,1.0000,-1.0000,0.9999,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,6.1659,-1.6116
offline_val,drqv2_01000000.pt,1000000,0,1,17,194.4902,3.9512,1.5000,0.0000,1.0000,-1.0000,-1.0000,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,3.8301,-2.7252
offline_val,drqv2_01000000.pt,1000000,0,1,18,-1.0000,0.0000,1.5000,0.0000,0.1959,-0.0568,1.0000,0.0079,0,0,0,0,0.0078,-0.0023,0.0628,4.8586,4.8350
offline_val,drqv2_01000000.pt,1000000,0,1,19,8.8976,4.3269,1.5000,0.0000,0.1427,0.1161,1.0000,0.9970,0,0,0,0,0.0057,0.0046,0.0628,4.1142,3.6120
offline_val,drqv2_01000000.pt,1000000,0,1,20,-1.0000,0.0000,1.5000,0.0000,0.1667,-0.0463,1.0000,0.0085,0,0,0,0,0.0067,-0.0019,0.0628,1.9219,1.9192
offline_val,drqv2_01000000.pt,1000000,0,1,21,-1.0000,0.0000,1.5000,0.0000,-0.5652,-0.0203,0.9844,-0.0061,0,0,0,0,-0.0226,-0.0008,0.0619,1.5656,-1.3577
offline_val,drqv2_01000000.pt,1000000,0,1,22,181.6045,5.9695,1.5000,0.0000,1.0000,-1.0000,0.9994,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,6.1930,-2.7722
offline_val,drqv2_01000000.pt,1000000,0,1,23,30.6946,4.7865,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,4.6340,3.2505
offline_val,drqv2_01000000.pt,1000000,0,1,24,202.0432,3.9057,1.5000,0.0000,1.0000,-1.0000,-1.0000,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,3.7725,-2.9148
offline_val,drqv2_01000000.pt,1000000,0,1,25,139.8828,4.5751,1.5000,0.0000,1.0000,-1.0000,1.0000,0.9970,0,0,0,0,0.0400,-0.0400,0.0628,4.6661,-0.7066
offline_val,drqv2_01000000.pt,1000000,0,1,26,186.1781,6.0405,1.5000,0.0000,1.0000,-1.0000,-1.0000,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,5.8578,-3.7696
