frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
32,1,81.3436,6.2698,1.5000,0.0000,0.5153,-0.1486,0.7346,0.9970,0,0,0,0
64,2,77.3865,6.2591,1.5000,0.0000,-0.6794,-0.7305,-0.3901,-0.0193,0,0,0,0
96,3,76.2318,6.2569,1.5000,0.0000,-0.0386,-0.9873,-0.0358,-0.0079,0,0,0,0
128,4,80.0038,6.3275,1.5000,0.0000,-0.5620,-0.7141,0.4758,0.0050,0,0,0,0
160,5,82.4268,6.3478,1.5000,0.0000,0.2380,-0.4519,0.3228,0.0053,0,0,0,0
192,6,80.9848,6.3401,1.5000,0.0000,-0.2047,0.0841,-0.1759,-0.0085,0,0,0,0
224,7,74.0264,6.2660,1.5000,0.0000,-0.1435,-0.0029,-0.7805,-0.0248,0,0,0,0
256,8,71.6449,6.2494,1.5000,0.0000,-0.3811,0.0509,-0.2764,-0.0116,0,0,0,0
288,9,64.3045,6.1820,1.5000,0.0000,-0.6700,-0.8929,-0.7252,-0.0273,0,0,0,0
320,10,66.7141,6.2181,1.5000,0.0000,-0.2376,0.5628,0.1971,0.0032,0,0,0,0
352,11,61.1419,6.1336,1.5000,0.0000,-0.2404,0.9080,-0.6790,-0.0173,0,0,0,0
384,12,69.0710,6.2714,1.5000,0.0000,-0.5632,-0.2129,0.8413,0.0152,0,0,0,0
416,13,76.9260,6.4004,1.5000,0.0000,-0.6595,-0.3882,0.8789,0.0159,0,0,0,0
448,14,79.7224,6.4170,1.5000,0.0000,0.4471,-0.1571,0.3391,0.0074,0,0,0,0
480,15,82.1760,6.4306,1.5000,0.0000,0.4797,-0.6153,0.3462,0.0063,0,0,0,0
512,16,75.3629,6.3759,1.5000,0.0000,-0.5902,0.0601,-0.7829,-0.0266,0,0,0,0
544,17,70.6532,6.3330,1.5000,0.0000,-0.5536,0.2999,-0.5592,-0.0187,0,0,0,0
576,18,69.6262,6.2850,1.5000,0.0000,0.7201,0.7010,-0.1556,-0.0016,0,0,0,0
608,19,65.8776,6.2333,1.5000,0.0000,-0.1154,0.2970,-0.4334,-0.0133,0,0,0,0
640,20,65.9863,6.2674,1.5000,0.0000,-0.5979,-0.8966,0.0742,-0.0068,0,0,0,0
672,21,64.4080,6.2179,1.5000,0.0000,0.7674,-0.0749,-0.1366,-0.0039,0,0,0,0
704,22,56.0544,6.1239,1.5000,0.0000,-0.7482,-0.7885,-0.8186,-0.0286,0,0,0,0
736,23,61.3309,6.2441,1.5000,0.0000,-0.9060,-0.3451,0.5395,0.0055,0,0,0,0
768,24,67.1617,6.2917,1.5000,0.0000,0.8955,0.5736,0.5954,0.0171,0,0,0,0
800,25,58.2302,6.1183,1.5000,0.0000,0.9073,0.5302,-0.9576,-0.0212,0,0,0,0
832,26,53.1784,6.0376,1.5000,0.0000,0.3250,-0.9185,-0.4175,-0.0155,0,0,0,0
