update,stage,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,clip_frac,grad_norm,a_mag_mean,stop_frac,zone_frac,raw_std_mean,raw_std_min,raw_std_max,std_mean,std_min,std_max,teacher_coef
1,1,8192,138.33766786464344,1472.8829709716622,5.5618811280000955,53.2638937360025,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018661492236788035,0.8461325727403164,0.0003662109375,0.0308837890625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,1,16384,138.36822684615368,1443.7245908166722,5.674212417041417,53.129409360990394,4,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018489769936422817,0.6206277390010655,0.0009765625,0.26904296875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3,1,24576,138.1931932589231,1375.8898514234018,5.953964986023493,53.08838976803236,10,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019591022309214168,0.4751821649260819,0.0013427734375,0.5706787109375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
4,1,32768,138.16650395324345,1400.5562365521514,5.849104652996175,53.08888975199079,10,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01648136539574807,0.4973082165233791,0.0015869140625,0.6278076171875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5,1,40960,137.95900646108706,1295.3152062940776,6.324329368013423,53.02583738300018,16,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014724352024586551,0.5017278408631682,0.002197265625,0.5909423828125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
6,1,49152,138.29073715746708,1337.437471578647,6.125146165024489,52.01283005496953,89,10,0,79,0.11235955056179775,0.0,0.8876404494382022,0.0,0.0,0.0,0.0,0.0,0.0,0.01566661954348092,0.5449423850513995,0.0015869140625,0.5260009765625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
7,1,57344,138.3567440721769,1529.7095492434858,5.355264993966557,53.296854228014126,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.015996812071989552,0.7081503914669156,0.0003662109375,0.2227783203125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8,1,65536,138.15414282494297,1374.5099311455701,5.959942387009505,53.54987721599173,9,5,0,4,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.015523050892625179,0.5559986298903823,0.000732421875,0.429931640625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,1,73728,137.97615149638577,1302.1762723063027,6.291006965970155,53.30616510199616,18,10,0,8,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.012453087809262797,0.4988456633873284,0.0015869140625,0.574462890625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
10,1,81920,137.97212276281567,1405.9627205371453,5.82661252701655,53.17609681095928,14,7,0,7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.013567854691700632,0.5250454288907349,0.0010986328125,0.5670166015625,0.5,0.5,0.5,0.5,0.5,0.5,0.0
11,1,90112,137.86973061393252,1286.7374907885337,6.366488937055692,53.07477473700419,22,12,0,10,0.5454545454545454,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.011967705198003387,0.5210412694141269,0.0018310546875,0.5638427734375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
12,1,98304,137.94653111089184,1300.8143079971314,6.297593706985936,52.33586503600236,70,6,0,64,0.08571428571428572,0.0,0.9142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.012929707584817152,0.5723160179331899,0.0009765625,0.470703125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
13,1,106496,137.91548881660665,1377.1484865086966,5.94852340198122,53.22268712799996,9,6,0,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008980840211506802,0.6181146558374166,0.001220703125,0.34423828125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
14,1,114688,137.8780552631954,1337.2071811828475,6.1262010220089,53.11002651997842,14,9,0,5,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.010372635474368508,0.532489309553057,0.001220703125,0.469482421875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
15,1,122880,137.83791327882548,1303.4517903569297,6.284850778989494,53.00179287203355,22,10,0,12,0.45454545454545453,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.01015210683362966,0.5170727749355137,0.00146484375,0.52880859375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
16,1,131072,137.76520851401025,1252.8032480136317,6.538935792981647,53.0073740449734,24,14,0,10,0.5833333333333334,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.011490379026554365,0.5381849226541817,0.0018310546875,0.528564453125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
17,1,139264,137.69428902322164,1264.451877306926,6.478696538018994,53.1179548149812,19,7,0,12,0.3684210526315789,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.009744216966510066,0.5653510056436062,0.001220703125,0.4901123046875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
18,1,147456,137.69915970807241,1261.811964358434,6.492251009971369,52.57585600600578,52,10,0,42,0.19230769230769232,0.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.010485429650316291,0.6056983945891261,0.0013427734375,0.4287109375,0.5,0.5,0.5,0.5,0.5,0.5,0.0
19,1,155648,137.6762398440506,1332.066277048202,6.149844149011187,53.14262160600629,16,7,0,9,0.4375,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.009205486340533753,0.6110282531008124,0.0009765625,0.3858642578125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
20,1,163840,137.61270026064597,1283.2912235087786,6.38358608703129,53.279858299007174,19,9,0,10,0.47368421052631576,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.010928231464731653,0.5402293778024614,0.001708984375,0.497314453125,0.5,0.5,0.5,0.5,0.5,0.5,0.0
21,1,172032,137.53593525115326,1275.665601817206,6.4217456270125695,53.385291349026375,21,9,0,12,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.009401166164252572,0.5207950789481401,0.00146484375,0.5223388671875,0.5,0.5,0.5,0.5,0.5,0.5,0.0
