update,stage,step,spr_loss,eff_rank,z_std,pred_cos,identity_gap,target_sim
1,1,8192,0.003877531908159426,20.82552146911621,0.4505377411842346,0.8600277900695801,0.18507826328277588,0.835436999797821
2,1,16384,0.0006479632298379556,16.687061309814453,0.2357536256313324,0.954006552696228,0.34767329692840576,0.8281477093696594
3,1,24576,0.000672063818086599,16.650293350219727,0.20209896564483643,0.9504636526107788,0.4753335118293762,0.6893407702445984
4,1,32768,0.0006326835032410827,17.042936325073242,0.2673153877258301,0.9632275104522705,0.4384162425994873,0.7108157873153687
5,1,40960,0.0007402752204939134,18.380216598510742,0.25370460748672485,0.952544629573822,0.42202228307724,0.7442526817321777
6,1,49152,0.0006825469456828159,18.556625366210938,0.2937126159667969,0.966483473777771,0.3893057107925415,0.7362722158432007
7,1,57344,0.000785232382668255,22.046167373657227,0.42699187994003296,0.9534803628921509,0.2834031581878662,0.8296414017677307
8,1,65536,0.0006340797273907128,17.75668716430664,0.3230997920036316,0.976965606212616,0.3783337473869324,0.8749805688858032
9,1,73728,0.0003980563080574484,17.055326461791992,0.30646812915802,0.9832843542098999,0.381960391998291,0.7868065237998962
10,1,81920,0.0005133948516657938,19.730224609375,0.3238842487335205,0.977482795715332,0.4266898036003113,0.8170045614242554
11,1,90112,0.0004036534975568884,20.269994735717773,0.33008378744125366,0.9817588329315186,0.4218224287033081,0.8426922559738159
12,1,98304,0.0005014929822380054,21.061426162719727,0.3129328191280365,0.9775633811950684,0.4554106593132019,0.7944191098213196
13,1,106496,0.00029412279214113823,22.835426330566406,0.34709155559539795,0.9803184270858765,0.469693660736084,0.8928978443145752
14,1,114688,0.0003231587450542861,21.57906150817871,0.2881210446357727,0.9838840365409851,0.46849602460861206,0.8319646120071411
15,1,122880,0.0003258373011050253,20.06739616394043,0.32763510942459106,0.9780457019805908,0.42172735929489136,0.8404569625854492
16,1,131072,0.0004068096681635325,22.369407653808594,0.32358038425445557,0.9846065044403076,0.49235254526138306,0.8582411408424377
17,1,139264,0.0002946230114631021,22.775821685791016,0.34401750564575195,0.9841738939285278,0.5180622041225433,0.8496453166007996
18,1,147456,0.0003308361667535564,21.93109703063965,0.3117775321006775,0.9867280721664429,0.5935959219932556,0.8181625604629517
19,1,155648,0.00029051942279778586,21.876585006713867,0.31115931272506714,0.9848411083221436,0.6015526056289673,0.8302721381187439
