tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
25,800,599.1,1.335,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29985,800,0
50,1600,786.1,1.018,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29970,1600,0
75,2400,813.7,0.983,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29955,2400,0
100,3200,805.0,0.994,0.000,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.00000,0.00000,0.29940,3200,0
125,4000,257.3,1.002,2.107,0,0.0000,0.0000,0.0000,0.353324,0.234171,-0.19338,-0.20599,0.29925,4000,16
150,4800,25.7,0.637,30.532,0,0.0000,0.0000,0.0000,0.244681,0.110610,-0.17906,-0.17984,0.29910,4800,400
175,5600,25.5,0.631,30.718,0,0.0000,0.0000,0.0000,0.205090,-0.115010,0.00614,0.00678,0.29895,5600,400
200,6400,25.4,0.660,30.789,0,0.0000,0.0000,0.0000,0.194545,-0.250355,0.13414,0.13518,0.29881,6400,400
225,7200,25.5,0.630,30.682,0,0.0000,0.0000,0.0000,0.149702,-0.430519,0.32002,0.32060,0.29866,7200,400
250,8000,25.5,0.641,30.704,0,0.0000,0.0000,0.0000,0.116354,-0.567502,0.47077,0.47159,0.29851,8000,400
275,8800,25.5,0.633,30.712,0,0.0000,0.0000,0.0000,0.097246,-0.660412,0.57477,0.57501,0.29836,8800,400
300,9600,25.5,0.638,30.732,0,0.0000,0.0000,0.0000,0.090107,-0.677813,0.61605,0.61629,0.29821,9600,400
325,10400,25.5,0.673,30.727,0,0.0000,0.0000,0.0000,0.072845,-0.687198,0.62418,0.62445,0.29806,10400,400
350,11200,25.7,0.631,30.506,0,0.0000,0.0000,0.0000,0.066514,-0.669544,0.60965,0.60975,0.29791,11200,400
375,12000,25.6,0.667,30.550,32,0.0000,0.0000,1.0000,0.060659,-0.643823,0.58590,0.58596,0.29776,12000,400
400,12800,26.0,0.623,30.191,0,0.0000,0.0000,0.0000,0.058179,-0.657184,0.59749,0.59774,0.29761,12800,400
425,13600,25.7,0.638,30.523,0,0.0000,0.0000,0.0000,0.053077,-0.666408,0.60862,0.60865,0.29746,13600,400
450,14400,26.0,0.635,30.176,0,0.0000,0.0000,0.0000,0.052624,-0.661973,0.61166,0.61197,0.29731,14400,400
475,15200,25.7,0.644,30.531,0,0.0000,0.0000,0.0000,0.049042,-0.660380,0.60692,0.60691,0.29716,15200,400
500,16000,25.6,0.646,30.663,0,0.0000,0.0000,0.0000,0.046882,-0.651756,0.60294,0.60306,0.29701,16000,400
525,16800,25.7,0.646,30.538,0,0.0000,0.0000,0.0000,0.043773,-0.633405,0.58647,0.58661,0.29686,16800,400
550,17600,25.8,0.637,30.360,0,0.0000,0.0000,0.0000,0.040301,-0.606895,0.56358,0.56372,0.29671,17600,400
575,18400,25.7,0.667,30.444,0,0.0000,0.0000,0.0000,0.040809,-0.581483,0.53720,0.53705,0.29657,18400,400
600,19200,25.8,0.636,30.327,0,0.0000,0.0000,0.0000,0.037471,-0.564270,0.52170,0.52182,0.29642,19200,400
625,20000,25.8,0.647,30.414,0,0.0000,0.0000,0.0000,0.035001,-0.544659,0.50407,0.50421,0.29627,20000,400
650,20800,25.7,0.646,30.533,0,0.0000,0.0000,0.0000,0.034938,-0.527922,0.48942,0.48965,0.29612,20800,400
675,21600,25.8,0.655,30.346,0,0.0000,0.0000,0.0000,0.032181,-0.511366,0.47283,0.47273,0.29597,21600,400
700,22400,25.8,0.650,30.373,0,0.0000,0.0000,0.0000,0.052387,-0.502034,0.46004,0.46015,0.29582,22400,400
725,23200,25.7,0.643,30.452,0,0.0000,0.0000,0.0000,0.074161,-0.454588,0.41176,0.41112,0.29567,23200,400
750,24000,25.9,0.656,30.288,32,0.0000,0.0000,1.0000,0.083015,-0.407586,0.35692,0.35692,0.29552,24000,400
775,24800,25.6,0.645,30.627,0,0.0000,0.0000,0.0000,0.074035,-0.408507,0.34953,0.34925,0.29537,24800,400
800,25600,25.5,0.659,30.655,0,0.0000,0.0000,0.0000,0.067559,-0.412052,0.35737,0.35789,0.29522,25600,400
825,26400,25.6,0.686,30.580,0,0.0000,0.0000,0.0000,0.071992,-0.424885,0.36990,0.37011,0.29507,26400,400
850,27200,25.8,0.634,30.412,0,0.0000,0.0000,0.0000,0.062516,-0.434005,0.38052,0.38062,0.29492,27200,400
875,28000,25.6,0.638,30.622,0,0.0000,0.0000,0.0000,0.065952,-0.436483,0.38347,0.38384,0.29477,28000,400
900,28800,25.9,0.654,30.255,0,0.0000,0.0000,0.0000,0.060801,-0.423943,0.37470,0.37493,0.29462,28800,400
925,29600,25.7,0.643,30.440,0,0.0000,0.0000,0.0000,0.060505,-0.431977,0.38239,0.38233,0.29447,29600,400
950,30400,25.6,0.658,30.564,0,0.0000,0.0000,0.0000,0.062121,-0.420808,0.37504,0.37508,0.29433,30400,400
975,31200,25.6,0.654,30.602,0,0.0000,0.0000,0.0000,0.083999,-0.370772,0.32842,0.32806,0.29418,31200,400
1000,32000,25.7,0.671,30.488,1,0.0000,1.0000,0.0000,0.105410,-0.338050,0.29007,0.28933,0.29403,32000,400
1025,32800,25.5,0.659,30.666,0,0.0000,0.0000,0.0000,0.096515,-0.324603,0.27418,0.27377,0.29388,32800,400
1050,33600,25.5,0.661,30.698,0,0.0000,0.0000,0.0000,0.079658,-0.323354,0.27309,0.27310,0.29373,33600,400
1075,34400,25.5,0.672,30.707,0,0.0000,0.0000,0.0000,0.077617,-0.312720,0.26216,0.26195,0.29358,34400,400
1100,35200,25.5,0.645,30.685,0,0.0000,0.0000,0.0000,0.079412,-0.299416,0.25276,0.25258,0.29343,35200,400
1125,36000,25.4,0.817,30.703,31,0.0000,0.0000,1.0000,0.075131,-0.296303,0.24717,0.24708,0.29328,36000,400
1150,36800,25.5,0.646,30.697,0,0.0000,0.0000,0.0000,0.071130,-0.298901,0.25216,0.25212,0.29313,36800,400
1175,37600,25.5,0.654,30.729,0,0.0000,0.0000,0.0000,0.072663,-0.299391,0.25359,0.25351,0.29298,37600,400
1200,38400,25.5,0.666,30.766,0,0.0000,0.0000,0.0000,0.070944,-0.299991,0.25201,0.25177,0.29283,38400,400
1225,39200,25.5,0.658,30.726,0,0.0000,0.0000,0.0000,0.071282,-0.300474,0.25105,0.25131,0.29268,39200,400
1250,40000,25.5,0.635,30.715,0,0.0000,0.0000,0.0000,0.064329,-0.305909,0.26200,0.26202,0.29253,40000,400
1275,40800,25.5,0.673,30.737,0,0.0000,0.0000,0.0000,0.073949,-0.302785,0.25750,0.25728,0.29238,40800,400
1300,41600,25.5,0.673,30.728,0,0.0000,0.0000,0.0000,0.075794,-0.283057,0.24020,0.23991,0.29223,41600,400
1325,42400,25.5,0.659,30.736,0,0.0000,0.0000,0.0000,0.077413,-0.267134,0.22295,0.22260,0.29209,42400,400
1350,43200,25.5,0.668,30.747,0,0.0000,0.0000,0.0000,0.074010,-0.255814,0.21106,0.21065,0.29194,43200,400
1375,44000,25.4,0.703,30.755,1,0.0000,0.0000,1.0000,0.074245,-0.240144,0.19563,0.19547,0.29179,44000,400
1400,44800,25.5,0.674,30.741,0,0.0000,0.0000,0.0000,0.070961,-0.239299,0.19529,0.19495,0.29164,44800,400
1425,45600,25.5,0.695,30.736,0,0.0000,0.0000,0.0000,0.068225,-0.228056,0.18682,0.18663,0.29149,45600,400
1450,46400,25.5,0.669,30.689,1,0.0000,1.0000,0.0000,0.071401,-0.206326,0.16528,0.16504,0.29134,46400,400
1475,47200,25.4,0.697,30.748,0,0.0000,0.0000,0.0000,0.067547,-0.203063,0.16115,0.16099,0.29119,47200,400
1500,48000,25.3,0.889,30.735,30,0.0000,0.0000,1.0000,0.072260,-0.204137,0.16193,0.16171,0.29104,48000,400
1525,48800,25.5,0.653,30.742,0,0.0000,0.0000,0.0000,0.080894,-0.192917,0.15256,0.15204,0.29089,48800,400
1550,49600,25.5,0.656,30.714,0,0.0000,0.0000,0.0000,0.069070,-0.179249,0.14001,0.14011,0.29074,49600,400
1575,50400,25.5,0.664,30.710,0,0.0000,0.0000,0.0000,0.067759,-0.175744,0.13535,0.13494,0.29059,50400,400
1600,51200,25.5,0.663,30.693,0,0.0000,0.0000,0.0000,0.062157,-0.179483,0.13667,0.13658,0.29044,51200,400
1625,52000,25.5,0.661,30.694,0,0.0000,0.0000,0.0000,0.060605,-0.182022,0.13943,0.13957,0.29029,52000,400
1650,52800,25.5,0.653,30.706,0,0.0000,0.0000,0.0000,0.057627,-0.189164,0.14853,0.14845,0.29014,52800,400
1675,53600,25.5,0.664,30.700,0,0.0000,0.0000,0.0000,0.058498,-0.193690,0.15419,0.15407,0.28999,53600,400
1700,54400,25.5,0.653,30.676,0,0.0000,0.0000,0.0000,0.054959,-0.188666,0.15090,0.15099,0.28985,54400,400
1725,55200,25.5,0.680,30.707,0,0.0000,0.0000,0.0000,0.053202,-0.182897,0.14504,0.14506,0.28970,55200,400
1750,56000,25.5,0.676,30.671,1,0.0000,0.0000,1.0000,0.054196,-0.178485,0.14003,0.13999,0.28955,56000,400
1775,56800,25.5,0.662,30.715,0,0.0000,0.0000,0.0000,0.051450,-0.177719,0.13842,0.13823,0.28940,56800,400
1800,57600,25.5,0.669,30.707,0,0.0000,0.0000,0.0000,0.052025,-0.176214,0.13909,0.13920,0.28925,57600,400
1825,58400,25.5,0.672,30.713,1,0.0000,0.0000,1.0000,0.059026,-0.170611,0.13297,0.13283,0.28910,58400,400
1850,59200,25.5,0.667,30.686,0,0.0000,0.0000,0.0000,0.051699,-0.163565,0.12650,0.12648,0.28895,59200,400
1875,60000,25.5,0.691,30.664,30,0.0000,0.0000,1.0000,0.048584,-0.154810,0.11871,0.11870,0.28880,60000,400
1900,60800,25.5,0.671,30.729,0,0.0000,0.0000,0.0000,0.049255,-0.157320,0.11981,0.11948,0.28865,60800,400
1925,61600,25.5,0.675,30.729,0,0.0000,0.0000,0.0000,0.055618,-0.153886,0.11663,0.11656,0.28850,61600,400
1950,62400,25.5,0.660,30.680,0,0.0000,0.0000,0.0000,0.051402,-0.152799,0.11518,0.11528,0.28835,62400,400
1975,63200,25.5,0.658,30.693,0,0.0000,0.0000,0.0000,0.051080,-0.162773,0.12598,0.12594,0.28820,63200,400
2000,64000,25.5,0.660,30.661,0,0.0000,0.0000,0.0000,0.049044,-0.160775,0.12390,0.12384,0.28805,64000,400
2025,64800,25.5,0.676,30.675,0,0.0000,0.0000,0.0000,0.053495,-0.158947,0.12293,0.12333,0.28790,64800,400
2050,65600,25.5,0.668,30.659,0,0.0000,0.0000,0.0000,0.057530,-0.154920,0.11838,0.11832,0.28775,65600,400
2075,66400,25.5,0.666,30.707,0,0.0000,0.0000,0.0000,0.049440,-0.154018,0.11876,0.11870,0.28761,66400,400
2100,67200,25.5,0.640,30.691,0,0.0000,0.0000,0.0000,0.048629,-0.157760,0.11835,0.11856,0.28746,67200,400
2125,68000,25.5,0.681,30.738,1,0.0000,0.0000,1.0000,0.051694,-0.171909,0.13248,0.13247,0.28731,68000,400
2150,68800,25.4,0.673,30.776,0,0.0000,0.0000,0.0000,0.053862,-0.176594,0.13742,0.13782,0.28716,68800,400
2175,69600,25.5,0.659,30.728,0,0.0000,0.0000,0.0000,0.055554,-0.182723,0.14211,0.14216,0.28701,69600,400
2200,70400,25.4,0.683,30.773,1,0.0000,0.0000,1.0000,0.054807,-0.195437,0.15463,0.15516,0.28686,70400,400
2225,71200,25.5,0.652,30.741,0,0.0000,0.0000,0.0000,0.054928,-0.208955,0.16756,0.16768,0.28671,71200,400
2250,72000,25.5,0.694,30.733,30,0.0000,0.0000,1.0000,0.053658,-0.215745,0.17669,0.17700,0.28656,72000,400
2275,72800,25.5,0.671,30.726,0,0.0000,0.0000,0.0000,0.054575,-0.223677,0.18262,0.18316,0.28641,72800,400
2300,73600,25.4,0.678,30.797,0,0.0000,0.0000,0.0000,0.053406,-0.230107,0.18961,0.19001,0.28626,73600,400
2325,74400,25.5,0.653,30.696,0,0.0000,0.0000,0.0000,0.057806,-0.250983,0.20968,0.20983,0.28611,74400,400
2350,75200,25.5,0.684,30.708,1,0.0000,1.0000,0.0000,0.060298,-0.267277,0.22558,0.22604,0.28596,75200,400
2375,76000,25.5,0.650,30.721,0,0.0000,0.0000,0.0000,0.064377,-0.288372,0.24427,0.24458,0.28581,76000,400
2400,76800,25.4,0.660,30.782,0,0.0000,0.0000,0.0000,0.066497,-0.310706,0.26834,0.26865,0.28566,76800,400
2425,77600,25.5,0.655,30.743,0,0.0000,0.0000,0.0000,0.063955,-0.327685,0.28538,0.28559,0.28551,77600,400
2450,78400,25.5,0.679,30.722,0,0.0000,0.0000,0.0000,0.065981,-0.335956,0.29382,0.29415,0.28537,78400,400
2475,79200,25.5,0.665,30.716,0,0.0000,0.0000,0.0000,0.055198,-0.347940,0.30497,0.30534,0.28522,79200,400
2500,80000,25.5,0.691,30.708,1,0.0000,0.0000,1.0000,0.056668,-0.357731,0.31592,0.31627,0.28507,80000,400
2525,80800,25.5,0.685,30.686,0,0.0000,0.0000,0.0000,0.066931,-0.362899,0.31948,0.31982,0.28492,80800,400
2550,81600,25.5,0.671,30.699,0,0.0000,0.0000,0.0000,0.066211,-0.364101,0.32261,0.32264,0.28477,81600,400
2575,82400,25.5,0.698,30.713,1,0.0000,0.0000,1.0000,0.088282,-0.383866,0.35235,0.35265,0.28462,82400,400
2600,83200,25.5,0.669,30.694,0,0.0000,0.0000,0.0000,0.062663,-0.375026,0.33607,0.33630,0.28447,83200,400
2625,84000,25.5,0.696,30.677,29,0.0000,0.0000,1.0000,0.067487,-0.377139,0.33392,0.33424,0.28432,84000,400
2650,84800,25.5,0.654,30.678,0,0.0000,0.0000,0.0000,0.063073,-0.376639,0.33514,0.33537,0.28417,84800,400
2675,85600,25.5,0.663,30.711,0,0.0000,0.0000,0.0000,0.064356,-0.388253,0.34379,0.34393,0.28402,85600,400
2700,86400,25.4,0.662,30.797,0,0.0000,0.0000,0.0000,0.071467,-0.394922,0.35174,0.35236,0.28387,86400,400
