frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
32,1,52.7298,2.9741,1.5000,0.0000,-0.0386,-0.9873,-0.0358,0.9970,0,0,0,0
64,2,56.6388,3.0356,1.5000,0.0000,-0.5620,-0.7141,0.4758,0.0068,0,0,0,0
96,3,58.8299,3.0514,1.5000,0.0000,0.2380,-0.4519,0.3228,0.0048,0,0,0,0
128,4,57.4048,3.0460,1.5000,0.0000,-0.2047,0.0841,-0.1759,-0.0087,0,0,0,0
160,5,49.7028,2.9870,1.5000,0.0000,-0.1435,-0.0029,-0.7805,-0.0300,0,0,0,0
192,6,47.2701,2.9776,1.5000,0.0000,-0.3811,0.0509,-0.2764,-0.0127,0,0,0,0
224,7,38.5246,2.9339,1.5000,0.0000,-0.6700,-0.8929,-0.7252,-0.0366,0,0,0,0
256,8,41.9055,2.9629,1.5000,0.0000,-0.2376,0.5628,0.1971,0.0085,0,0,0,0
288,9,36.4157,2.9050,1.5000,0.0000,-0.2404,0.9080,-0.6790,-0.0203,0,0,0,0
320,10,45.6540,3.0108,1.5000,0.0000,-0.5632,-0.2129,0.8413,0.0250,0,0,0,0
352,11,54.5087,3.1160,1.5000,0.0000,-0.6595,-0.3882,0.8789,0.0234,0,0,0,0
384,12,57.2579,3.1261,1.5000,0.0000,0.4471,-0.1571,0.3391,0.0080,0,0,0,0
416,13,59.2492,3.1346,1.5000,0.0000,0.4797,-0.6153,0.3462,0.0048,0,0,0,0
448,14,52.0181,3.0936,1.5000,0.0000,-0.5902,0.0601,-0.7829,-0.0302,0,0,0,0
480,15,47.2597,3.0654,1.5000,0.0000,-0.5536,0.2999,-0.5592,-0.0207,0,0,0,0
512,16,46.2647,3.0222,1.5000,0.0000,0.7201,0.7010,-0.1556,-0.0020,0,0,0,0
544,17,42.3275,2.9855,1.5000,0.0000,-0.1154,0.2970,-0.4334,-0.0160,0,0,0,0
576,18,42.0855,3.0168,1.5000,0.0000,-0.5979,-0.8966,0.0742,-0.0080,0,0,0,0
608,19,39.7581,2.9724,1.5000,0.0000,0.7674,-0.0749,-0.1366,-0.0078,0,0,0,0
640,20,29.8955,2.9140,1.5000,0.0000,-0.7482,-0.7885,-0.8186,-0.0397,0,0,0,0
672,21,36.3764,3.0098,1.5000,0.0000,-0.9060,-0.3451,0.5395,0.0140,0,0,0,0
704,22,42.9523,3.0348,1.5000,0.0000,0.8955,0.5736,0.5954,0.0232,0,0,0,0
736,23,32.5483,2.9000,1.5000,0.0000,0.9073,0.5302,-0.9576,-0.0326,0,0,0,0
768,24,25.6059,2.8397,1.5000,0.0000,0.3250,-0.9185,-0.4175,-0.0265,0,0,0,0
800,25,32.2882,2.9108,1.5000,0.0000,-0.1575,-0.1118,0.5759,0.0179,0,0,0,0
832,26,42.7088,2.9983,1.5000,0.0000,-0.1667,0.8816,0.7886,0.0326,0,0,0,0
864,27,45.4951,2.9884,1.5000,0.0000,0.9351,0.3407,0.2884,0.0107,0,0,0,0
896,28,42.9068,2.9731,1.5000,0.0000,0.1484,-0.7967,-0.0971,-0.0126,0,0,0,0
928,29,45.3109,3.0110,1.5000,0.0000,-0.1216,-0.7458,0.3424,0.0030,0,0,0,0
960,30,43.5865,3.0195,1.5000,0.0000,-0.5537,-0.4050,-0.1422,-0.0118,0,0,0,0
992,31,34.6066,2.9257,1.5000,0.0000,0.7426,-0.8303,-0.6219,-0.0314,0,0,0,0
1024,32,44.8107,3.0132,1.5000,0.0000,0.1322,0.1960,0.9213,0.0316,0,0,0,0
1056,33,53.2088,3.0952,1.5000,0.0000,-0.0757,-0.3297,0.8680,0.0242,0,0,0,0
1088,34,53.1153,3.1178,1.5000,0.0000,-0.6433,-0.1254,-0.0363,-0.0062,0,0,0,0
1120,35,52.5883,3.1154,1.5000,0.0000,-0.0961,0.0678,-0.0713,-0.0051,0,0,0,0
1152,36,53.5483,3.0851,1.5000,0.0000,0.9500,0.4588,0.0896,0.0051,0,0,0,0
1184,37,48.7829,3.0571,1.5000,0.0000,-0.3101,-0.2080,-0.4580,-0.0208,0,0,0,0
1216,38,48.5046,3.0464,1.5000,0.0000,0.0274,0.4758,-0.1060,-0.0029,0,0,0,0
1248,39,49.0409,3.0188,1.5000,0.0000,0.8934,0.2031,0.0904,0.0028,0,0,0,0
1280,40,51.8262,3.0464,1.5000,0.0000,-0.4834,0.8109,0.0948,0.0060,0,0,0,0
1312,41,55.0491,3.0931,1.5000,0.0000,-0.1409,-0.9726,0.4791,0.0055,0,0,0,0
1344,42,48.8566,3.0046,1.5000,0.0000,0.7700,0.6891,-0.6776,-0.0196,0,0,0,0
1376,43,43.8743,2.9394,1.5000,0.0000,0.2304,0.9030,-0.6169,-0.0171,0,0,0,0
1408,44,44.2041,2.9547,1.5000,0.0000,-0.6292,0.4814,-0.1061,-0.0034,0,0,0,0
1440,45,43.2503,2.9652,1.5000,0.0000,-0.4920,-0.2149,-0.0961,-0.0086,0,0,0,0
