update,step,fps,collect_s,learn_s,collect_iters,jsrl_h,student_frac,jsrl_done,jsrl_success_rate,jsrl_success_ema,done,success,fail,timeout,pi_loss,v_loss,entropy,kl,clip_frac,grad_norm,a_mag_mean,stop_frac,zone_frac,raw_std_mean,raw_std_min,raw_std_max
1,27392,565.1012105208403,29.580611302051693,18.816423462936655,214,150.0,0.5510367990654206,0,0.0,0.0,0,0,0,0,0.004939461083267815,0.163127860694658,-0.5671392884105444,0.04061600636487128,0.258087158203125,2.295806405134499,0.5137035551472245,0.0023729556074766353,0.009966413551401869,0.2002948095323518,0.19940121797844768,0.20083335263188928
2,35584,464.88960301093186,9.284265517955646,18.649733536993153,64,150.0,1.0,0,0.0,0.0,0,0,0,0,-0.003894895256962627,0.04560783095075749,-0.55251569673419,0.03993915240425849,0.201416015625,1.1888809136580676,0.2873477665707469,0.008544921875,0.0,0.2012887109303847,0.1996549345785752,0.20274343388155103
3,43776,418.1617569510633,9.184894960955717,18.734667896991596,64,150.0,1.0,0,0.0,0.0,0,0,0,0,0.005549895089643542,0.017686021556073683,-0.5354639664292336,0.031060774868819863,0.14349365234375,1.5544638615101576,0.2860064497217536,0.0042724609375,0.0,0.2024359863717109,0.2000305299879983,0.20602083939593285
4,71040,464.07548585759747,29.473447412019596,18.718206978053786,213,150.0,0.5530736502347418,128,0.0,0.0,128,0,0,128,0.01642242980597075,0.11993316124426201,-0.5295530455186963,0.044686494482448325,0.240081787109375,1.8987114834599197,0.49739446522484365,0.002824237089201878,0.012470657276995305,0.20286564528942108,0.19904577115084976,0.20862713048700243
5,79232,437.2700596152856,9.308571730973199,18.71030617004726,64,150.0,1.0,0,0.0,0.0,0,0,0,0,0.009082445252715843,0.012985804434720194,-0.5291281081736088,0.02814237260099617,0.17901611328125,1.1802177331410348,0.28493184968829155,0.007568359375,0.0,0.20292665448505431,0.19677048467565328,0.21113581059034914
6,87424,417.65818513918316,9.191151743987575,18.80517862504348,64,150.0,1.0,0,0.0,0.0,0,0,0,0,0.008338245148479473,0.00353916691028644,-0.558782915584743,0.019176524321665056,0.110260009765625,1.3151748338714242,0.28906954312697053,0.0068359375,0.0,0.2009877203963697,0.19311858108267188,0.21188239858020097
7,95616,402.5866424447539,9.232954295002855,18.842848100932315,64,150.0,1.0,0,0.0,0.0,0,0,0,0,0.0010022480018960778,0.007726006027951371,-0.5916632935404778,0.01781697590558906,0.10687255859375,1.0957318770233542,0.28778001945465803,0.0062255859375,0.0,0.1988507721107453,0.19049171393271536,0.21147202176507562
8,135936,452.58004815322545,43.91313316905871,18.807523734983988,315,150.0,0.6893353174603175,131,0.022900763358778626,0.0022900763358778622,131,3,0,128,0.009961789430235513,0.11617962643504143,-0.6015368355438113,0.044495052154161385,0.3056640625,2.089937513694167,0.47103661866415114,0.001959325396825397,0.019642857142857142,0.1982776935910806,0.18933622387703508,0.21285294345580041
9,163200,467.44997102554584,29.895936848013662,18.774660120951012,213,150.0,0.5844336854460094,131,0.030534351145038167,0.005114503816793892,131,4,0,127,0.0016887466481421143,0.058516113116638735,-0.5865579405799508,0.058934929584211204,0.27435302734375,1.576303781941533,0.5061294607153521,0.0017605633802816902,0.02061326291079812,0.19931045302655548,0.190318631590344,0.2149042000528425
10,187648,475.2492522084478,26.683041729032993,18.81114983803127,191,150.0,0.9864201570680629,2,0.5,0.05460305343511449,2,1,0,1,-0.006983992352616042,0.02021742128090409,-0.5759371295571327,0.04428782907052664,0.225250244140625,1.680077268742025,0.33894075149016856,0.003763089005235602,0.0011043848167539268,0.2000431977212429,0.19101887929718941,0.2167569191660732
11,224128,493.2607409517457,40.419878833927214,18.771788983023725,285,150.0,0.6587171052631579,131,0.030534351145038167,0.05219618320610686,131,4,0,127,0.005166966977412812,0.11370888410601765,-0.5844878200441599,0.03499534223010414,0.1842041015625,1.539773867931217,0.47094478314382987,0.0025219298245614035,0.025959429824561404,0.1994983945041895,0.19020142359659076,0.21680413174908608
12,232320,481.28273010653857,9.175549265928566,18.787859944975935,64,150.0,1.0,0,0.0,0.05219618320610686,0,0,0,0,0.002391677608102327,0.01086109978496097,-0.5887636858969927,0.04147803537125583,0.2667236328125,2.02692370233126,0.33700369903817773,0.004638671875,0.0003662109375,0.1992411179235205,0.1898675471311435,0.21713919250760227
13,288384,514.7613022881065,58.56564917298965,18.81668357201852,438,150.0,0.7435966038812786,248,0.024193548387096774,0.04939591972420585,248,6,0,242,0.002721508833928965,0.07541593721543904,-0.5923514049500227,0.050743127198074944,0.26348876953125,1.6997830548789352,0.4188547376628336,0.00338898401826484,0.019049657534246575,0.19902887952048331,0.1894672957714647,0.21750757016707212
14,328576,527.2879150961933,43.98213131306693,18.82937921199482,314,150.0,0.7269357085987261,19,0.21052631578947367,0.06550895933073263,19,4,0,15,0.000744728502468206,0.1177619753871113,-0.6018333490937948,0.047929739695973694,0.273284912109375,2.1262167054228485,0.42042162891026513,0.0035330414012738854,0.02291500796178344,0.19843506207689643,0.18836480914615095,0.21770286955870688
15,374784,541.6647254433026,49.85526340501383,18.782160170958377,361,150.0,0.717603012465374,137,0.08029197080291971,0.06698726047795134,137,11,0,126,-0.001010960593703203,0.12295058404561132,-0.6198530523106456,0.05627099918638123,0.283447265625,1.44327077222988,0.42135014651224556,0.003679016620498615,0.029388850415512466,0.1972780090291053,0.18718049069866538,0.2172080825548619
16,393600,537.5273949535389,21.427830266067758,18.774281963938847,147,150.0,0.6038477891156463,115,0.02608695652173913,0.06289723008233011,115,3,0,112,0.00016836231225170195,0.01699101592748775,-0.6330130537971854,0.05815293920750264,0.196624755859375,1.7824469339102507,0.5032431124424448,0.0028698979591836736,0.026892006802721087,0.1964499430032447,0.18594330979976803,0.21670348523184657
