phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,19255552,600,0,0,207.1400,5.0830,1.5000,0.0000,0.0380,-0.0073,-0.1690,0.9970,0,0,0,0,0.0015,-0.0003,-0.0106,5.0457,-3.6771
offline_val,19255552,600,0,1,-1.0000,0.0000,1.5000,0.0000,0.0141,-0.0048,-0.1252,0.0012,0,0,0,0,0.0006,-0.0002,-0.0079,2.8622,2.7699
offline_val,19255552,600,0,2,157.6227,5.3675,1.5000,0.0000,0.1099,-0.0095,-0.0907,0.9970,0,0,0,0,0.0044,-0.0004,-0.0057,5.3614,-1.8656
offline_val,19255552,600,0,3,68.2179,1.9355,1.5000,0.0000,0.0646,-0.0052,0.0616,0.9970,0,0,0,0,0.0026,-0.0002,0.0039,1.9356,0.6421
offline_val,19255552,600,0,4,6.8659,4.9864,1.5000,0.0000,0.0041,-0.0141,-0.1121,0.9970,0,0,0,0,0.0002,-0.0006,-0.0070,5.0141,3.8918
offline_val,19255552,600,0,5,190.2677,3.5623,1.5000,0.0000,-0.0636,-0.0169,-0.1133,0.9970,0,0,0,0,-0.0025,-0.0007,-0.0071,3.5448,-2.1148
offline_val,19255552,600,0,6,-1.0000,0.0000,1.5000,0.0000,0.0262,-0.0139,0.1485,0.0014,0,0,0,0,0.0010,-0.0006,0.0093,2.5583,2.2007
offline_val,19255552,600,0,7,206.4688,5.3400,1.5000,0.0000,0.0315,-0.0069,-0.2315,0.9970,0,0,0,0,0.0013,-0.0003,-0.0145,5.2858,-3.8570
offline_val,19255552,600,0,8,99.3725,5.6287,1.5000,0.0000,0.1544,-0.0053,-0.1034,0.9970,0,0,0,0,0.0062,-0.0002,-0.0065,5.6382,0.4957
offline_val,19255552,600,0,9,146.7982,6.0317,1.5000,0.0000,0.0423,-0.0026,-0.0995,0.9970,0,0,0,0,0.0017,-0.0001,-0.0063,6.0234,-1.6103
offline_val,19255552,600,0,10,65.6420,2.0943,1.5000,0.0000,0.1262,0.0031,0.1779,0.9970,0,0,0,0,0.0050,0.0001,0.0112,2.0910,0.7508
offline_val,19255552,600,0,11,9.0964,2.3805,1.5000,0.0000,0.0166,-0.0099,0.2282,0.9970,0,0,0,0,0.0007,-0.0004,0.0143,2.3546,1.8688
offline_val,19255552,600,0,12,55.0400,4.1909,1.5000,0.0000,0.0782,-0.0057,0.0811,0.9970,0,0,0,0,0.0031,-0.0002,0.0051,4.1848,1.8095
offline_val,19255552,600,0,13,146.8603,3.4371,1.5000,0.0000,0.2282,-0.0171,-0.2067,0.9970,0,0,0,0,0.0091,-0.0007,-0.0130,3.4343,-0.9429
offline_val,19255552,600,0,14,152.5277,2.0763,1.5000,0.0000,0.1821,-0.0248,-0.1197,0.9970,0,0,0,0,0.0073,-0.0010,-0.0075,2.0787,-0.6470
offline_val,19255552,600,0,15,135.8443,6.0350,1.5000,0.0000,-0.1170,0.0024,-0.0907,0.9970,0,0,0,0,-0.0047,0.0001,-0.0057,6.0240,-1.1124
offline_val,19255552,600,0,16,42.6793,5.2821,1.5000,0.0000,0.0000,0.0000,0.0000,0.9970,0,0,0,0,0.0000,0.0000,0.0000,5.2821,2.7432
offline_val,19255552,600,0,17,-1.0000,0.0000,1.5000,0.0000,-0.0700,-0.0251,-0.0051,-0.0002,0,0,0,0,-0.0028,-0.0010,-0.0003,4.2430,-3.9391
offline_val,19255552,600,0,18,67.8858,3.0387,1.5000,0.0000,0.0852,-0.0028,0.1061,0.9970,0,0,0,0,0.0034,-0.0001,0.0067,3.0354,1.0244
