img,cond,round,env,rng0,bear0,px0,vis0,col0,shape0,rng1,bear1,px1,vis1,col1,shape1,rng2,bear2,px2,vis2,col2,shape2,rng3,bear3,px3,vis3,col3,shape3
img/r00_base_000.png,base,0,0,2.187,0.598,110.61,1,red,sphere,4.2671,-23.18,169.15,1,red,cube,1.5215,-23.165,169.11,1,blue,sphere,5.974,-0.244,112.57,1,blue,cube
img/r00_base_001.png,base,0,1,5.4563,-8.989,133.11,1,red,sphere,1.6245,7.154,95.25,1,red,cube,2.58,-28.934,185.78,1,blue,sphere,4.953,17.802,69.14,1,blue,cube
img/r00_base_002.png,base,0,2,5.3991,-34.639,204.21,1,red,sphere,2.1415,-30.065,189.26,1,red,cube,3.0399,20.901,61.03,1,blue,sphere,6.4619,-16.533,151.62,1,blue,cube
img/r00_base_003.png,base,0,3,4.6387,0.885,109.94,1,red,sphere,3.8244,24.513,51.13,1,red,cube,4.3965,-6.298,126.73,1,blue,sphere,6.066,-18.625,156.99,1,blue,cube
img/r00_base_004.png,base,0,4,2.2487,-28.528,184.56,1,red,sphere,5.936,-22.784,168.07,1,red,cube,5.8201,-1.869,116.36,1,blue,sphere,4.7379,30.737,32.63,1,blue,cube
img/r00_base_005.png,base,0,5,5.2209,25.941,47.07,1,red,sphere,2.1396,33.501,23.65,1,red,cube,4.6336,6.851,95.96,1,blue,sphere,1.4235,-4.53,122.57,1,blue,cube
img/r00_base_006.png,base,0,6,2.0033,18.816,66.52,1,red,sphere,5.629,-24.457,172.71,1,red,cube,3.3402,-14.709,147.04,1,blue,sphere,4.4266,21.392,59.71,1,blue,cube
img/r00_base_007.png,base,0,7,5.9702,7.898,93.48,1,red,sphere,5.1166,-24.594,173.09,1,red,cube,5.7559,12.889,81.46,1,blue,sphere,2.4701,-2.089,116.87,1,blue,cube
img/r00_base_008.png,base,0,8,4.2944,26.645,45.03,1,red,sphere,4.9265,-29.658,188.0,1,red,cube,1.5516,5.601,98.91,1,blue,sphere,6.0345,11.127,85.75,1,blue,cube
img/r00_base_009.png,base,0,9,3.8081,-7.844,130.39,1,red,sphere,2.2638,17.786,69.18,1,red,cube,6.2341,32.441,27.16,1,blue,sphere,1.8264,-12.248,140.97,1,blue,cube
img/r00_base_010.png,base,0,10,2.7157,-18.779,157.39,1,red,sphere,2.9052,-7.275,129.04,1,red,cube,5.3509,4.613,101.23,1,blue,sphere,1.5982,-31.172,192.75,1,blue,cube
img/r00_base_011.png,base,0,11,5.2476,-9.886,135.26,1,red,sphere,3.6489,7.745,93.85,1,red,cube,1.6106,24.796,50.34,1,blue,sphere,2.8419,12.449,82.53,1,blue,cube
img/r00_base_012.png,base,0,12,5.1799,33.53,23.55,1,red,sphere,6.0682,1.632,108.2,1,red,cube,5.37,27.635,42.12,1,blue,sphere,1.623,4.247,102.09,1,blue,cube
img/r00_base_013.png,base,0,13,3.8144,6.949,95.73,1,red,sphere,2.579,-0.969,114.26,1,red,cube,6.0551,0.054,111.87,1,blue,sphere,4.3437,4.606,101.25,1,blue,cube
img/r00_base_014.png,base,0,14,6.4073,-3.756,120.76,1,red,sphere,4.4327,-6.073,126.2,1,red,cube,6.3647,30.656,32.89,1,blue,sphere,3.2805,19.442,64.88,1,blue,cube
img/r00_base_015.png,base,0,15,6.1911,-33.435,200.13,1,red,sphere,1.8395,1.208,109.18,1,red,cube,6.424,19.178,65.58,1,blue,sphere,6.1544,-24.393,172.53,1,blue,cube
img/r00_base_016.png,base,0,16,1.9668,11.029,85.98,1,red,sphere,5.1666,-1.729,116.03,1,red,cube,3.3998,17.694,69.42,1,blue,sphere,2.8742,33.978,22.04,1,blue,cube
img/r00_base_017.png,base,0,17,4.0987,-26.868,179.62,1,red,sphere,1.6445,-33.591,200.65,1,red,cube,5.1976,29.899,35.25,1,blue,sphere,6.0997,-32.699,197.69,1,blue,cube
img/r00_base_018.png,base,0,18,2.7055,-13.58,144.24,1,red,sphere,2.7519,10.332,87.67,1,red,cube,4.7479,2.479,106.22,1,blue,sphere,5.7053,18.572,67.15,1,blue,cube
img/r00_base_019.png,base,0,19,5.3815,12.192,83.16,1,red,sphere,6.2632,32.541,26.83,1,red,cube,4.2313,-33.971,201.93,1,blue,sphere,6.2723,-33.848,201.52,1,blue,cube
img/r00_base_020.png,base,0,20,2.0831,13.454,80.07,1,red,sphere,1.5479,-34.559,203.94,1,red,cube,2.0207,-11.329,138.74,1,blue,sphere,2.5347,-12.172,140.79,1,blue,cube
img/r00_base_021.png,base,0,21,4.1538,-33.596,200.67,1,red,sphere,4.8852,-22.393,167.0,1,red,cube,2.6706,-4.018,121.38,1,blue,sphere,3.3199,32.294,27.64,1,blue,cube
img/r00_base_022.png,base,0,22,6.4798,19.669,64.29,1,red,sphere,1.4622,-32.382,196.65,1,red,cube,3.3911,-20.157,161.0,1,blue,sphere,6.3168,-2.994,118.98,1,blue,cube
img/r00_base_023.png,base,0,23,6.3058,21.398,59.7,1,red,sphere,6.3563,-15.753,149.65,1,red,cube,1.7157,-19.647,159.65,1,blue,sphere,4.8224,4.577,101.31,1,blue,cube
img/r00_base_024.png,base,0,24,5.7447,-4.686,122.94,1,red,sphere,5.9946,13.511,79.93,1,red,cube,3.6184,-20.636,162.27,1,blue,sphere,1.7822,-8.478,131.89,1,blue,cube
img/r00_base_025.png,base,0,25,5.5271,26.811,44.55,1,red,sphere,4.5926,-18.071,155.55,1,red,cube,4.9419,7.28,94.95,1,blue,sphere,5.1901,-1.393,115.25,1,blue,cube
img/r00_base_026.png,base,0,26,5.9825,-34.466,203.62,1,red,sphere,4.668,-25.042,174.36,1,red,cube,3.9507,-33.156,199.2,1,blue,sphere,3.6755,-23.595,170.3,1,blue,cube
img/r00_base_027.png,base,0,27,5.3006,-16.184,150.74,1,red,sphere,4.6465,-16.817,152.34,1,red,cube,1.3711,-34.01,202.06,1,blue,sphere,3.2578,-11.155,138.32,1,blue,cube
img/r00_base_028.png,base,0,28,3.4429,13.002,81.18,1,red,sphere,1.7918,-21.789,165.36,1,red,cube,3.6484,29.771,35.65,1,blue,sphere,5.6676,-13.288,143.52,1,blue,cube
img/r00_base_029.png,base,0,29,1.5388,-0.186,112.43,1,red,sphere,5.8898,32.103,28.26,1,red,cube,3.7855,-28.928,185.77,1,blue,sphere,3.1401,34.75,19.4,1,blue,cube
img/r00_base_030.png,base,0,30,2.5171,5.478,99.2,1,red,sphere,2.5951,-26.139,177.5,1,red,cube,5.1865,26.187,46.36,1,blue,sphere,4.5593,-6.921,128.2,1,blue,cube
img/r00_base_031.png,base,0,31,5.9539,34.7,19.58,1,red,sphere,2.3886,6.49,96.82,1,red,cube,2.1959,-15.864,149.93,1,blue,sphere,4.6271,-5.489,124.83,1,blue,cube
img/r00_base_032.png,base,0,32,5.2637,-16.241,150.88,1,red,sphere,1.9084,16.465,72.55,1,red,cube,3.9197,19.274,65.32,1,blue,sphere,6.064,20.498,62.1,1,blue,cube
img/r00_base_033.png,base,0,33,2.3687,2.385,106.44,1,red,sphere,6.0784,-16.588,151.76,1,red,cube,5.0926,11.158,85.67,1,blue,sphere,6.3508,23.87,52.94,1,blue,cube
