交叉探针(held R²);对角线由构造决定,看的是非对角

编码器           动作 a_x      动作 a_w        价值 V        奖励 R
init           0.965       0.473       0.938       0.965
A              0.997       0.985       0.982       0.997
V              0.995       0.911       0.994       0.996
R              0.996       0.910       0.991       0.999
sup            0.969       0.960       0.987       0.984

样本效率(只用 200 个训练样本,考察可访问性而非是否存在)
编码器           动作 a_x      动作 a_w        价值 V        奖励 R
init           0.879      -0.091       0.881       0.932
A              0.986       0.949       0.802       0.992
V              0.991       0.630       0.994       0.991
R              0.993       0.335       0.982       0.998
sup           -1.450       0.155       0.953       0.721
