arm,seed,ckpt,noise_color,v1_success_pct,return,zone_dwell,tail_xe_px,tail_de_m,baseline_same_ckpt_pct,delta
A_donor,1,last,red,40.6,99.3,0.247,19.25,2.730,100.0,-59.4
A_donor,1,last,green,56.2,125.4,0.347,17.56,2.558,100.0,-43.8
A_donor,2,000230,red,35.9,110.7,0.279,20.70,3.047,95.3,-59.4
A_donor,2,000230,green,90.6,230.3,0.689,4.57,0.709,95.3,-4.7
A_donor,3,000200,red,39.1,129.1,0.309,18.61,2.899,92.2,-53.1
A_donor,3,000200,green,85.9,226.0,0.642,5.62,0.654,92.2,-6.2
R_donor,1,000220,red,46.9,113.8,0.261,18.82,2.825,98.4,-51.6
R_donor,1,000220,green,93.8,214.1,0.572,3.69,0.440,98.4,-4.7
R_donor,2,000210,red,48.4,122.2,0.307,16.45,2.427,98.4,-50.0
R_donor,2,000210,green,93.8,210.8,0.634,3.68,0.512,98.4,-4.7
R_donor,3,000230,red,28.1,84.7,0.182,21.06,2.945,96.9,-68.8
R_donor,3,000230,green,89.1,197.7,0.618,6.06,0.547,96.9,-7.8
V_donor,1,000210,red,26.6,89.6,0.176,18.41,3.385,68.8,-42.2
V_donor,1,000210,green,65.6,155.7,0.453,4.74,2.394,68.8,-3.1
init,1,000220,red,46.9,120.5,0.330,19.08,2.938,78.1,-31.2
init,1,000220,green,56.2,139.0,0.383,15.40,2.362,78.1,-21.9
sup_donor,1,000220,red,25.0,75.1,0.161,23.90,3.776,39.1,-14.1
sup_donor,1,000220,green,39.1,100.7,0.273,19.66,4.641,39.1,+0.0
