== diam_cam ==  每格 train/held
表征          x_c λ=1e-2      x_c λ=1e-4          打乱标签       N=500      N=3000      单轴最大      单轴中位
init     0.575/0.136     0.615/0.095    0.026/-0.084       0.061       0.136     0.014    -0.020
A        0.950/0.952     0.997/0.992   -0.039/-0.029       0.801       0.952     0.660     0.019
V        0.953/0.881     0.998/0.927   -0.039/-0.030       0.775       0.881     0.301    -0.019
R        0.908/0.894     0.987/0.961   -0.028/-0.032       0.411       0.894     0.138    -0.018
sup      0.958/0.951     0.997/0.993   -0.041/-0.029       0.740       0.951     0.856     0.031
== ang_angle ==  每格 train/held
表征          x_c λ=1e-2      x_c λ=1e-4          打乱标签       N=500      N=3000      单轴最大      单轴中位
init     0.631/0.424     0.680/0.434    0.050/-0.091      -0.095       0.424     0.026    -0.013
A        0.934/0.958     0.997/0.997   -0.027/-0.044       0.622       0.958     0.558     0.024
V        0.944/0.964     0.998/0.994   -0.030/-0.044       0.879       0.964     0.321    -0.012
R        0.886/0.828     0.982/0.920   -0.014/-0.047       0.125       0.828     0.149    -0.014
sup      0.953/0.941     0.999/0.977   -0.031/-0.053       0.658       0.941     0.864     0.050
