各层的红球/蓝球可读性(held R²,2×2 池化展平)

--- V ---
层           维数       红球方位       红球距离       蓝球方位       蓝球距离
stem       256      0.817      0.591      0.754      0.154
c2         256      0.842      0.797      0.704      0.179
c3         512      0.881      0.816      0.734     -0.045
c4        1024      0.977      0.936      0.643      0.080
z          256      0.980      0.969      0.359      0.265

--- sup ---
层           维数       红球方位       红球距离       蓝球方位       蓝球距离
stem       256      0.817      0.543      0.732      0.002
c2         256      0.860      0.615      0.725     -0.218
c3         512      0.870      0.843      0.674     -1.261
c4        1024      0.981      0.943      0.578      0.342
z          256      0.997      0.932      0.005     -0.013

