
### 红球方位:held R² 随训练样本数(每格 5 次重采样取中位)
表征          N=50     N=100     N=200     N=500    N=1000    N=1920
init       0.463     0.549     0.598     0.700     0.742     0.771
A          0.975     0.987     0.989     0.991     0.991     0.991
V          0.962     0.970     0.976     0.979     0.980     0.980
R          0.912     0.935     0.950     0.962     0.963     0.965
sup        0.993     0.996     0.996     0.996     0.997     0.997

### 蓝球方位:held R² 随训练样本数(每格 5 次重采样取中位)
表征          N=50     N=100     N=200     N=500    N=1000    N=1920
init       0.338     0.557     0.570     0.705     0.734     0.753
A         -0.368    -0.151    -0.061     0.003     0.010     0.014
V         -0.039     0.079     0.287     0.338     0.352     0.359
R         -0.448     0.143     0.347     0.460     0.494     0.517
sup       -0.485    -0.140    -0.065    -0.009    -0.003     0.005

读法:曲线越早饱和 = 这个量在该表征里越'容易取用';终点相同但起点不同,说明差别在可访问性而不是信息量。
