臂                 目标随机先验可读性   proj ΔW       干扰物残留 R²       干扰物位移
init                    nan     0.000          0.785       0.531
A                     0.710     0.452         -0.079       0.017
Asym                  0.857     0.447          0.177       0.046
Aw                    0.455     0.555         -0.116       0.009
Ax                    0.965     0.296          0.559       0.068
V                     0.901     0.348          0.428       0.028
R                     0.964     0.212          0.560       0.071
sup                     nan     0.632         -0.094       0.023

读法:若 Asym/Ax(对称、好提取)像 R 一样留住干扰物,而 Aw(反对称、难提取)像 A 一样擦掉,则主因是**对称性/可提取性**,不是目标维数。
