配置          臂                  目标在随机编码器上的线性R²   proj ΔW  stem ΔW     c2     c3     c4
diam_angle  A                           0.703     0.452    0.141  0.047  0.059  0.070
diam_angle  V                           0.943     0.348    0.110  0.038  0.045  0.054
diam_angle  R                           0.969     0.212    0.068  0.024  0.029  0.035
diam_angle  sup                         0.663     0.632    0.193  0.064  0.074  0.089
diam_cam    A                           0.640     0.556    0.147  0.049  0.062  0.080
diam_cam    V                           0.911     0.376    0.114  0.038  0.042  0.052
diam_cam    R                           0.958     0.216    0.068  0.023  0.029  0.036
diam_cam    sup                         0.610     0.700    0.189  0.064  0.077  0.100
ang_angle   A                           0.712     0.614    0.167  0.057  0.071  0.091
ang_angle   V                           0.911     0.336    0.112  0.035  0.040  0.049
ang_angle   R                           0.966     0.212    0.071  0.024  0.030  0.037
ang_angle   sup                         0.670     0.525    0.148  0.048  0.056  0.070
ang_cam     A                           0.739     0.625    0.157  0.054  0.069  0.088
ang_cam     V                           0.924     0.378    0.140  0.045  0.051  0.061
ang_cam     R                           0.964     0.216    0.062  0.023  0.029  0.037
ang_cam     sup                         0.649     0.509    0.141  0.047  0.054  0.068
