arm,task,seed,ckpt,v1_success_pct,return,zone_dwell,tail_xe_px,tail_de_m,tail_amag
A_donor,red,1,last,100.0,189.0,0.536,1.03,0.128,0.070
A_donor,red,1,000200,48.4,125.6,0.319,12.35,1.349,0.424
A_donor,red,1,000210,35.9,95.5,0.196,4.07,4.023,0.638
A_donor,red,1,000220,39.1,103.3,0.239,1.71,4.431,0.569
A_donor,red,1,000230,62.5,112.6,0.322,10.56,1.226,0.150
A_donor,red,1,000240,100.0,198.3,0.517,0.72,0.098,0.071
A_donor,blue,1,last,15.6,63.2,0.081,19.30,3.127,0.089
A_donor,blue,1,000200,3.1,50.4,0.014,22.67,3.526,0.096
A_donor,blue,1,000210,6.2,50.7,0.033,23.89,3.575,0.096
A_donor,blue,1,000220,7.8,53.5,0.034,19.06,3.252,0.084
A_donor,blue,1,000230,4.7,53.4,0.029,20.74,3.195,0.080
A_donor,blue,1,000240,10.9,61.0,0.059,18.94,3.095,0.081
A_donor,red,2,last,71.9,206.8,0.516,5.77,0.425,0.057
A_donor,red,2,000200,93.8,251.7,0.714,3.04,0.498,0.079
A_donor,red,2,000210,93.8,255.9,0.725,3.00,0.506,0.074
A_donor,red,2,000220,67.2,191.6,0.447,5.03,0.430,0.062
A_donor,red,2,000230,95.3,243.2,0.724,2.74,0.411,0.061
A_donor,red,2,000240,53.1,141.0,0.399,16.11,1.548,0.072
A_donor,blue,2,last,0.0,39.3,0.003,27.63,3.999,0.090
A_donor,blue,2,000200,0.0,41.4,0.003,25.40,3.630,0.073
A_donor,blue,2,000210,0.0,44.3,0.007,24.61,3.510,0.091
A_donor,blue,2,000220,0.0,36.4,0.000,26.23,4.173,0.085
A_donor,blue,2,000230,0.0,38.2,0.002,27.62,4.011,0.089
A_donor,blue,2,000240,0.0,36.3,0.005,28.98,4.129,0.093
A_donor,red,3,last,73.4,208.8,0.568,10.71,1.212,0.119
A_donor,red,3,000200,92.2,243.1,0.693,3.79,0.406,0.085
A_donor,red,3,000210,67.2,167.9,0.529,14.13,2.188,0.100
A_donor,red,3,000220,90.6,238.6,0.679,3.83,0.630,0.071
A_donor,red,3,000230,71.9,193.9,0.551,11.47,1.773,0.093
A_donor,red,3,000240,53.1,160.1,0.429,14.76,1.716,0.075
A_donor,blue,3,last,6.2,49.9,0.027,24.85,3.455,0.106
A_donor,blue,3,000200,7.8,51.5,0.049,27.05,3.787,0.129
A_donor,blue,3,000210,14.1,59.3,0.064,22.01,3.495,0.127
A_donor,blue,3,000220,7.8,45.2,0.036,26.65,4.075,0.126
A_donor,blue,3,000230,15.6,62.4,0.075,21.11,3.161,0.123
A_donor,blue,3,000240,9.4,54.4,0.041,23.10,3.158,0.107
R_donor,red,1,last,92.2,202.6,0.498,4.15,0.530,0.048
R_donor,red,1,000210,95.3,219.3,0.602,3.06,0.379,0.039
R_donor,red,1,000220,98.4,235.2,0.618,1.69,0.175,0.034
R_donor,red,1,000230,90.6,216.6,0.528,3.94,0.528,0.042
R_donor,red,1,000240,92.2,192.7,0.517,4.85,0.446,0.047
R_donor,blue,1,last,78.1,179.5,0.494,5.99,1.031,0.078
R_donor,blue,1,000200,70.3,170.8,0.476,5.71,1.053,0.058
R_donor,blue,1,000210,71.9,162.9,0.479,8.18,1.182,0.069
R_donor,blue,1,000220,84.4,205.3,0.562,3.15,0.626,0.080
R_donor,blue,1,000230,82.8,189.2,0.582,5.36,0.847,0.083
R_donor,blue,1,000240,67.2,153.2,0.423,9.09,1.476,0.072
R_donor,red,2,last,81.2,198.6,0.510,4.51,0.570,0.114
R_donor,red,2,000200,95.3,242.4,0.674,2.49,0.390,0.037
R_donor,red,2,000210,98.4,222.8,0.672,1.84,0.219,0.056
R_donor,red,2,000220,81.2,207.2,0.569,4.55,0.558,0.098
R_donor,red,2,000230,79.7,185.5,0.542,5.17,0.550,0.145
R_donor,red,2,000240,81.2,183.3,0.516,5.13,0.522,0.129
R_donor,blue,2,last,73.4,168.5,0.469,5.58,0.654,0.066
R_donor,blue,2,000200,81.2,176.9,0.541,5.59,0.799,0.074
R_donor,blue,2,000210,81.2,177.1,0.512,5.08,0.826,0.083
R_donor,blue,2,000220,81.2,185.4,0.531,5.21,0.795,0.076
R_donor,blue,2,000230,82.8,180.2,0.530,4.77,0.790,0.082
R_donor,blue,2,000240,75.0,165.3,0.472,6.48,0.780,0.086
R_donor,red,3,last,95.3,238.0,0.622,2.93,0.369,0.036
R_donor,red,3,000200,92.2,223.4,0.610,2.42,0.435,0.080
R_donor,red,3,000210,93.8,208.6,0.650,4.57,0.448,0.056
R_donor,red,3,000220,95.3,235.6,0.636,2.47,0.295,0.046
R_donor,red,3,000230,96.9,206.8,0.670,4.20,0.223,0.043
R_donor,red,3,000240,93.8,207.6,0.594,4.24,0.373,0.043
R_donor,blue,3,last,71.9,150.0,0.428,9.43,1.085,0.090
R_donor,blue,3,000200,82.8,185.0,0.515,4.97,0.681,0.074
R_donor,blue,3,000210,65.6,150.2,0.413,8.69,1.341,0.077
R_donor,blue,3,000220,78.1,181.8,0.478,5.66,0.742,0.084
R_donor,blue,3,000230,81.2,188.2,0.522,5.27,0.750,0.074
R_donor,blue,3,000240,54.7,146.1,0.352,9.44,1.099,0.096
V_donor,red,1,last,62.5,143.0,0.432,6.83,2.569,0.102
V_donor,red,1,000200,0.0,128.4,0.000,7.30,1.913,0.102
V_donor,red,1,000210,68.8,163.5,0.472,2.62,2.214,0.102
