arm,seed,distractor,v1_success_pct,tail_de_m
A_donor,1,red_ball,40.6,2.730
A_donor,2,red_ball,35.9,3.047
A_donor,3,red_ball,39.1,2.899
A_donor,1,red_cone,51.6,2.052
A_donor,2,red_cone,40.6,2.682
A_donor,3,red_cone,43.8,2.700
A_donor,1,red_cube,32.8,3.062
A_donor,2,red_cube,31.2,3.261
A_donor,3,red_cube,32.8,3.142
R_donor,1,red_ball,46.9,2.825
R_donor,2,red_ball,48.4,2.427
R_donor,3,red_ball,28.1,2.945
R_donor,1,red_cone,50.0,2.606
R_donor,2,red_cone,53.1,2.237
R_donor,3,red_cone,39.1,2.315
R_donor,1,red_cube,31.2,3.388
R_donor,2,red_cube,35.9,2.959
R_donor,3,red_cube,18.8,3.177
