解码析因帧...

表征    策略      |J·u_red|  |J·u_blue|     蓝/红     主方向·u_red    主方向·u_blue
init  red        0.0423      0.0271   0.641         0.388         0.242
init  blue       0.0372      0.0462   1.242         0.314         0.371
A     red        0.0373      0.0226   0.606         0.079         0.018
A     blue       0.0178      0.0452   2.537         0.129         0.377
V     red        0.1206      0.0449   0.372         0.327         0.118
V     blue       0.0253      0.5522  21.852         0.011         0.680
R     red        0.0724      0.0112   0.154         0.199         0.025
R     blue       0.0541      0.1449   2.677         0.160         0.468
sup   red        0.0525      0.0184   0.351         0.059         0.049
sup   blue       0.0095      0.0092   0.967         0.122         0.141
