arm,slot,ckpt,v1_success_pct,ret,zone,xe,de,amag
A_donor,0,last,89.1,194.9,0.574,4.82,0.414,0.081
A_donor,0,000200,85.9,222.5,0.617,2.24,0.398,0.055
A_donor,0,000210,90.6,219.6,0.596,2.8,0.341,0.054
A_donor,0,000220,95.3,225.7,0.659,2.5,0.364,0.051
A_donor,0,000230,93.8,246.0,0.666,2.7,0.319,0.044
A_donor,0,000240,75.0,173.1,0.492,7.79,0.514,0.079
A_donor,1,last,26.6,91.2,0.15,16.16,2.271,0.129
A_donor,1,000200,25.0,98.2,0.137,12.54,1.912,0.104
A_donor,1,000210,21.9,85.7,0.12,15.01,2.364,0.089
A_donor,1,000220,23.4,97.2,0.13,12.67,1.818,0.114
A_donor,1,000230,23.4,87.3,0.128,18.51,2.413,0.116
A_donor,1,000240,28.1,89.0,0.154,17.41,2.504,0.144
A_donor,2,last,0.0,38.6,0.0,23.02,3.587,0.033
A_donor,2,000200,0.0,39.0,0.0,23.11,3.63,0.041
A_donor,2,000210,0.0,41.5,0.006,23.23,3.447,0.042
A_donor,2,000220,0.0,39.8,0.0,24.33,3.49,0.043
A_donor,2,000230,0.0,39.9,0.007,22.52,3.625,0.041
A_donor,2,000240,0.0,38.3,0.0,22.93,3.678,0.037
A_donor,3,last,0.0,40.8,0.004,24.39,3.528,0.066
A_donor,3,000200,0.0,35.8,0.0,27.28,3.808,0.081
A_donor,3,000210,0.0,40.5,0.004,25.96,3.618,0.084
A_donor,3,000220,0.0,36.9,0.004,26.37,3.76,0.072
A_donor,3,000230,0.0,40.8,0.006,24.33,3.525,0.072
A_donor,3,000240,0.0,37.8,0.004,26.61,3.766,0.063
R_donor,0,last,92.2,229.7,0.635,3.18,0.382,0.075
R_donor,0,000200,92.2,221.5,0.65,4.35,0.526,0.048
R_donor,0,000210,78.1,180.6,0.533,8.28,0.731,0.07
R_donor,0,000220,87.5,224.2,0.622,5.24,0.692,0.068
R_donor,0,000230,95.3,235.0,0.686,2.9,0.397,0.055
R_donor,0,000240,89.1,196.9,0.606,5.54,0.595,0.064
R_donor,1,last,75.0,165.2,0.427,7.09,1.046,0.103
R_donor,1,000200,78.1,177.1,0.501,7.01,1.089,0.076
R_donor,1,000210,81.2,179.6,0.498,6.94,0.984,0.078
R_donor,1,000220,82.8,190.5,0.53,6.28,0.787,0.061
R_donor,1,000230,85.9,190.5,0.557,5.15,0.699,0.063
R_donor,1,000240,79.7,158.8,0.431,6.72,0.887,0.094
R_donor,2,last,10.9,53.9,0.048,24.49,3.288,0.087
R_donor,2,000200,10.9,51.8,0.046,26.04,3.616,0.088
R_donor,2,000210,6.2,47.7,0.021,25.85,3.614,0.083
R_donor,2,000220,10.9,54.3,0.046,25.14,3.416,0.09
R_donor,2,000230,7.8,53.5,0.043,25.28,3.424,0.11
R_donor,2,000240,12.5,55.5,0.052,24.08,3.179,0.083
R_donor,3,last,46.9,110.5,0.267,14.1,2.206,0.119
R_donor,3,000200,37.5,76.6,0.157,19.12,2.942,0.156
R_donor,3,000210,34.4,77.6,0.148,16.12,2.7,0.167
R_donor,3,000220,37.5,83.1,0.166,16.94,2.618,0.154
R_donor,3,000230,45.3,102.4,0.241,15.89,2.692,0.116
R_donor,3,000240,45.3,90.8,0.223,19.44,2.953,0.153
V_donor_s2,0,last,93.8,214.7,0.685,3.46,0.555,0.058
V_donor_s2,0,000200,96.9,225.5,0.68,2.03,0.345,0.051
V_donor_s2,0,000210,92.2,211.5,0.635,3.02,0.452,0.058
V_donor_s2,0,000220,95.3,232.8,0.687,2.98,0.396,0.051
V_donor_s2,0,000230,95.3,215.4,0.695,2.5,0.353,0.048
V_donor_s2,0,000240,60.9,176.7,0.43,6.4,0.525,0.054
V_donor_s2,1,last,43.8,119.5,0.22,9.89,1.395,0.121
V_donor_s2,1,000200,54.7,123.5,0.28,12.88,1.909,0.137
V_donor_s2,1,000210,50.0,120.7,0.246,10.22,1.417,0.141
V_donor_s2,1,000220,54.7,126.8,0.286,10.72,1.403,0.121
V_donor_s2,1,000230,50.0,124.3,0.282,9.31,1.555,0.126
V_donor_s2,1,000240,45.3,123.1,0.224,9.47,1.205,0.127
V_donor_s2,2,last,0.0,38.6,0.0,22.52,3.627,0.028
V_donor_s2,2,000200,0.0,38.4,0.0,21.86,3.65,0.034
V_donor_s2,2,000210,0.0,39.3,0.0,22.66,3.527,0.033
V_donor_s2,2,000220,0.0,39.3,0.0,22.27,3.566,0.03
V_donor_s2,2,000230,0.0,38.4,0.0,22.73,3.589,0.032
V_donor_s2,2,000240,0.0,38.2,0.0,22.71,3.616,0.033
V_donor_s2,3,last,1.6,43.7,0.013,24.55,3.702,0.095
V_donor_s2,3,000200,3.1,41.6,0.018,26.52,3.732,0.089
V_donor_s2,3,000210,3.1,43.1,0.02,25.52,3.722,0.077
V_donor_s2,3,000220,1.6,41.2,0.013,24.0,3.869,0.083
V_donor_s2,3,000230,4.7,50.2,0.032,23.17,3.549,0.081
V_donor_s2,3,000240,3.1,44.3,0.023,25.67,3.696,0.097
V_donor,0,last,90.6,207.5,0.637,4.01,0.513,0.061
V_donor,0,000200,92.2,213.5,0.68,4.83,0.497,0.052
V_donor,0,000210,90.6,209.0,0.632,3.81,0.484,0.068
V_donor,0,000220,92.2,214.9,0.674,4.28,0.524,0.055
V_donor,0,000230,93.8,227.9,0.697,2.73,0.409,0.046
V_donor,0,000240,90.6,192.0,0.629,4.85,0.455,0.067
V_donor,1,last,43.8,116.1,0.205,10.63,1.627,0.14
V_donor,1,000200,57.8,130.7,0.318,8.33,1.417,0.071
V_donor,1,000210,48.4,121.3,0.261,12.08,1.843,0.087
V_donor,1,000220,50.0,130.1,0.283,10.79,1.523,0.098
V_donor,1,000230,54.7,137.1,0.313,10.69,1.5,0.094
V_donor,1,000240,39.1,116.1,0.196,9.81,1.607,0.107
V_donor,2,last,0.0,39.1,0.0,22.38,3.593,0.039
V_donor,2,000200,0.0,38.2,0.0,22.43,3.641,0.037
V_donor,2,000210,0.0,39.2,0.0,21.95,3.643,0.038
V_donor,2,000220,0.0,39.4,0.0,23.32,3.445,0.04
V_donor,2,000230,0.0,39.6,0.0,22.71,3.568,0.04
V_donor,2,000240,0.0,38.0,0.0,23.38,3.63,0.041
V_donor,3,last,6.2,47.9,0.042,25.81,3.827,0.112
V_donor,3,000200,1.6,43.7,0.015,24.15,3.65,0.081
V_donor,3,000210,6.2,47.2,0.042,24.86,3.598,0.101
V_donor,3,000220,3.1,42.0,0.022,23.66,3.686,0.088
V_donor,3,000230,6.2,52.6,0.041,22.34,3.517,0.09
V_donor,3,000240,6.2,44.1,0.032,25.82,3.739,0.103
init,0,last,35.9,103.0,0.206,17.87,2.197,0.088
init,0,000200,39.1,112.1,0.241,15.96,2.135,0.092
init,0,000210,34.4,107.0,0.215,17.62,2.356,0.08
init,0,000220,43.8,123.7,0.289,14.48,1.885,0.081
init,0,000230,45.3,111.4,0.268,16.54,2.133,0.074
init,0,000240,37.5,109.7,0.235,17.47,2.23,0.082
init,1,last,76.6,148.7,0.414,8.01,1.047,0.103
init,1,000200,68.8,150.3,0.435,10.04,1.337,0.048
init,1,000210,76.6,171.9,0.456,6.46,0.881,0.064
init,1,000220,71.9,172.5,0.46,8.32,1.149,0.049
init,1,000230,56.2,138.0,0.341,11.67,1.414,0.065
init,1,000240,62.5,129.1,0.351,10.77,1.471,0.097
init,2,last,26.6,71.5,0.128,22.99,3.133,0.147
init,2,000200,18.8,66.4,0.092,23.35,3.344,0.151
init,2,000210,18.8,62.1,0.086,23.68,3.162,0.147
init,2,000220,21.9,67.2,0.105,23.22,3.181,0.13
init,2,000230,28.1,77.5,0.132,19.24,2.429,0.131
init,2,000240,23.4,73.6,0.12,21.09,3.085,0.137
init,3,last,68.8,147.0,0.362,8.83,1.298,0.097
init,3,000200,62.5,129.2,0.327,10.09,1.578,0.108
init,3,000210,59.4,120.4,0.289,10.25,1.495,0.106
init,3,000220,71.9,135.5,0.351,7.59,1.183,0.118
init,3,000230,71.9,141.4,0.381,8.88,1.447,0.096
init,3,000240,57.8,122.1,0.29,11.7,1.674,0.108
sup_donor,0,last,90.6,215.8,0.685,4.39,0.649,0.054
sup_donor,0,000200,81.2,211.3,0.639,7.68,1.062,0.099
sup_donor,0,000210,57.8,149.7,0.476,17.43,2.36,0.312
sup_donor,0,000220,78.1,194.7,0.605,9.05,1.343,0.129
sup_donor,0,000230,89.1,224.6,0.677,4.8,0.591,0.059
sup_donor,0,000240,89.1,211.8,0.668,5.22,0.602,0.065
sup_donor,1,last,20.3,86.7,0.112,16.17,2.304,0.098
sup_donor,1,000200,26.6,99.5,0.153,12.46,1.976,0.118
sup_donor,1,000210,20.3,86.8,0.109,16.94,2.576,0.103
sup_donor,1,000220,25.0,88.8,0.113,14.58,2.185,0.084
sup_donor,1,000230,21.9,93.6,0.13,16.07,2.145,0.12
sup_donor,1,000240,23.4,86.0,0.12,16.32,2.345,0.1
sup_donor,2,last,0.0,39.5,0.002,27.99,3.523,0.086
sup_donor,2,000200,0.0,43.6,0.008,26.63,3.385,0.096
sup_donor,2,000210,0.0,39.8,0.002,28.28,3.718,0.101
sup_donor,2,000220,0.0,39.3,0.003,27.45,3.737,0.099
sup_donor,2,000230,0.0,39.8,0.001,27.0,3.526,0.087
sup_donor,2,000240,0.0,39.8,0.002,27.68,3.502,0.077
sup_donor,3,last,0.0,36.6,0.005,28.04,4.042,0.095
sup_donor,3,000200,0.0,40.9,0.016,27.34,3.983,0.114
sup_donor,3,000210,0.0,28.9,0.0,29.89,4.509,0.087
sup_donor,3,000220,0.0,30.2,0.0,27.68,4.266,0.088
sup_donor,3,000230,0.0,37.0,0.005,26.32,3.898,0.086
sup_donor,3,000240,1.6,37.3,0.012,27.21,3.947,0.09
