表征                   红球         红方         蓝球         蓝方       红均       蓝均     蓝/红
A_donor         95.3(5)    28.1(4)     0.0(5)     0.0(5)     61.7      0.0    0.00
R_donor         95.3(5)    85.9(5)    12.5(5)    45.3(5)     90.6     28.9    0.32
init            45.3(5)    76.6(5)    28.1(5)    71.9(5)     60.9     50.0    0.82
V_donor         93.8(5)    57.8(5)     0.0(5)     6.2(5)     75.8      3.1    0.04
V_donor_s2      96.9(5)    54.7(5)     0.0(4)     4.7(5)     75.8      2.3    0.03
sup_donor       89.1(5)    26.6(5)     0.0(5)     1.6(5)     57.8      0.8    0.01

括号=可用 ckpt 数(满 5;last 一律排除)

对 init 归一化(比值 = 该臂 / init 同槽;1.0 = 与随机编码器同水平):
表征                   红球         红方         蓝球         蓝方
A_donor            2.10       0.37       0.00       0.00
R_donor            2.10       1.12       0.44       0.63
V_donor            2.07       0.76       0.00       0.09
V_donor_s2         2.14       0.71       0.00       0.07
sup_donor          1.97       0.35       0.00       0.02
init(基线)         45.3       76.6       28.1       71.9
末段 de(m):
A_donor           0.364      2.504      3.630      3.808
R_donor           0.397      0.699      3.179      2.692
init              2.133      0.881      2.429      1.183
V_donor           0.409      1.417      3.641      3.598
V_donor_s2        0.345      1.909      3.527      3.549
sup_donor         0.591      1.976      3.385      3.947
