配置            表征           复杂度降低       动力学感知       多样性       正交性
diam_angle    init         0.336       0.861     0.789     0.183
diam_angle    A            0.368       0.945     0.779     0.227
diam_angle    V            0.390       0.980     0.773     0.171
diam_angle    R            0.504       0.972     0.813     0.251
diam_angle    sup          0.000       0.973     0.666     0.072
diam_cam      init         0.303       0.869     0.798     0.187
diam_cam      A            0.362       0.947     0.790     0.235
diam_cam      V            0.328       0.980     0.775     0.137
diam_cam      R            0.487       0.973     0.826     0.264
diam_cam      sup          0.000       0.974     0.703     0.069
ang_angle     init         0.354       0.867     0.827     0.175
ang_angle     A            0.376       0.946     0.828     0.252
ang_angle     V            0.296       0.981     0.792     0.125
ang_angle     R            0.512       0.968     0.845     0.253
ang_angle     sup          0.000       0.970     0.719     0.062
ang_cam       init         0.467       0.859     0.783     0.182
ang_cam       A            0.529       0.943     0.786     0.281
ang_cam       V            0.309       0.980     0.713     0.122
ang_cam       R            0.598       0.966     0.809     0.270
ang_cam       sup          0.000       0.969     0.637     0.062
